ema30_current,sma10_current,class
242.9064445893394,242.71,1
243.01850375934106,243.01,1
243.07295857572075,243.12000000000003,0
243.12591803017983,243.22000000000003,1
243.16900913273852,243.32,1
243.2222233899707,243.44,0
243.2645439303941,243.55,0
243.3041341133707,243.64000000000004,0
243.33673633013032,243.71,0
243.34586248731742,243.7,1
243.35238200813052,243.68,1
243.41296710473262,243.7,1
243.47088257466632,243.7,0
243.49089959727473,243.6,1
243.51114733119223,243.59,1
243.51638037919358,243.59,1
243.53831606654,243.56,1
243.56528816115448,243.57,1
243.59898958557525,243.58,0
243.61559564670355,243.59,1
243.6385908879724,243.63,0
243.6580847132489,243.66000000000003,1
243.6678514074358,243.67,0
243.62237725491042,243.63,0
243.5572512959214,243.5,1
243.55900035080987,243.49,0
243.56366334150684,243.48,1
243.58336603101128,243.53,1
243.5214213098341,243.51,0
243.52850875478757,243.51,1
243.52666948028502,243.49,1
243.5378520944602,243.48999999999995,1
243.54730432363658,243.51,0
244.51612064941682,245.44,1
244.59977525694646,245.65,0
244.6621027891569,245.79,0
244.9420744841278,245.17,0
244.98130926921002,245.19,1
245.03193827759642,245.14,1
245.0788894936256,245.19,1
245.24903657255302,245.38,0
246.28980765402724,246.39,0
246.26714745935985,246.3,0
246.0123613301241,245.78000000000003,0
246.00651919485588,245.76,0
245.9921113620766,245.79,1
246.06010885833803,246.14,1
246.0925246360728,246.22,0
246.10389229138343,246.21000000000004,1
246.23644310511844,246.47000000000003,1
246.25379274891387,246.52000000000004,0
246.25234010102352,246.49,1
246.24352063342891,246.45,0
243.2205418497942,243.4,0
243.28089761590496,243.41000000000003,1
243.29463519680388,243.40000000000003,0
243.34373575349878,243.42,0
243.37479195175356,243.46,0
243.39964405471613,243.49,0
243.41761487483325,243.47,1
243.42393897021861,243.49,0
243.42410123658908,243.43,1
243.4509150564587,243.45,0
243.46154236593262,243.45,1
243.47995350748016,243.47,0
243.50463737236697,243.48,0
243.50433818705292,243.48,1
243.5274488468061,243.54,0
243.5331384923867,243.57,1
243.56286053286743,243.64,0
243.56828340558047,243.67,0
243.48328075664506,243.40000000000003,0
243.50472318223603,243.42,0
243.51833061262766,243.44,0
243.518156918478,243.44,0
243.52343711728585,243.47,1
243.52938558412598,243.51,0
243.5382682930937,243.6,1
243.55374722686386,243.63,1
243.5746791326489,243.67,0
243.5878089799962,243.66,0
243.5990828143981,243.64999999999995,1
243.6066025265857,243.64999999999995,0
243.6136370960516,243.67,0
243.61275728340317,243.67,0
243.60820259629585,243.67,1
243.44564288236637,243.32,1
243.44713194114186,243.34,0
243.37421708908798,243.3,1
243.45592857880862,243.44,0
243.54728943736094,243.58,0
243.61037443020547,243.71,1
243.85644193397408,244.17,1
243.9090599954189,244.36000000000004,0
243.9582833432222,244.53000000000003,0
243.9978793782641,244.53000000000003,0
243.45153097406842,243.09,0
243.396536989618,243.38,1
243.38667114944485,243.39,1
243.39881450583863,243.42,1
243.4349719454776,243.48,0
243.45589342126888,243.54,1
243.55116065312336,243.75,1
243.84584618770188,244.22,0
243.9001567717003,244.3,0
243.93806022124718,244.32,0
243.9815896951104,244.36000000000004,0
244.00980564679938,244.41,1
244.02430691472176,244.4,1
244.06860479992088,244.37,1
244.0861622437814,244.31,1
244.10601178417218,244.28000000000003,0
244.13607695205584,244.26,0
244.1482724278233,244.23,1
244.15867217268269,244.22,0
244.16295827937745,244.2,0
243.76111882855287,243.42,1
243.75568251648,243.48,0
243.74845244876752,243.52000000000004,0
243.751167227999,243.57,0
243.75370686018329,243.63,1
243.7645521100725,243.7,0
243.76925497953712,243.77000000000004,0
243.17870737328158,243.09,0
243.20746110117724,243.13,0
243.20746110117724,243.13,1
243.31198263316404,243.4,0
243.33398923361042,243.48999999999995,0
243.34812444047932,243.52,1
243.36134769851824,243.56,1
243.4011440900029,243.64,0
243.46527694348882,243.72000000000003,1
243.5048198352981,243.78000000000003,1
243.5597594287024,243.83,1
243.93845007052784,244.28,1
244.0523019226453,244.45,0
244.0793806299824,244.5,1
244.0962428590002,244.53,1
244.1833280151173,244.62,0
244.21042289110864,244.61,1
