sma50_previous,wpr14_previous,class
243.188,-54.54545454545549,1
243.18000000000004,-12.500000000000892,1
243.182,-23.529411764705984,0
243.19,-5.8823529411760775,1
243.2,-12.499999999999332,1
243.21,-21.428571428572152,0
243.226,-7.142857142856707,0
243.23999999999995,-14.285714285713414,0
243.25399999999996,-15.384615384614374,0
243.264,-23.07692307692375,1
243.264,-46.15384615384532,1
243.266,-41.66666666666706,1
243.28,-50.000000000002366,0
243.278,-74.99999999999824,1
243.272,-50.00000000000001,1
243.266,-74.99999999999824,1
243.266,-62.49999999999911,1
243.272,-37.500000000000895,1
243.28400000000002,-24.99999999999823,0
243.29999999999995,-12.499999999999115,1
243.308,-37.500000000000895,0
243.318,-24.99999999999823,1
243.32799999999997,-24.99999999999823,0
243.38800000000003,-83.33333333333412,0
243.41000000000003,-77.77777777777601,1
243.422,-55.55555555555521,0
243.442,-44.4444444444448,1
243.50000000000003,-14.285714285717187,1
243.598,-57.14285714285656,0
243.596,-57.14285714285656,1
243.596,-33.333333333334906,1
243.59600000000003,-50.0,1
243.594,-16.666666666669823,0
243.83599999999998,-57.81250000000021,1
243.864,-59.375000000000135,0
243.898,-53.125000000000036,0
244.086,-59.2592592592593,0
244.12800000000004,-40.909090909091375,1
244.19600000000003,-55.555555555556076,1
244.22800000000004,-30.769230769231612,1
244.362,-11.76470588235235,0
245.93000000000004,-80.00000000000115,0
245.924,-80.00000000000115,0
245.972,-5.5555555555552045,0
245.98999999999995,-23.80952380952355,0
246.03,-38.095238095238216,1
246.088,-14.285714285714672,1
246.108,-14.285714285714672,0
246.122,-14.285714285714672,1
246.188,-14.285714285713414,1
246.20999999999995,-58.33333333333294,0
246.214,-50.0,1
246.212,-66.66666666666825,0
243.8,-29.999999999998288,0
243.72,-54.54545454545431,1
243.694,-74.99999999999824,0
243.61,-62.49999999999911,0
243.582,-50.00000000000001,0
243.53000000000003,-37.500000000000895,0
243.498,-62.49999999999911,1
243.466,-37.500000000000895,0
243.308,-60.00000000000227,1
243.264,-20.0000000000017,0
243.25600000000003,-20.0000000000017,1
243.25800000000004,-20.0000000000017,0
243.26800000000003,-10.000000000002274,0
243.306,-0.0,1
243.32,-30.000000000001133,0
243.34,-0.0,1
243.356,-20.0000000000017,0
243.376,-15.384615384614714,0
243.434,-63.63636363636294,0
243.456,-27.272727272725863,0
243.47599999999997,-27.272727272725863,0
243.484,-36.36363636363706,0
243.486,-54.54545454545431,1
243.488,-45.45454545454569,0
243.496,-45.45454545454569,1
243.498,-45.45454545454569,1
243.504,-36.36363636363706,0
243.51,-27.272727272725863,0
243.518,-40.000000000000576,1
243.52599999999998,-40.000000000000576,0
243.534,-57.14285714285889,0
243.54000000000005,-57.14285714285889,0
243.54200000000003,-66.66666666666825,1
243.52,-42.857142857141106,1
243.524,-28.57142857142741,0
243.44,-0.0,1
243.45,-30.43478260869539,0
243.474,-30.000000000000192,0
243.504,-23.333333333333908,1
243.588,-13.333333333333526,1
243.616,-19.999999999999808,0
243.63,-30.000000000000192,0
243.644,-30.000000000000192,0
243.506,-22.2222222222224,0
243.508,-33.333333333333336,1
243.51799999999997,-23.07692307692375,1
243.522,-44.4444444444448,1
243.52599999999998,-14.285714285717187,0
243.53800000000004,-9.09090909090862,1
243.56600000000003,-16.66666666666785,1
243.66,-21.052631578947604,0
243.69,-21.052631578947604,0
243.71599999999998,-26.31578947368413,0
243.73799999999997,-36.84210526315718,0
243.75799999999995,-41.1764705882349,1
243.79,-50.00000000000089,1
243.81,-61.53846153846187,1
243.814,-61.53846153846187,1
243.808,-61.53846153846187,0
243.8,-69.99999999999885,0
243.79999999999995,-59.999999999999424,1
243.794,-80.00000000000115,0
243.778,-75.00000000000179,0
243.762,-66.66666666666667,1
243.80200000000005,-41.66666666666706,0
243.81600000000003,-24.999999999998817,0
243.82599999999996,-19.999999999998863,0
243.83,-9.999999999999432,1
243.842,-9.999999999999432,0
243.854,-9.09090909090862,0
243.532,-33.333333333333336,0
243.5,-13.333333333332574,0
243.5,-13.333333333332574,1
243.45,-7.142857142856707,0
243.43600000000004,-21.428571428572152,0
243.426,-21.428571428572152,1
243.414,-28.57142857142886,1
243.404,-28.57142857142886,0
243.408,-28.57142857142741,1
243.41599999999997,-27.272727272725863,1
243.426,-18.18181818181724,1
243.53800000000004,-30.76923076923127,1
243.59000000000003,-50.00000000000055,0
243.612,-50.00000000000055,1
243.624,-61.538461538461455,1
243.65000000000003,-50.000000000000604,0
243.662,-68.18181818181765,1
