price_current,adi14_previous,class
242.9,29.49350703497163,1
243.5,27.33001566438905,1
243.8,28.138500306321497,0
243.8,28.88923604525876,1
243.7,29.839196304385656,1
243.9,30.127138022428827,0
243.8,30.39451247489746,0
243.8,30.64278875218976,0
243.7,29.65413273155519,0
243.4,28.7360949981088,1
243.4,26.808864225706376,1
244.0,23.357547893495926,1
243.8,24.263916931273553,0
243.5,23.099130809294962,1
243.4,20.347613516425785,1
243.5,17.624687130911788,1
243.7,16.909175483037668,1
243.8,16.711535284196447,1
243.9,17.33874074742248,0
243.7,18.274806785425405,1
243.8,18.52174525658243,0
243.8,18.167628804815713,1
243.7,17.838806385318048,0
243.6,14.047811285716715,0
243.5,12.590495292347144,1
243.6,11.723718980900244,0
243.6,11.781263603796566,1
243.7,11.993563461893716,1
243.4,10.348523684005812,0
243.6,9.84139887985757,1
243.5,9.479940862592802,1
243.7,9.669916171077272,1
243.7,9.846321814670004,0
245.1,36.52739609974017,1
245.5,36.066683634769795,0
245.3,35.901222962108825,0
245.6,30.784253475909622,0
245.3,30.407514357618858,1
245.2,28.696111592936987,1
245.4,27.828190657430497,1
245.5,27.777909474020287,0
246.0,20.94931758949373,0
246.3,21.726828807740823,0
246.3,20.850100747130746,0
246.0,21.022582531595226,0
246.1,18.96465301825261,1
246.5,17.64296552108821,1
246.5,18.029949940459744,0
246.3,17.774539048536305,1
246.4,19.521597386233346,1
246.4,17.83628053099605,0
246.2,16.85596897350981,1
246.1,16.43903175848917,0
243.4,27.351905880629463,0
243.3,24.396514368889193,1
243.4,23.5180218814308,0
243.5,20.313481744341985,0
243.7,18.921429054368943,0
243.4,18.333946911158463,0
243.6,17.202181312156974,1
243.5,16.527741506593383,0
243.3,16.255569177702306,1
243.6,15.199733703992365,0
243.6,14.799968119111641,1
243.7,14.428757218865249,0
243.8,14.084061382922178,0
243.5,14.132824171475516,1
243.8,13.345742014891947,0
243.6,12.614880012350055,1
243.9,11.936222438561153,0
243.6,12.060965966298456,0
243.8,10.508742724530194,0
243.8,10.551203324066408,0
243.7,11.592449135621335,0
243.5,12.559320246350902,0
243.6,12.074671102857986,1
243.6,11.62463975532885,0
243.6,10.818716270723105,1
243.7,10.894874503855435,1
243.8,10.965592863192592,0
243.7,11.471529205555143,0
243.7,11.941327237748899,1
243.7,12.816823244868123,0
243.7,13.62978382290741,0
243.6,15.187370909879633,0
243.6,17.210901329108648,1
243.5,14.66350116158429,1
243.5,13.647362654291612,0
244.0,18.43783559312172,1
244.5,19.612686809556244,0
244.7,21.5913002090508,0
244.4,23.42858408001002,1
244.8,28.103873545614746,1
244.5,29.967589134721035,0
244.5,31.34619330779241,0
244.4,32.62632575421583,0
243.5,20.223506211936744,0
243.5,14.575185601099449,1
243.4,14.166002276412636,1
243.7,13.78604633206057,1
244.1,12.916829735310811,0
243.9,13.554546592099786,1
244.3,15.423272252521436,1
244.6,22.18564036177448,0
244.5,24.034625244078985,0
244.3,24.433777777973873,0
244.3,24.804419416590573,0
244.2,24.335039209540483,1
244.0,23.89918616013681,1
244.2,22.6391366890462,1
244.2,22.225102817930544,1
244.3,21.3864821100137,0
244.4,21.278555190048625,0
244.2,21.17833733579531,1
244.2,20.594244309146553,0
244.1,19.582386587333122,0
243.7,26.633500708305892,1
243.9,24.21716023652717,0
243.8,22.662838967734423,0
243.9,21.31852480705852,0
243.9,20.07023308643088,1
244.0,18.85586140719128,0
243.9,17.7821959635366,0
243.1,29.25380614078433,0
243.4,26.561938597080665,0
243.4,26.561938597080665,1
243.7,22.64447630571141,0
243.7,22.225217024745675,0
243.6,21.40025334139247,1
243.6,20.250489922857888,1
243.9,19.182852462790052,0
243.9,18.491834369966604,1
244.0,18.068313226042694,1
244.2,17.981200619141127,1
244.6,24.98727059245132,1
244.6,25.77062932335507,0
244.3,26.14294611517559,1
244.2,26.186910541257912,1
244.4,25.845676933774147,0
244.4,26.037022757697486,1
