wpr14_current,uosc_current,class
-22.222222222220818,21.73981761800549,1
-23.529411764705984,25.79184034575511,1
-5.8823529411760775,27.410741074107047,0
-12.499999999999332,25.458241947805533,1
-21.428571428572152,22.059716360914866,1
-7.142857142856707,22.53823196687541,0
-14.285714285713414,17.008123195731017,0
-15.384615384614374,18.001621612297242,0
-23.07692307692375,21.294207393056475,0
-46.15384615384532,18.823053158624145,1
-46.15384615384532,18.40018779047218,1
-0.0,24.898530091291583,1
-33.33333333333176,20.041599065123695,0
-62.49999999999911,22.632547091945906,1
-74.99999999999824,15.68505663134856,1
-62.49999999999911,17.598505696236007,1
-37.500000000000895,25.244667205092536,1
-24.99999999999823,25.249840853002485,1
-12.499999999999115,24.48608887900327,0
-37.500000000000895,20.68233353947642,1
-24.99999999999823,23.03139518331161,0
-24.99999999999823,25.313688402191204,1
-37.500000000000895,27.7983641514426,0
-66.66666666666825,32.136985555576594,0
-55.55555555555521,31.831787260358386,1
-44.4444444444448,33.67464714709917,0
-28.571428571430317,30.50520907663741,1
-14.285714285717187,27.385426892815772,1
-57.14285714285656,38.083953960731904,0
-33.333333333334906,45.29616724738735,1
-50.0,38.155061019383176,1
-16.666666666669823,41.79587880618865,1
-16.666666666669823,42.747729538901595,0
-59.375000000000135,11.016211916399515,1
-53.125000000000036,10.700751923449292,0
-56.24999999999986,11.397583103340258,0
-40.909090909091375,25.58364296705452,0
-54.54545454545431,26.44745501293643,1
-30.769230769231612,20.504068649828078,1
-15.384615384614714,20.10329201522816,1
-29.41176470588255,16.042671807504803,0
-93.33333333333373,18.091746962714303,0
-73.33333333333294,13.347815385319764,0
-23.80952380952355,25.024668661996568,0
-38.095238095238216,22.66507885341846,0
-33.33333333333378,19.125336279995143,1
-14.285714285714672,18.533360537814385,1
-14.285714285714672,23.974840469084764,0
-23.80952380952355,26.17734288287027,1
-50.0,21.78115975099018,1
-50.0,21.20493225785105,0
-66.66666666666825,22.597534560382535,1
-81.81818181818275,17.862198395321165,0
-19.999999999998863,42.98227227399214,0
-74.99999999999824,40.04091994637346,1
-62.49999999999911,38.65157398992244,0
-50.00000000000001,29.467876039305487,0
-25.000000000001783,25.602943840185226,0
-62.49999999999911,31.432506261682025,0
-37.500000000000895,33.68136187095412,1
-50.00000000000001,33.28713458506989,0
-50.0,30.263857267044934,1
-20.0000000000017,35.26533304614739,0
-20.0000000000017,35.51621465746649,1
-10.000000000002274,35.2383180954608,0
-0.0,30.00099267330749,0
-30.000000000001133,33.81157340985156,1
-0.0,41.478646253021104,0
-20.0000000000017,35.67655987503232,1
-15.384615384614714,42.090403875300176,0
-38.461538461538964,44.50969795231997,0
-27.272727272725863,24.090984102535906,0
-27.272727272725863,23.367220712535282,0
-36.36363636363706,22.030616651112343,0
-54.54545454545431,20.930118181710338,0
-45.45454545454569,23.598901098901,1
-45.45454545454569,20.58849779661936,0
-45.45454545454569,19.07207006191723,1
-36.36363636363706,23.222917307625213,1
-27.272727272725863,30.54741988643785,0
-40.000000000000576,35.26624442880442,0
-40.000000000000576,35.5825206580791,1
-57.14285714285889,38.38355303274524,0
-57.14285714285889,40.77758625813279,0
-71.42857142857258,37.97508151814147,0
-66.66666666666825,39.402789901124265,1
-28.57142857142741,23.64773866535798,1
-16.66666666666588,26.14139814600563,0
-30.43478260869539,40.707841220730856,1
-30.000000000000192,38.199920714206435,0
-23.333333333333908,34.934560388860234,0
-33.333333333333336,31.093998491570744,1
-19.999999999999808,22.414338104076982,1
-30.000000000000192,21.35090829231859,0
-30.000000000000192,19.118047448054604,0
-33.333333333333336,19.248889408464443,0
-16.666666666667194,19.21139380253013,0
-23.07692307692375,46.43433231459743,1
-44.4444444444448,56.2979917565609,1
-14.285714285717187,56.73128261177804,1
-9.09090909090862,56.45098948670705,0
-27.272727272725863,43.778893660313855,1
-7.692307692307187,27.796629444037556,1
-21.052631578947604,21.582156528700303,0
-26.31578947368413,24.40108987600564,0
-36.84210526315718,21.897842594564352,0
-41.1764705882349,23.470062016355136,0
-50.00000000000089,22.459849038908096,1
-71.42857142857113,17.539360562863887,1
-61.53846153846187,21.363808605188233,1
-61.53846153846187,21.907519585081612,1
-69.99999999999885,22.359463608892398,0
-59.999999999999424,21.19047920468336,0
-80.00000000000115,22.151191698592022,1
-75.00000000000179,28.53547406734099,0
-87.50000000000091,26.705413759481825,0
-41.66666666666706,32.89703926646609,1
-24.999999999998817,36.99339763163145,0
-19.999999999998863,30.552163548508094,0
-9.999999999999432,27.50345713227412,0
-9.999999999999432,25.68820737495389,1
-9.09090909090862,25.71765347360269,0
-18.18181818181724,23.572125142941925,0
-39.999999999999616,31.488374427887784,0
-27.272727272725863,28.90510468289171,0
-27.272727272725863,28.90510468289171,1
-21.428571428572152,20.766228061634067,0
-21.428571428572152,21.60682454800091,0
-28.57142857142886,20.9438278518816,1
-28.57142857142886,22.39925482890425,1
-7.142857142856707,30.2793265847447,0
-27.272727272725863,27.290729283839113,1
-18.18181818181724,31.71212972033501,1
-0.0,33.113674577969014,1
-50.00000000000055,25.780138262747503,1
-50.00000000000055,23.77513642819716,0
-61.538461538461455,21.334289747762075,1
-70.83333333333387,18.502682733675357,1
-68.18181818181765,17.408876232405245,0
-68.18181818181765,19.015269484327774,1
