sma30_current,wpr14_current,class
243.04666666666665,-22.222222222220818,1
243.02,-23.529411764705984,1
243.03333333333336,-5.8823529411760775,0
243.0533333333333,-12.499999999999332,1
243.07333333333332,-21.428571428572152,1
243.09333333333333,-7.142857142856707,0
243.11,-14.285714285713414,0
243.1266666666667,-15.384615384614374,0
243.15,-23.07692307692375,0
243.16666666666663,-46.15384615384532,1
243.17666666666665,-46.15384615384532,1
243.21,-0.0,1
243.2633333333333,-33.33333333333176,0
243.31666666666663,-62.49999999999911,1
243.38333333333333,-74.99999999999824,1
243.42666666666665,-62.49999999999911,1
243.46,-37.500000000000895,1
243.4933333333333,-24.99999999999823,1
243.53333333333333,-12.499999999999115,0
243.56666666666663,-37.500000000000895,1
243.6033333333333,-24.99999999999823,0
243.63333333333333,-24.99999999999823,1
243.65666666666667,-37.500000000000895,0
243.63666666666668,-66.66666666666825,0
243.58666666666667,-55.55555555555521,1
243.58333333333331,-44.4444444444448,0
243.59000000000003,-28.571428571430317,1
243.59333333333336,-14.285714285717187,1
243.56333333333333,-57.14285714285656,0
243.57,-33.333333333334906,1
243.57,-50.0,1
243.57,-16.666666666669823,1
243.56666666666663,-16.666666666669823,0
244.03333333333333,-59.375000000000135,1
244.1,-53.125000000000036,0
244.15666666666667,-56.24999999999986,0
244.54666666666665,-40.909090909091375,0
244.6,-54.54545454545431,1
244.7,-30.769230769231612,1
244.77666666666664,-15.384615384614714,1
245.04333333333332,-29.41176470588255,0
246.18666666666664,-93.33333333333373,0
246.23666666666665,-73.33333333333294,0
246.15,-23.80952380952355,0
246.13333333333333,-38.095238095238216,0
246.10333333333332,-33.33333333333378,1
246.0966666666667,-14.285714285714672,1
246.11000000000004,-14.285714285714672,0
246.10333333333332,-23.80952380952355,1
246.10666666666665,-50.0,1
246.11666666666667,-50.0,0
246.1233333333333,-66.66666666666825,1
246.1266666666667,-81.81818181818275,0
243.1133333333333,-19.999999999998863,0
243.17333333333332,-74.99999999999824,1
243.19333333333333,-62.49999999999911,0
243.25666666666663,-50.00000000000001,0
243.28333333333333,-25.000000000001783,0
243.31666666666663,-62.49999999999911,0
243.33333333333331,-37.500000000000895,1
243.33666666666667,-50.00000000000001,0
243.43,-50.0,1
243.44666666666672,-20.0000000000017,0
243.45000000000007,-20.0000000000017,1
243.46000000000004,-10.000000000002274,0
243.4733333333334,-0.0,0
243.47333333333336,-30.000000000001133,1
243.48666666666668,-0.0,0
243.49000000000007,-20.0000000000017,1
243.51,-15.384615384614714,0
243.52,-38.461538461538964,0
243.50333333333333,-27.272727272725863,0
243.50666666666663,-27.272727272725863,0
243.51,-36.36363636363706,0
243.5133333333333,-54.54545454545431,0
243.51333333333332,-45.45454545454569,1
243.51666666666668,-45.45454545454569,0
243.51666666666668,-45.45454545454569,1
243.5333333333334,-36.36363636363706,1
243.55000000000007,-27.272727272725863,0
243.5666666666667,-40.000000000000576,0
243.58,-40.000000000000576,1
243.58333333333331,-57.14285714285889,0
243.58666666666664,-57.14285714285889,0
243.58666666666664,-71.42857142857258,0
243.57666666666668,-66.66666666666825,1
243.51,-28.57142857142741,1
243.50333333333327,-16.66666666666588,0
243.38,-30.43478260869539,1
243.41,-30.000000000000192,0
243.44666666666663,-23.333333333333908,0
243.47333333333333,-33.333333333333336,1
243.59666666666664,-19.999999999999808,1
243.63333333333333,-30.000000000000192,0
243.67,-30.000000000000192,0
243.70666666666665,-33.333333333333336,0
243.63,-16.666666666667194,0
243.54,-23.07692307692375,1
243.50666666666663,-44.4444444444448,1
243.48,-14.285714285717187,1
243.45,-9.09090909090862,0
243.42,-27.272727272725863,1
243.3766666666667,-7.692307692307187,1
243.55000000000007,-21.052631578947604,0
243.59000000000003,-26.31578947368413,0
243.63,-36.84210526315718,0
243.69666666666672,-41.1764705882349,0
243.7433333333333,-50.00000000000089,1
243.79333333333332,-71.42857142857113,1
243.87,-61.53846153846187,1
243.9,-61.53846153846187,1
243.92,-69.99999999999885,0
243.95666666666665,-59.999999999999424,0
243.98333333333332,-80.00000000000115,1
244.00666666666663,-75.00000000000179,0
244.03333333333333,-87.50000000000091,0
243.9833333333333,-41.66666666666706,1
243.94666666666663,-24.999999999998817,0
243.91333333333333,-19.999999999998863,0
243.89,-9.999999999999432,0
243.86666666666665,-9.999999999999432,1
243.85,-9.09090909090862,0
243.83666666666664,-18.18181818181724,0
243.32333333333332,-39.999999999999616,0
243.30666666666667,-27.272727272725863,0
243.30666666666667,-27.272727272725863,1
243.27999999999997,-21.428571428572152,0
243.26999999999995,-21.428571428572152,0
243.26,-28.57142857142886,1
243.25,-28.57142857142886,1
243.26666666666668,-7.142857142856707,0
243.29333333333332,-27.272727272725863,1
243.31,-18.18181818181724,1
243.34333333333333,-0.0,1
243.62,-50.00000000000055,1
243.72666666666672,-50.00000000000055,0
243.76333333333335,-61.538461538461455,1
243.79333333333335,-70.83333333333387,1
243.9,-68.18181818181765,0
243.94333333333333,-68.18181818181765,1
