ema100_current,adi14_previous,class
243.18905225418166,29.49350703497163,1
243.2059823509734,27.33001566438905,1
243.21960454887298,28.138500306321497,0
243.23295700028004,28.88923604525876,1
243.24344502462958,29.839196304385656,1
243.2576857613686,30.127138022428827,0
243.26904448124196,30.39451247489746,0
243.28048818799888,30.64278875218976,0
243.28941517665172,29.65413273155519,0
243.29067523904556,28.7360949981088,1
243.29191034970887,26.808864225706376,1
243.31029924093696,23.357547893495926,1
243.3284839227556,24.263916931273553,0
243.33751678839408,23.099130809294962,1
243.3447663049139,20.347613516425785,1
243.3498359170736,17.624687130911788,1
243.3580095074276,16.909175483037668,1
243.36831135455623,16.711535284196447,1
243.38131913882043,17.33874074742248,0
243.38917921106997,18.274806785425405,1
243.3982440122856,18.52174525658243,0
243.40743922451642,18.167628804815713,1
243.41447215531707,17.838806385318048,0
243.43239618066715,14.047811285716715,0
243.42857866939048,12.590495292347144,1
243.43290288727312,11.723718980900244,0
243.4368315650493,11.781263603796566,1
243.4505651585406,11.993563461893716,1
243.45160054841358,10.348523684005812,0
243.4551589754741,9.84139887985757,1
243.4563568285833,9.479940862592802,1
243.4621111819273,9.669916171077272,1
243.46806149971002,9.846321814670004,0
243.82994300544357,36.52739609974017,1
243.8701414176561,36.066683634769795,0
243.90527351363698,35.901222962108825,0
244.10478228197974,30.784253475909622,0
244.13464820015275,30.407514357618858,1
244.18798273851326,28.696111592936987,1
244.21942096903098,27.828190657430497,1
244.32506238048538,27.777909474020287,0
245.83408383388885,20.94931758949373,0
245.87057307332157,21.726828807740823,0
245.86638279248183,20.850100747130746,0
245.87057823792648,21.022582531595226,0
245.8842262192538,18.96465301825261,1
245.92862768583853,17.64296552108821,1
245.94552040561916,18.029949940459744,0
245.95718848396888,17.774539048536305,1
246.03293930986325,19.521597386233346,1
246.05245192054863,17.83628053099605,0
246.0590926090496,16.85596897350981,1
246.06300177668945,16.43903175848917,0
244.2284174956066,27.351905880629463,0
244.15737520939186,24.396514368889193,1
244.13215058352168,23.5180218814308,0
244.06549234972576,20.313481744341985,0
244.05050707671853,18.921429054368943,0
244.01353315183098,18.333946911158463,0
243.9979064878408,17.202181312156974,1
243.9796793286337,16.527741506593383,0
243.8651202898652,16.255569177702306,1
243.845215351992,15.199733703992365,0
243.83385144982952,14.799968119111641,1
243.82283330127632,14.428757218865249,0
243.8146333559607,14.084061382922178,0
243.8006551917408,14.132824171475516,1
243.79444397705845,13.345742014891947,0
243.78315571256888,12.614880012350055,1
243.7786513961876,11.936222438561153,0
243.76736594404213,12.060965966298456,0
243.62229653862755,10.508742724530194,0
243.61775770628597,10.551203324066408,0
243.61163846582176,11.592449135621335,0
243.6013700903672,12.559320246350902,0
243.59390507115882,12.074671102857986,1
243.58720769817168,11.62463975532885,0
243.57971296384312,10.818716270723105,1
243.57682638085092,10.894874503855435,1
243.57659697999665,10.965592863192592,0
243.5737720996549,11.471529205555143,0
243.57224280565552,11.941327237748899,1
243.570433882676,12.816823244868123,0
243.5689706919833,13.62978382290741,0
243.5661761014024,15.187370909879633,0
243.56075797658417,17.210901329108648,1
243.45396621440563,14.66350116158429,1
243.45084891813374,13.647362654291612,0
243.43766415086878,18.43783559312172,1
243.4630392727289,19.612686809556244,0
243.49156240093876,21.5913002090508,0
243.51389003269833,23.42858408001002,1
243.60340637005638,28.103873545614746,1
243.62673911589187,29.967589134721035,0
243.64929991512696,31.34619330779241,0
243.66757429566596,32.62632575421583,0
243.51813622269586,20.223506211936744,0
243.49600610749957,14.575185601099449,1
243.49317526037171,14.166002276412636,1
243.4978906238292,13.78604633206057,1
243.512602790038,12.916829735310811,0
243.52213349409507,13.554546592099786,1
243.55822548539874,15.423272252521436,1
243.64952012843827,22.18564036177448,0
243.669460434308,24.034625244078985,0
243.68349592644898,24.433777777973873,0
243.6978733121113,24.804419416590573,0
243.7087461509301,24.335039209540483,1
243.71575320199963,23.89918616013681,1
243.73903722122918,22.6391366890462,1
243.7509544053113,22.225102817930544,1
243.765235627629,21.3864821100137,0
243.78152416351418,21.278555190048625,0
243.79321984606514,21.17833733579531,1
243.8037541948537,20.594244309146553,0
243.81178983262703,19.582386587333122,0
243.7321990925196,26.633500708305892,1
243.73551672689067,24.21716023652717,0
243.73741344744647,22.662838967734423,0
243.74156271922902,21.31852480705852,0
243.74562982721366,20.07023308643088,1
243.751906508456,18.85586140719128,0
243.7560787009608,17.7821959635366,0
243.51991036140927,29.25380614078433,0
243.51617674725293,26.561938597080665,0
243.51617674725293,26.561938597080665,1
243.51986470045483,22.64447630571141,0
243.52095243985409,22.225217024745675,0
243.51817896966287,21.40025334139247,1
243.51608024373226,20.250489922857888,1
243.521823142967,19.182852462790052,0
243.5310351816962,18.491834369966604,1
243.5412513498301,18.068313226042694,1
243.55646526176227,17.981200619141127,1
243.67698746346886,24.98727059245132,1
243.72574573034674,25.77062932335507,0
243.74269551855275,26.14294611517559,1
243.7557799092213,26.186910541257912,1
243.79482958383943,25.845676933774147,0
243.80898254064275,26.037022757697486,1
