stochk_14_previous,cci20_previous,class
51.515151515151786,-21.93861004597612,1
73.52207977208016,98.46214934662865,1
75.04713423831045,99.44153633195806,0
80.02450980392116,109.86786369240049,1
82.10784313725487,117.85839417655228,1
85.60924369747927,102.54540268262848,0
86.30952380952391,101.5148840559035,0
88.09523809523813,100.2514032848662,0
87.91208791208794,89.62036625169803,0
89.92673992674055,68.31116765052944,1
84.61538461538484,32.404516569699936,1
65.59829059829039,17.310135879888527,1
65.40404040404047,48.915501406250044,0
61.11111111111219,-16.972449761541213,1
37.50000000000088,-11.852478199791927,1
37.50000000000088,-30.68672425356317,1
37.50000000000088,-20.425177931153435,1
33.333333333334515,-5.560417832040456,1
45.83333333333361,22.40958172723565,0
62.500000000000284,35.295075132829474,1
75.00000000000058,21.399168773441684,0
75.00000000000058,12.854910300272394,1
70.83333333333421,17.648530028721336,0
16.6666666666659,-22.11970965669456,0
25.92592592592545,-44.81815314474896,1
31.48148148148163,-25.72284948559573,0
29.62962962962989,-2.3439712122770304,1
80.95238095237848,8.251245230768731,1
28.57142857143036,-21.24280038042813,0
33.333333333334735,-14.312606738079404,1
34.92063492063627,0.9751093585219838,1
42.06349206349282,10.273256892477988,1
44.44444444444498,19.401388098101425,0
52.97181372549016,151.9226115840708,1
47.91666666666654,108.8270309077913,0
44.27083333333314,128.3364314514768,0
22.555018786902732,27.99312385517817,0
32.555018786902735,40.903421667583906,1
53.0303030303026,-32.190404548676966,1
59.44055944055873,-40.56706791491077,1
74.81146304675703,51.90944694485402,0
42.222222222221696,-8.995491459682867,0
8.88888888888836,-16.855271087085068,0
38.88888888888905,7.21770126800119,0
54.761904761904546,25.74828855910637,0
66.66666666666664,1.570210856888903,1
65.07936507936472,24.008482703539052,1
73.01587301587256,35.7745350951466,0
79.36507936507894,25.988900499439648,1
80.37741412354431,49.044444732569396,1
73.01587301587355,9.0097089461724,0
58.333333333333705,14.074815463533866,1
49.99999999999997,2.074795549648184,0
73.3333333333339,1.6931903945987798,0
73.08080808080898,12.67003486075333,1
62.247474747475366,6.090511470373088,0
41.666666666667254,6.002632994934852,0
45.83333333333361,2.1022616972241503,0
49.99999999999999,10.32250636708142,0
54.166666666666366,0.20060782566124225,1
50.0,7.9331357560764895,0
50.83333333333227,-10.512683350294218,1
46.6666666666659,1.0140571852020823,0
56.66666666666533,10.155883880388977,1
66.66666666666477,8.239774257040409,0
79.99999999999828,9.782567757734258,0
83.33333333333142,14.788556684189846,1
86.66666666666458,2.145695416204102,0
83.33333333333144,9.924854323598376,1
86.66666666666553,9.226674290765313,0
79.74358974358908,18.167946716552493,0
27.272727272726726,-1.5567982264922733,0
36.3636363636362,9.666897424865118,0
54.54545454545517,20.297657338070763,0
66.66666666666752,13.134358230237774,0
75.757575757577,0.8352073297805495,1
63.63636363636465,0.9410111478481138,0
48.48484848484856,1.5732571457343036,1
51.51515151515144,3.4680404310444994,1
48.48484848484856,5.687527252733164,0
48.48484848484856,11.818834156428812,0
56.666666666667226,10.147069082510924,1
61.515151515151814,11.967321798105953,0
57.61904761904742,9.443652168006508,0
43.80952380952266,12.859754283041301,0
40.47619047618873,0.2132241625619085,1
66.66666666666802,-4.000354626029926,1
66.66666666666802,3.2464791933174246,0
36.66666666666661,30.059927471407587,1
42.31884057970973,53.19638857036657,0
51.76328502415447,81.3145467002538,0
71.20772946859908,74.3504030470735,1
70.00000000000016,81.69973293605865,1
72.22222222222223,72.76839284692278,0
77.77777777777784,53.55319289403757,0
79.99999999999993,47.95776900458728,0
64.35185185185192,-5.7915725313419575,0
72.96296296296242,11.722195488176482,1
68.68945868945805,12.39264619035711,1
66.83760683760579,13.50377462865776,1
54.456654456653865,25.677465313541607,0
54.68975468975446,47.30146802286857,1
71.21212121212145,38.023243575150225,1
81.82957393483719,61.333038218453396,0
77.1929824561402,57.36154804477928,0
78.94736842105239,40.61701965325139,0
75.43859649122804,30.899287469173284,0
68.73065015479894,23.614745532899367,1
62.919246646027176,16.207691846396994,1
40.91117216117235,8.223205462261372,1
34.98168498168489,7.776476739407178,1
35.89743589743573,2.7058180499685762,0
32.30769230769172,10.713579423575938,0
32.82051282051257,9.712520242697996,1
36.66666666666652,0.6783551786306558,0
38.33333333333298,-8.94465644412215,0
15.555555555555983,-20.00836688860914,1
34.444444444445004,-3.3938866056316583,0
47.22222222222239,4.7521805719972035,0
62.777777777778084,10.300130872784028,0
76.1111111111116,11.893405724981433,1
83.33333333333431,13.609423164598494,0
83.93939393939486,21.45268599887544,0
57.777777777778866,12.383244020872727,0
66.66666666666735,22.634572329555308,0
66.66666666666735,22.634572329555308,1
76.54012654012661,49.93076117163393,0
80.21978021978012,41.92757825674757,0
85.71428571428595,34.02023926196701,1
85.71428571428595,17.073708397702525,1
76.19047619047632,19.24499833813184,0
73.80952380952398,36.18590817735621,1
76.62337662337724,29.4195555761516,1
80.08658008658112,35.2728580864134,1
61.53846153846101,93.41935005226318,1
64.10256410256358,38.33324415451012,0
56.410256410255954,38.25601746660492,1
48.71794871794831,21.18985839706248,1
37.60683760683783,26.090087134056763,0
37.37373737373759,20.7488672030532,1
