adi14_current,uosc_current,class
28.5086304682157,21.73981761800549,1
28.138500306321486,25.79184034575511,1
28.889236045258755,27.410741074107047,0
29.839196304385656,25.458241947805533,1
30.1271380224288,22.059716360914866,1
30.39451247489746,22.53823196687541,0
30.64278875218976,17.008123195731017,0
29.654132731555194,18.001621612297242,0
28.736094998108808,21.294207393056475,0
26.808864225706376,18.823053158624145,1
25.01929279418984,18.40018779047218,1
23.82751702419544,24.898530091291583,1
24.669145416417518,20.041599065123695,0
21.868108022296845,22.632547091945906,1
18.93572576097408,15.68505663134856,1
16.909175483037668,17.598505696236007,1
16.71153528419644,25.244667205092536,1
17.33874074742247,25.249840853002485,1
18.274806785425397,24.48608887900327,0
18.521745256582424,20.68233353947642,1
18.167628804815713,23.03139518331161,0
17.838806385318048,25.313688402191204,1
16.68817326665854,27.7983641514426,0
14.074892976867886,32.136985555576594,0
11.723718980900257,31.831787260358386,1
11.781263603796566,33.67464714709917,0
12.217731914307196,30.50520907663741,1
12.321318526539313,27.385426892815772,1
9.841398879857568,38.083953960731904,0
9.479940862592802,45.29616724738735,1
9.669916171077269,38.155061019383176,1
9.846321814669997,41.79587880618865,1
10.01012705514896,42.747729538901595,0
36.066683634769795,11.016211916399515,1
35.901222962108825,10.700751923449292,0
35.747580908923624,11.397583103340258,0
30.407514357618858,25.58364296705452,0
29.630795677328607,26.44745501293643,1
27.828190657430497,20.504068649828078,1
27.49926336354553,20.10329201522816,1
28.178075905958515,16.042671807504803,0
20.97154111331691,18.091746962714303,0
22.22618143909097,13.347815385319764,0
21.022582531595226,25.024668661996568,0
20.640385946514307,22.66507885341846,0
18.443075284331172,19.125336279995143,1
18.029949940459744,18.533360537814385,1
17.77453904853629,23.974840469084764,0
17.75913036032934,26.17734288287027,1
18.89200066982739,21.78115975099018,1
16.85596897350981,21.20493225785105,0
16.43903175848917,22.597534560382535,1
16.289187371129106,17.862198395321165,0
26.36142655977246,42.98227227399214,0
23.5180218814308,40.04091994637346,1
22.27543432637408,38.65157398992244,0
18.921429054368936,29.467876039305487,0
18.61680868381536,25.602943840185226,0
17.202181312156945,31.432506261682025,0
16.52774150659339,33.68136187095412,1
15.901475972855765,33.28713458506989,0
16.360571372737304,30.263857267044934,1
14.799968119111641,35.26533304614739,0
14.428757218865249,35.51621465746649,1
14.084061382922178,35.2383180954608,0
14.132824171475525,30.00099267330749,0
13.34574201489194,33.81157340985156,1
12.614880012350055,41.478646253021104,0
11.936222438561153,35.67655987503232,1
12.060965966298456,42.090403875300176,0
11.728211985074987,44.50969795231997,0
10.551203324066408,24.090984102535906,0
11.592449135621324,23.367220712535282,0
12.559320246350902,22.030616651112343,0
12.074671102857986,20.930118181710338,0
11.624639755328849,23.598901098901,1
11.206753504051797,20.58849779661936,0
10.894874503855425,19.07207006191723,1
10.965592863192587,23.222917307625213,1
11.471529205555123,30.54741988643785,0
11.941327237748927,35.26624442880442,0
12.816823244868123,35.5825206580791,1
13.6297838229074,38.38355303274524,0
15.187370909879636,40.77758625813279,0
16.633701776353846,37.97508151814147,0
17.047087438593024,39.402789901124265,1
13.647362654291616,23.64773866535798,1
12.703805468948413,26.14139814600563,0
19.612686809556244,40.707841220730856,1
21.5913002090508,38.199920714206435,0
23.42858408001002,34.934560388860234,0
24.812100966834027,31.093998491570744,1
29.967589134721035,22.414338104076982,1
31.34619330779241,21.35090829231859,0
32.62632575421583,19.118047448054604,0
32.74811854588482,19.248889408464443,0
19.198150644333147,19.21139380253013,0
14.166002276412605,46.43433231459743,1
13.786046332060563,56.2979917565609,1
12.916829735310724,56.73128261177804,1
13.554546592099767,56.45098948670705,0
14.14671224483238,43.778893660313855,1
16.677219901394473,27.796629444037556,1
24.034625244078974,21.582156528700303,0
24.433777777973873,24.40108987600564,0
24.80441941659055,21.897842594564352,0
24.33503920954046,23.470062016355136,0
23.89918616013681,22.459849038908096,1
23.085019319478427,17.539360562863887,1
22.225102817930544,21.363808605188233,1
21.386482110013713,21.907519585081612,1
21.2785551900486,22.359463608892398,0
21.178337335795323,21.19047920468336,0
20.594244309146546,22.151191698592022,1
19.582386587333122,28.53547406734099,0
18.642804417077798,26.705413759481825,0
25.380583426642843,32.89703926646609,1
22.66283896773444,36.99339763163145,0
21.318524807058505,30.552163548508094,0
20.07023308643088,27.50345713227412,0
18.85586140719128,25.68820737495389,1
17.7821959635366,25.71765347360269,0
16.7852209087144,23.572125142941925,0
28.047482860480557,31.488374427887784,0
25.182504638209327,28.90510468289171,0
25.182504638209327,28.90510468289171,1
22.225217024745675,20.766228061634067,0
21.40025334139247,21.60682454800091,0
20.250489922857888,20.9438278518816,1
19.182852462790045,22.39925482890425,1
18.512652009814406,30.2793265847447,0
18.068313226042694,27.290729283839113,1
17.981200619141127,31.71212972033501,1
18.19813323954607,33.113674577969014,1
25.539220006270078,25.780138262747503,1
26.142946115175576,23.77513642819716,0
26.186910541257912,21.334289747762075,1
25.63961220031826,18.502682733675357,1
26.037022757697468,17.408876232405245,0
25.60473829445279,19.015269484327774,1
