macd_12_26_previous,wpr14_previous,class
-0.1337023578838057,-54.54545454545549,1
0.0718227186549143,-12.500000000000892,1
0.12682504136861894,-23.529411764705984,0
0.1905253506889153,-5.8823529411760775,1
0.2345323651046556,-12.499999999999332,1
0.2591456587062737,-21.428571428572152,0
0.2908785881535607,-7.142857142856707,0
0.3080925934912955,-14.285714285713414,0
0.3199307683841539,-15.384615384614374,0
0.3183861695091537,-23.07692307692375,1
0.2775441674219508,-46.15384615384532,1
0.20710927546488733,-41.66666666666706,1
0.20165745529271814,-50.000000000002366,0
0.0928637293278598,-74.99999999999824,1
0.03902717971513425,-50.00000000000001,1
-0.024329775267545983,-74.99999999999824,1
-0.03149576330866921,-62.49999999999911,1
-0.019570723288950376,-37.500000000000895,1
-0.0021188470064146263,-24.99999999999823,0
0.008904161459867055,-12.499999999999115,1
0.010205171747799113,-37.500000000000895,0
0.018729063130194845,-24.99999999999823,1
0.028469605969064563,-24.99999999999823,0
-0.004725512820897393,-83.33333333333412,0
-0.07827023907455555,-77.77777777777601,1
-0.07566565891602295,-55.55555555555521,0
-0.06050809276126756,-44.4444444444448,1
-0.02326748620757257,-14.285714285717187,1
-0.03668713125549061,-57.14285714285656,0
-0.03882043863879403,-57.14285714285656,1
-0.022322784941934515,-33.333333333334906,1
-0.02013872107414727,-50.0,1
0.0015673193133807215,-16.666666666669823,0
0.7797795650313049,-57.81250000000021,1
0.7297572968053885,-59.375000000000135,0
0.7196259668604057,-53.125000000000036,0
0.19342405207081012,-59.2592592592593,0
0.17764630974522788,-40.909090909091375,1
0.08959585952706561,-55.555555555556076,1
0.05700402546034411,-30.769230769231612,1
0.0634161183641595,-11.76470588235235,0
0.08094530992821093,-80.00000000000115,0
-0.055702065088922836,-80.00000000000115,0
-0.1979721459049415,-5.5555555555552045,0
-0.13178172017259726,-23.80952380952355,0
-0.0909764807263116,-38.095238095238216,1
0.03354662755606341,-14.285714285714672,1
0.09849970845419877,-14.285714285714672,0
0.15662089614417596,-14.285714285714672,1
0.2551660048045505,-14.285714285713414,1
0.20836379929249915,-58.33333333333294,0
0.1938630133359993,-50.0,1
0.160980668429346,-66.66666666666825,0
0.12465988930847514,-29.999999999998288,0
0.11920721728205308,-54.54545454545431,1
0.09067777347249263,-74.99999999999824,0
0.0621082347476829,-62.49999999999911,0
0.06203469308994159,-50.00000000000001,0
0.08435726888487237,-37.500000000000895,0
0.06881273874401472,-62.49999999999911,1
0.07276303079814284,-37.500000000000895,0
-0.02625713168032462,-60.00000000000227,1
-0.014632209954299926,-20.0000000000017,0
-0.003013091751000729,-20.0000000000017,1
0.007005956479360975,-20.0000000000017,0
0.029581846751199237,-10.000000000002274,0
0.04921625113934169,-0.0,1
0.03825492998095115,-30.000000000001133,0
0.05172719668613013,-0.0,1
