sma20_current,cci20_previous,class
242.86999999999995,-21.93861004597612,1
242.94,98.46214934662865,1
242.965,99.44153633195806,0
243.01000000000005,109.86786369240049,1
243.045,117.85839417655228,1
243.09,102.54540268262848,0
243.13,101.5148840559035,0
243.175,100.2514032848662,0
243.23,89.62036625169803,0
243.28,68.31116765052944,1
243.315,32.404516569699936,1
243.40999999999997,17.310135879888527,1
243.51,48.915501406250044,0
243.62,-16.972449761541213,1
243.645,-11.852478199791927,1
243.635,-30.68672425356317,1
243.63,-20.425177931153435,1
243.63,-5.560417832040456,1
243.64,22.40958172723565,0
243.63,35.295075132829474,1
243.63,21.399168773441684,0
243.63,12.854910300272394,1
243.63,17.648530028721336,0
243.605,-22.11970965669456,0
243.58,-44.81815314474896,1
243.58,-25.72284948559573,0
243.5900000000001,-2.3439712122770304,1
243.61,8.251245230768731,1
243.49499999999995,-21.24280038042813,0
243.49999999999997,-14.312606738079404,1
243.5,0.9751093585219838,1
243.51,10.273256892477988,1
243.52,19.401388098101425,0
244.305,151.9226115840708,1
244.39500000000004,108.8270309077913,0
244.48,128.3364314514768,0
245.21,27.99312385517817,0
245.315,40.903421667583906,1
245.4650000000001,-32.190404548676966,1
245.425,-40.56706791491077,1
245.31,51.90944694485402,0
246.345,-8.995491459682867,0
246.335,-16.855271087085068,0
246.04,7.21770126800119,0
246.005,25.74828855910637,0
245.92,1.570210856888903,1
245.965,24.008482703539052,1
245.99,35.7745350951466,0
245.99500000000003,25.988900499439648,1
246.11,49.044444732569396,1
246.195,9.0097089461724,0
246.245,14.074815463533866,1
246.295,2.074795549648184,0
243.23,1.6931903945987798,0
243.27500000000003,12.67003486075333,1
243.29,6.090511470373088,0
243.385,6.002632994934852,0
243.43,2.1022616972241503,0
243.445,10.32250636708142,0
243.45,0.20060782566124225,1
243.455,7.9331357560764895,0
243.445,-10.512683350294218,1
243.47000000000003,1.0140571852020823,0
243.46000000000004,10.155883880388977,1
243.48,8.239774257040409,0
243.505,9.782567757734258,0
243.51,14.788556684189846,1
243.525,2.145695416204102,0
243.53500000000003,9.924854323598376,1
243.555,9.226674290765313,0
243.55,18.167946716552493,0
243.52,-1.5567982264922733,0
243.545,9.666897424865118,0
243.55,20.297657338070763,0
243.545,13.134358230237774,0
243.545,0.8352073297805495,1
243.54000000000005,0.9410111478481138,0
243.53500000000008,1.5732571457343036,1
243.53000000000003,3.4680404310444994,1
243.54000000000005,5.687527252733164,0
243.53000000000003,11.818834156428812,0
243.535,10.147069082510924,1
243.545,11.967321798105953,0
243.555,9.443652168006508,0
243.57,12.859754283041301,0
243.61000000000004,0.2132241625619085,1
243.44,-4.000354626029926,1
243.43,3.2464791933174246,0
243.335,30.059927471407587,1
243.4,53.19638857036657,0
243.485,81.3145467002538,0
243.545,74.3504030470735,1
243.74,81.69973293605865,1
243.795,72.76839284692278,0
243.84500000000003,53.55319289403757,0
243.89,47.95776900458728,0
243.435,-5.7915725313419575,0
243.205,11.722195488176482,1
243.215,12.39264619035711,1
243.235,13.50377462865776,1
243.285,25.677465313541607,0
243.36499999999995,47.30146802286857,1
243.56,38.023243575150225,1
243.805,61.333038218453396,0
243.86000000000004,57.36154804477928,0
243.90000000000003,40.61701965325139,0
243.95000000000005,30.899287469173284,0
243.99,23.614745532899367,1
244.025,16.207691846396994,1
244.105,8.223205462261372,1
244.14999999999995,7.776476739407178,1
244.19,2.7058180499685762,0
244.23999999999995,10.713579423575938,0
244.265,9.712520242697996,1
244.27,0.6783551786306558,0
244.28,-8.94465644412215,0
243.775,-20.00836688860914,1
243.735,-3.3938866056316583,0
243.715,4.7521805719972035,0
243.695,10.300130872784028,0
243.67,11.893405724981433,1
243.66,13.609423164598494,0
243.64499999999992,21.45268599887544,0
243.08,12.383244020872727,0
243.08,22.634572329555308,0
243.08,22.634572329555308,1
243.19499999999996,49.93076117163393,0
243.23999999999995,41.92757825674757,0
243.29,34.02023926196701,1
243.32,17.073708397702525,1
243.365,19.24499833813184,0
243.425,36.18590817735621,1
243.485,29.4195555761516,1
243.54,35.2728580864134,1
243.90000000000003,93.41935005226318,1
244.04500000000007,38.33324415451012,0
244.08500000000004,38.25601746660492,1
244.12500000000009,21.18985839706248,1
244.225,26.090087134056763,0
244.24999999999997,20.7488672030532,1
