sma100_previous,stochk_14_previous,class
243.301,51.515151515151786,1
243.291,73.52207977208016,1
243.296,75.04713423831045,0
243.302,80.02450980392116,1
243.308,82.10784313725487,1
243.312,85.60924369747927,0
243.31600000000003,86.30952380952391,0
243.318,88.09523809523813,0
243.32100000000003,87.91208791208794,0
243.323,89.92673992674055,1
243.32000000000005,84.61538461538484,1
243.31400000000005,65.59829059829039,1
243.31900000000005,65.40404040404047,0
243.31800000000004,61.11111111111219,1
243.32,37.50000000000088,1
243.322,37.50000000000088,1
243.324,37.50000000000088,1
243.32800000000003,33.333333333334515,1
243.33300000000003,45.83333333333361,0
243.341,62.500000000000284,1
243.34600000000003,75.00000000000058,0
243.34900000000002,75.00000000000058,1
243.353,70.83333333333421,0
243.36300000000003,16.6666666666659,0
243.36900000000003,25.92592592592545,1
243.372,31.48148148148163,0
243.375,29.62962962962989,1
243.377,80.95238095237848,1
243.38500000000008,28.57142857143036,0
243.38600000000002,33.333333333334735,1
243.38800000000003,34.92063492063627,1
243.389,42.06349206349282,1
243.392,44.44444444444498,0
243.551,52.97181372549016,1
243.568,47.91666666666654,0
243.59099999999995,44.27083333333314,0
243.72600000000003,22.555018786902732,0
243.75,32.555018786902735,1
243.792,53.0303030303026,1
243.81399999999996,59.44055944055873,1
243.89200000000002,74.81146304675703,0
245.59000000000003,42.222222222221696,0
245.627,8.88888888888836,0
245.679,38.88888888888905,0
245.68400000000003,54.761904761904546,0
245.703,66.66666666666664,1
245.748,65.07936507936472,1
245.768,73.01587301587256,0
245.786,79.36507936507894,1
245.854,80.37741412354431,1
245.881,73.01587301587355,0
245.893,58.333333333333705,1
245.90500000000003,49.99999999999997,0
244.915,73.3333333333339,0
244.831,73.08080808080898,1
244.799,62.247474747475366,0
244.701,41.666666666667254,0
244.67400000000006,45.83333333333361,0
244.62500000000003,49.99999999999999,0
244.59900000000005,54.166666666666366,1
244.57500000000005,50.0,0
244.41600000000003,50.83333333333227,1
244.38,46.6666666666659,0
244.365,56.66666666666533,1
244.344,66.66666666666477,0
244.317,79.99999999999828,0
244.292,83.33333333333142,1
244.267,86.66666666666458,0
244.247,83.33333333333144,1
244.223,86.66666666666553,0
244.201,79.74358974358908,0
243.917,27.272727272726726,0
243.892,36.3636363636362,0
243.866,54.54545454545517,0
243.84099999999998,66.66666666666752,0
243.815,75.757575757577,1
243.791,63.63636363636465,0
243.75899999999996,48.48484848484856,1
243.743,51.51515151515144,1
243.72599999999997,48.48484848484856,0
243.711,48.48484848484856,0
243.69400000000002,56.666666666667226,1
243.681,61.515151515151814,0
243.667,57.61904761904742,0
243.654,43.80952380952266,0
243.631,40.47619047618873,1
243.414,66.66666666666802,1
243.406,66.66666666666802,0
243.421,36.66666666666661,1
243.42999999999995,42.31884057970973,0
243.44400000000002,51.76328502415447,0
243.457,71.20772946859908,1
243.505,70.00000000000016,1
243.525,72.22222222222223,0
243.543,77.77777777777784,0
243.56,79.99999999999993,0
243.529,64.35185185185192,0
243.518,72.96296296296242,1
243.51800000000003,68.68945868945805,1
243.51500000000004,66.83760683760579,1
243.51700000000002,54.456654456653865,0
243.52599999999998,54.68975468975446,1
243.54500000000004,71.21212121212145,1
243.581,81.82957393483719,0
243.589,77.1929824561402,0
243.59900000000002,78.94736842105239,0
243.604,75.43859649122804,0
243.611,68.73065015479894,1
243.614,62.919246646027176,1
243.625,40.91117216117235,1
243.63200000000003,34.98168498168489,1
243.641,35.89743589743573,0
243.65200000000004,32.30769230769172,0
243.664,32.82051282051257,1
243.67500000000004,36.66666666666652,0
243.683,38.33333333333298,0
243.66600000000003,15.555555555555983,1
243.66600000000003,34.444444444445004,0
243.66800000000003,47.22222222222239,0
243.67000000000004,62.777777777778084,0
243.67300000000003,76.1111111111116,1
243.676,83.33333333333431,0
243.68,83.93939393939486,0
243.64499999999995,57.777777777778866,0
243.657,66.66666666666735,0
243.657,66.66666666666735,1
243.62500000000003,76.54012654012661,0
243.618,80.21978021978012,0
243.61000000000004,85.71428571428595,1
243.59600000000003,85.71428571428595,1
243.584,76.19047619047632,0
243.571,73.80952380952398,1
243.56600000000003,76.62337662337724,1
243.569,80.08658008658112,1
243.63100000000003,61.53846153846101,1
243.669,64.10256410256358,0
243.687,56.410256410255954,1
243.705,48.71794871794831,1
243.733,37.60683760683783,0
243.74400000000009,37.37373737373759,1
