sma10_current,wpr14_current,class
242.71,-22.222222222220818,1
243.01,-23.529411764705984,1
243.12000000000003,-5.8823529411760775,0
243.22000000000003,-12.499999999999332,1
243.32,-21.428571428572152,1
243.44,-7.142857142856707,0
243.55,-14.285714285713414,0
243.64000000000004,-15.384615384614374,0
243.71,-23.07692307692375,0
243.7,-46.15384615384532,1
243.68,-46.15384615384532,1
243.7,-0.0,1
243.7,-33.33333333333176,0
243.6,-62.49999999999911,1
243.59,-74.99999999999824,1
243.59,-62.49999999999911,1
243.56,-37.500000000000895,1
243.57,-24.99999999999823,1
243.58,-12.499999999999115,0
243.59,-37.500000000000895,1
243.63,-24.99999999999823,0
243.66000000000003,-24.99999999999823,1
243.67,-37.500000000000895,0
243.63,-66.66666666666825,0
243.5,-55.55555555555521,1
243.49,-44.4444444444448,0
243.48,-28.571428571430317,1
243.53,-14.285714285717187,1
243.51,-57.14285714285656,0
243.51,-33.333333333334906,1
243.49,-50.0,1
243.48999999999995,-16.666666666669823,1
243.51,-16.666666666669823,0
245.44,-59.375000000000135,1
245.65,-53.125000000000036,0
245.79,-56.24999999999986,0
245.17,-40.909090909091375,0
245.19,-54.54545454545431,1
245.14,-30.769230769231612,1
245.19,-15.384615384614714,1
245.38,-29.41176470588255,0
246.39,-93.33333333333373,0
246.3,-73.33333333333294,0
245.78000000000003,-23.80952380952355,0
245.76,-38.095238095238216,0
245.79,-33.33333333333378,1
246.14,-14.285714285714672,1
246.22,-14.285714285714672,0
246.21000000000004,-23.80952380952355,1
246.47000000000003,-50.0,1
246.52000000000004,-50.0,0
246.49,-66.66666666666825,1
246.45,-81.81818181818275,0
243.4,-19.999999999998863,0
243.41000000000003,-74.99999999999824,1
243.40000000000003,-62.49999999999911,0
243.42,-50.00000000000001,0
243.46,-25.000000000001783,0
243.49,-62.49999999999911,0
243.47,-37.500000000000895,1
243.49,-50.00000000000001,0
243.43,-50.0,1
243.45,-20.0000000000017,0
243.45,-20.0000000000017,1
243.47,-10.000000000002274,0
243.48,-0.0,0
243.48,-30.000000000001133,1
243.54,-0.0,0
243.57,-20.0000000000017,1
243.64,-15.384615384614714,0
243.67,-38.461538461538964,0
243.40000000000003,-27.272727272725863,0
243.42,-27.272727272725863,0
243.44,-36.36363636363706,0
243.44,-54.54545454545431,0
243.47,-45.45454545454569,1
243.51,-45.45454545454569,0
243.6,-45.45454545454569,1
243.63,-36.36363636363706,1
243.67,-27.272727272725863,0
243.66,-40.000000000000576,0
243.64999999999995,-40.000000000000576,1
243.64999999999995,-57.14285714285889,0
243.67,-57.14285714285889,0
243.67,-71.42857142857258,0
243.67,-66.66666666666825,1
243.32,-28.57142857142741,1
243.34,-16.66666666666588,0
243.3,-30.43478260869539,1
243.44,-30.000000000000192,0
243.58,-23.333333333333908,0
243.71,-33.333333333333336,1
244.17,-19.999999999999808,1
244.36000000000004,-30.000000000000192,0
244.53000000000003,-30.000000000000192,0
244.53000000000003,-33.333333333333336,0
243.09,-16.666666666667194,0
243.38,-23.07692307692375,1
243.39,-44.4444444444448,1
243.42,-14.285714285717187,1
243.48,-9.09090909090862,0
243.54,-27.272727272725863,1
243.75,-7.692307692307187,1
244.22,-21.052631578947604,0
244.3,-26.31578947368413,0
244.32,-36.84210526315718,0
244.36000000000004,-41.1764705882349,0
244.41,-50.00000000000089,1
244.4,-71.42857142857113,1
244.37,-61.53846153846187,1
244.31,-61.53846153846187,1
244.28000000000003,-69.99999999999885,0
244.26,-59.999999999999424,0
244.23,-80.00000000000115,1
244.22,-75.00000000000179,0
244.2,-87.50000000000091,0
243.42,-41.66666666666706,1
243.48,-24.999999999998817,0
243.52000000000004,-19.999999999998863,0
243.57,-9.999999999999432,0
243.63,-9.999999999999432,1
243.7,-9.09090909090862,0
243.77000000000004,-18.18181818181724,0
243.09,-39.999999999999616,0
243.13,-27.272727272725863,0
243.13,-27.272727272725863,1
243.4,-21.428571428572152,0
243.48999999999995,-21.428571428572152,0
243.52,-28.57142857142886,1
243.56,-28.57142857142886,1
243.64,-7.142857142856707,0
243.72000000000003,-27.272727272725863,1
243.78000000000003,-18.18181818181724,1
243.83,-0.0,1
244.28,-50.00000000000055,1
244.45,-50.00000000000055,0
244.5,-61.538461538461455,1
244.53,-70.83333333333387,1
244.62,-68.18181818181765,0
244.61,-68.18181818181765,1
