stoch_rsi_14_current,uosc_previous,class
100.0,21.379885046451914,1
95.6193041181328,28.3890230229244,1
100.0,25.79184034575511,0
100.0,27.410741074107047,1
91.26723929384715,25.458241947805533,1
100.0,22.059716360914866,0
91.04485588976624,22.53823196687541,0
91.04485588976624,17.008123195731017,0
80.65900828262838,18.001621612297242,0
47.10473139803856,21.294207393056475,1
18.114273800187064,18.823053158624145,1
87.27427147493471,19.400939442852376,1
50.63369496578653,22.734051092864657,0
16.25870698135886,19.806918388699184,1
0.0,23.976680400614004,1
19.99722085346585,16.410981582396726,1
52.247124095496886,17.598505696236007,1
65.41630055570515,25.244667205092536,1
77.31529121644724,25.249840853002485,0
42.492268864146226,24.48608887900327,1
73.85038129375035,20.68233353947642,0
73.85038129375035,23.03139518331161,1
48.20598456844496,25.313688402191204,0
34.68016337260493,26.07199817726034,0
59.07453707633842,23.841362363563217,1
81.57748574983876,31.831787260358386,0
81.57748574983876,33.67464714709917,1
100.0,25.12902520365177,1
21.344353790494093,34.5283789301762,0
85.16067082974463,38.083953960731904,1
47.872566859533364,45.29616724738735,1
100.0,38.155061019383176,1
100.0,41.79587880618865,0
51.17347630761281,16.78437534159132,1
60.38213367781202,11.016211916399515,0
53.64109123823603,10.700751923449292,0
56.73892330768643,25.46232298297667,0
28.074346063089763,25.58364296705452,1
27.14521603864653,25.773341714390234,1
55.02432458915143,20.504068649828078,1
49.9573019241618,18.12724943793112,0
0.0,26.85638496189079,0
40.685717256242974,10.411822660098213,0
96.13692187877035,27.989222883602626,0
83.65620794864253,25.024668661996568,0
88.33454660443716,18.11371851699863,1
100.0,17.01057028925865,1
100.0,18.533360537814385,0
90.65426261383531,23.974840469084764,1
45.71769207521586,30.05736330544499,1
45.14023347990386,24.4884357996983,0
0.0,21.20493225785105,1
0.0,22.597534560382535,0
92.20395515751265,33.06260287190153,0
2.7141294901922466,54.05018125867856,1
25.70314745084002,40.04091994637346,0
46.63159785095691,31.2064848112204,0
83.19099685973963,29.467876039305487,0
16.708620916030778,28.43357734007535,0
59.765692398602866,31.432506261682025,1
37.79479690772285,33.68136187095412,0
28.476996527708703,34.19879062736174,1
83.94939056617491,37.75182677789487,0
83.94939056617491,35.26533304614739,1
100.0,35.51621465746649,0
100.0,35.2383180954608,0
48.37268506164109,30.00099267330749,1
90.97026693738823,33.81157340985156,0
60.409908302721284,41.478646253021104,1
96.68050150455852,35.67655987503232,0
54.879864698513906,42.090403875300176,0
99.72813516405235,19.91795366795364,0
99.72813516405235,24.090984102535906,0
87.71818431464987,23.367220712535282,0
61.85059786979043,22.030616651112343,0
74.8558425022343,20.930118181710338,1
74.8558425022343,23.598901098901,0
74.8558425022343,22.619047619047183,1
88.80712605132376,19.07207006191723,1
100.0,23.222917307625213,0
84.38039864214826,30.54741988643785,0
64.67527056395471,35.26624442880442,1
64.67527056395471,35.5825206580791,0
59.37525096117794,38.38355303274524,0
4.7328939332397075,40.77758625813279,0
4.7328939332397075,34.37470350558354,1
100.0,24.869169266583878,1
100.0,23.64773866535798,0
88.98375557720291,45.57283897040844,1
97.33353953636237,40.707841220730856,0
99.9887940515733,38.199920714206435,0
92.37089664886213,34.934560388860234,1
95.14327495117088,30.68327462737411,1
87.29779602613846,22.414338104076982,0
87.29779602613846,21.35090829231859,0
84.26482981448916,19.118047448054604,0
91.96335811126708,17.842639591114217,0
84.7822423933027,34.670474419431535,1
45.24559670624518,46.43433231459743,1
100.0,56.2979917565609,1
100.0,56.73128261177804,0
73.35173393948969,56.45098948670705,1
100.0,34.2869896061393,1
83.20548203416988,22.53983931420083,0
73.46664913090882,21.582156528700303,0
46.5799301717969,24.40108987600564,0
46.57993017179693,21.897842594564352,0
12.782206237349241,23.470062016355136,1
0.0,22.459849038908096,1
28.03718340851975,19.436342599255358,1
28.03718340851975,21.363808605188233,1
41.98050090227376,21.907519585081612,0
54.74475354537569,22.359463608892398,0
19.791215705546048,21.19047920468336,1
24.603018275446768,22.151191698592022,0
0.0,28.53547406734099,0
89.5093114708942,26.59404670959333,1
100.0,36.42787091953472,0
91.67590488561798,36.99339763163145,0
99.07300654103969,30.552163548508094,0
99.07300654103969,27.50345713227412,1
100.0,25.68820737495389,0
91.60310406029741,25.71765347360269,0
89.38507814669218,34.00538772919588,0
90.51016299775259,33.481268901568875,0
90.51016299775259,33.481268901568875,1
85.75895175068598,23.72247823860724,0
84.34089184237841,20.766228061634067,0
75.26046225985358,21.60682454800091,1
75.26046225985358,20.9438278518816,1
96.12914387171419,22.39925482890425,0
89.02189991712179,25.296009491734647,1
99.60371264094181,27.290729283839113,1
100.0,31.71212972033501,1
42.05776173905254,27.759254094145373,1
42.05776173905254,24.262813752372452,0
5.437578273662547,23.77513642819716,1
0.0,21.334289747762075,1
11.125949367706623,17.643596875088612,0
11.12594936770667,17.408876232405245,1
