sma50_previous,stochk_14_current,class
243.188,55.55555555555623,1
243.18000000000004,75.04713423831045,1
243.182,80.02450980392116,0
243.19,82.10784313725487,1
243.2,85.60924369747927,1
243.21,86.30952380952391,0
243.226,88.09523809523813,0
243.23999999999995,87.91208791208794,0
243.25399999999996,89.92673992674055,0
243.264,84.61538461538484,1
243.264,74.35897435897455,1
243.266,58.13908313908306,1
243.28,68.18181818181891,0
243.278,47.222222222223365,1
243.272,37.50000000000088,1
243.266,37.50000000000088,1
243.266,33.333333333334515,1
243.272,45.83333333333361,1
243.28400000000002,62.500000000000284,0
243.29999999999995,75.00000000000058,1
243.308,75.00000000000058,0
243.318,70.83333333333421,1
243.32799999999997,70.83333333333421,0
243.38800000000003,16.6666666666659,0
243.41000000000003,31.48148148148163,1
243.422,29.62962962962989,0
243.442,49.735449735449656,1
243.50000000000003,85.71428571428288,1
243.598,33.333333333334735,0
243.596,34.92063492063627,1
243.596,42.06349206349282,1
243.59600000000003,44.44444444444502,1
243.594,61.111111111110056,0
243.83599999999998,47.91666666666654,1
243.864,44.27083333333314,0
243.898,43.74999999999983,0
244.086,32.555018786902735,0
244.12800000000004,45.005611672278064,1
244.19600000000003,59.44055944055873,1
244.22800000000004,62.820512820511986,1
244.362,81.1463046757168,0
245.93000000000004,26.666666666666387,0
245.924,8.88888888888836,0
245.972,54.761904761904546,0
245.98999999999995,70.89947089947083,0
246.03,61.904761904761756,1
246.088,73.01587301587256,1
246.108,79.36507936507894,0
246.122,85.71428571428531,1
246.188,82.664995822891,1
246.20999999999995,58.333333333333705,0
246.214,49.99999999999997,1
246.212,42.42424242424193,0
243.8,66.66666666666761,0
243.72,62.247474747475366,1
243.694,51.13636363636466,0
243.61,45.83333333333361,0
243.582,45.83333333333361,0
243.53000000000003,54.166666666666366,0
243.498,50.0,1
243.466,54.166666666666366,0
243.308,46.6666666666659,1
243.264,56.66666666666533,0
243.25600000000003,66.66666666666477,1
243.25800000000004,79.99999999999828,0
243.26800000000003,83.33333333333142,0
243.306,86.66666666666458,1
243.32,83.33333333333144,0
243.34,86.66666666666553,1
243.356,79.74358974358908,0
243.376,84.61538461538456,0
243.434,36.3636363636362,0
243.456,54.54545454545517,0
243.47599999999997,66.66666666666752,0
243.484,75.757575757577,0
243.486,63.63636363636465,1
243.488,54.54545454545517,0
243.496,51.51515151515144,1
243.498,48.48484848484856,1
243.504,48.48484848484856,0
243.51,56.666666666667226,0
243.518,61.515151515151814,1
243.52599999999998,57.61904761904742,0
243.534,43.80952380952266,0
243.54000000000005,38.095238095236546,0
243.54200000000003,36.507936507934886,1
243.52,66.66666666666802,1
243.524,76.19047619047716,0
243.44,42.31884057970973,1
243.45,51.7632850241545,0
243.474,71.20772946859908,0
243.504,68.88888888888879,1
243.588,72.22222222222223,1
243.616,77.7777777777778,0
243.63,79.99999999999993,0
243.644,75.55555555555544,0
243.506,71.75925925925921,0
243.508,68.68945868945805,1
243.51799999999997,66.83760683760579,1
243.522,54.456654456653865,1
243.52599999999998,54.68975468975446,0
243.53800000000004,62.77056277056304,1
243.56600000000003,69.1142191142188,1
243.66,77.1929824561402,0
243.69,78.94736842105239,0
243.71599999999998,75.43859649122804,0
243.73799999999997,68.73065015479894,0
243.75799999999995,62.919246646027176,1
243.79,50.26260504201707,1
243.81,34.98168498168489,1
243.814,35.89743589743573,1
243.808,32.30769230769172,0
243.8,32.82051282051253,0
243.79999999999995,36.66666666666652,1
243.794,38.33333333333298,0
243.778,29.166666666665826,0
243.762,20.00000000000044,1
243.80200000000005,47.22222222222239,0
243.81600000000003,62.777777777778084,0
243.82599999999996,76.1111111111116,0
243.83,83.33333333333431,1
243.842,83.93939393939486,0
243.854,87.272727272728,0
243.532,62.35294117647146,0
243.5,69.49494949494998,0
243.5,69.49494949494998,1
243.45,80.21978021978012,0
243.43600000000004,85.71428571428595,0
243.426,85.71428571428595,1
243.414,76.19047619047636,1
243.404,71.42857142857117,0
243.408,76.6233766233772,1
243.41599999999997,80.08658008658112,1
243.426,81.81818181818281,1
243.53800000000004,64.10256410256358,1
243.59000000000003,56.410256410255954,0
243.612,48.71794871794831,1
243.624,43.16239316239307,1
243.65000000000003,37.37373737373759,0
243.662,38.38383838383855,1
