sma50_current,wpr14_previous,class
243.18,-54.54545454545549,1
243.182,-12.500000000000892,1
243.19,-23.529411764705984,0
243.2,-5.8823529411760775,1
243.21,-12.499999999999332,1
243.226,-21.428571428572152,0
243.23999999999995,-7.142857142856707,0
243.25399999999996,-14.285714285713414,0
243.264,-15.384615384614374,0
243.264,-23.07692307692375,1
243.264,-46.15384615384532,1
243.278,-41.66666666666706,1
243.28,-50.000000000002366,0
243.276,-74.99999999999824,1
243.268,-50.00000000000001,1
243.266,-74.99999999999824,1
243.272,-62.49999999999911,1
243.28400000000002,-37.500000000000895,1
243.29999999999995,-24.99999999999823,0
243.308,-12.499999999999115,1
243.318,-37.500000000000895,0
243.32799999999997,-24.99999999999823,1
243.342,-24.99999999999823,0
243.4,-83.33333333333412,0
243.422,-77.77777777777601,1
243.442,-55.55555555555521,0
243.46599999999998,-44.4444444444448,1
243.52000000000004,-14.285714285717187,1
243.596,-57.14285714285656,0
243.596,-57.14285714285656,1
243.59600000000003,-33.333333333334906,1
243.594,-50.0,1
243.592,-16.666666666669823,0
243.864,-57.81250000000021,1
243.898,-59.375000000000135,0
243.926,-53.125000000000036,0
244.12800000000004,-59.2592592592593,0
244.164,-40.909090909091375,1
244.22800000000004,-55.555555555556076,1
244.272,-30.769230769231612,1
244.4,-11.76470588235235,0
245.924,-80.00000000000115,0
245.93,-80.00000000000115,0
245.98999999999995,-5.5555555555552045,0
246.002,-23.80952380952355,0
246.05000000000004,-38.095238095238216,1
246.108,-14.285714285714672,1
246.122,-14.285714285714672,0
246.13,-14.285714285714672,1
246.198,-14.285714285713414,1
246.214,-58.33333333333294,0
246.212,-50.0,1
246.21599999999998,-66.66666666666825,0
243.768,-29.999999999998288,0
243.694,-54.54545454545431,1
243.67,-74.99999999999824,0
243.582,-62.49999999999911,0
243.55599999999998,-50.00000000000001,0
243.498,-37.500000000000895,0
243.466,-62.49999999999911,1
243.44000000000003,-37.500000000000895,0
243.288,-60.00000000000227,1
243.25600000000003,-20.0000000000017,0
243.25800000000004,-20.0000000000017,1
243.26800000000003,-20.0000000000017,0
243.306,-10.000000000002274,0
243.32,-0.0,1
243.34,-30.000000000001133,0
243.356,-0.0,1
243.376,-20.0000000000017,0
243.39,-15.384615384614714,0
243.456,-63.63636363636294,0
243.47599999999997,-27.272727272725863,0
243.484,-27.272727272725863,0
243.486,-36.36363636363706,0
243.488,-54.54545454545431,1
243.492,-45.45454545454569,0
243.498,-45.45454545454569,1
243.504,-45.45454545454569,1
243.51,-36.36363636363706,0
243.518,-27.272727272725863,0
243.52599999999998,-40.000000000000576,1
243.534,-40.000000000000576,0
243.54000000000005,-57.14285714285889,0
243.53600000000003,-57.14285714285889,0
243.548,-66.66666666666825,1
243.524,-42.857142857141106,1
243.522,-28.57142857142741,0
243.45,-0.0,1
243.474,-30.43478260869539,0
243.504,-30.000000000000192,0
243.528,-23.333333333333908,1
243.616,-13.333333333333526,1
243.63,-19.999999999999808,0
243.644,-30.000000000000192,0
243.658,-30.000000000000192,0
243.50600000000003,-22.2222222222224,0
243.51799999999997,-33.333333333333336,1
243.522,-23.07692307692375,1
243.52599999999998,-44.4444444444448,1
243.53800000000004,-14.285714285717187,0
243.548,-9.09090909090862,1
243.582,-16.66666666666785,1
243.69,-21.052631578947604,0
243.71599999999998,-21.052631578947604,0
243.73799999999997,-26.31578947368413,0
243.75799999999995,-36.84210526315718,0
243.79,-41.1764705882349,1
243.814,-50.00000000000089,1
243.814,-61.53846153846187,1
243.808,-61.53846153846187,1
243.8,-61.53846153846187,0
243.79999999999995,-69.99999999999885,0
243.794,-59.999999999999424,1
243.778,-80.00000000000115,0
243.76400000000004,-75.00000000000179,0
243.78600000000003,-66.66666666666667,1
243.81600000000003,-41.66666666666706,0
243.82599999999996,-24.999999999998817,0
243.83,-19.999999999998863,0
243.842,-9.999999999999432,1
243.854,-9.999999999999432,0
243.862,-9.09090909090862,0
243.51000000000005,-33.333333333333336,0
243.484,-13.333333333332574,0
243.484,-13.333333333332574,1
243.43600000000004,-7.142857142856707,0
243.426,-21.428571428572152,0
243.414,-21.428571428572152,1
243.404,-28.57142857142886,1
243.406,-28.57142857142886,0
243.41599999999997,-28.57142857142741,1
243.426,-27.272727272725863,1
243.44200000000004,-18.18181818181724,1
243.56600000000003,-30.76923076923127,1
243.612,-50.00000000000055,0
243.624,-50.00000000000055,1
243.634,-61.538461538461455,1
243.662,-50.000000000000604,0
243.672,-68.18181818181765,1
