price_current,ema30_current,class
242.9,242.9064445893394,1
243.5,243.01850375934106,1
243.8,243.07295857572075,0
243.8,243.12591803017983,1
243.7,243.16900913273852,1
243.9,243.2222233899707,0
243.8,243.2645439303941,0
243.8,243.3041341133707,0
243.7,243.33673633013032,0
243.4,243.34586248731742,1
243.4,243.35238200813052,1
244.0,243.41296710473262,1
243.8,243.47088257466632,0
243.5,243.49089959727473,1
243.4,243.51114733119223,1
243.5,243.51638037919358,1
243.7,243.53831606654,1
243.8,243.56528816115448,1
243.9,243.59898958557525,0
243.7,243.61559564670355,1
243.8,243.6385908879724,0
243.8,243.6580847132489,1
243.7,243.6678514074358,0
243.6,243.62237725491042,0
243.5,243.5572512959214,1
243.6,243.55900035080987,0
243.6,243.56366334150684,1
243.7,243.58336603101128,1
243.4,243.5214213098341,0
243.6,243.52850875478757,1
243.5,243.52666948028502,1
243.7,243.5378520944602,1
243.7,243.54730432363658,0
245.1,244.51612064941682,1
245.5,244.59977525694646,0
245.3,244.6621027891569,0
245.6,244.9420744841278,0
245.3,244.98130926921002,1
245.2,245.03193827759642,1
245.4,245.0788894936256,1
245.5,245.24903657255302,0
246.0,246.28980765402724,0
246.3,246.26714745935985,0
246.3,246.0123613301241,0
246.0,246.00651919485588,0
246.1,245.9921113620766,1
246.5,246.06010885833803,1
246.5,246.0925246360728,0
246.3,246.10389229138343,1
246.4,246.23644310511844,1
246.4,246.25379274891387,0
246.2,246.25234010102352,1
246.1,246.24352063342891,0
243.4,243.2205418497942,0
243.3,243.28089761590496,1
243.4,243.29463519680388,0
243.5,243.34373575349878,0
243.7,243.37479195175356,0
243.4,243.39964405471613,0
243.6,243.41761487483325,1
243.5,243.42393897021861,0
243.3,243.42410123658908,1
243.6,243.4509150564587,0
243.6,243.46154236593262,1
243.7,243.47995350748016,0
243.8,243.50463737236697,0
243.5,243.50433818705292,1
243.8,243.5274488468061,0
243.6,243.5331384923867,1
243.9,243.56286053286743,0
243.6,243.56828340558047,0
243.8,243.48328075664506,0
243.8,243.50472318223603,0
243.7,243.51833061262766,0
243.5,243.518156918478,0
243.6,243.52343711728585,1
243.6,243.52938558412598,0
243.6,243.5382682930937,1
243.7,243.55374722686386,1
243.8,243.5746791326489,0
243.7,243.5878089799962,0
243.7,243.5990828143981,1
243.7,243.6066025265857,0
243.7,243.6136370960516,0
243.6,243.61275728340317,0
243.6,243.60820259629585,1
243.5,243.44564288236637,1
243.5,243.44713194114186,0
244.0,243.37421708908798,1
244.5,243.45592857880862,0
244.7,243.54728943736094,0
244.4,243.61037443020547,1
244.8,243.85644193397408,1
244.5,243.9090599954189,0
244.5,243.9582833432222,0
244.4,243.9978793782641,0
243.5,243.45153097406842,0
243.5,243.396536989618,1
243.4,243.38667114944485,1
243.7,243.39881450583863,1
244.1,243.4349719454776,0
243.9,243.45589342126888,1
244.3,243.55116065312336,1
244.6,243.84584618770188,0
244.5,243.9001567717003,0
244.3,243.93806022124718,0
244.3,243.9815896951104,0
244.2,244.00980564679938,1
244.0,244.02430691472176,1
244.2,244.06860479992088,1
244.2,244.0861622437814,1
244.3,244.10601178417218,0
244.4,244.13607695205584,0
244.2,244.1482724278233,1
244.2,244.15867217268269,0
244.1,244.16295827937745,0
243.7,243.76111882855287,1
243.9,243.75568251648,0
243.8,243.74845244876752,0
243.9,243.751167227999,0
243.9,243.75370686018329,1
244.0,243.7645521100725,0
243.9,243.76925497953712,0
243.1,243.17870737328158,0
243.4,243.20746110117724,0
243.4,243.20746110117724,1
243.7,243.31198263316404,0
243.7,243.33398923361042,0
243.6,243.34812444047932,1
243.6,243.36134769851824,1
243.9,243.4011440900029,0
243.9,243.46527694348882,1
244.0,243.5048198352981,1
244.2,243.5597594287024,1
244.6,243.93845007052784,1
244.6,244.0523019226453,0
244.3,244.0793806299824,1
244.2,244.0962428590002,1
244.4,244.1833280151173,0
244.4,244.21042289110864,1
