ema30_current,wpr14_previous,class
242.9064445893394,-54.54545454545549,1
243.01850375934106,-12.500000000000892,1
243.07295857572075,-23.529411764705984,0
243.12591803017983,-5.8823529411760775,1
243.16900913273852,-12.499999999999332,1
243.2222233899707,-21.428571428572152,0
243.2645439303941,-7.142857142856707,0
243.3041341133707,-14.285714285713414,0
243.33673633013032,-15.384615384614374,0
243.34586248731742,-23.07692307692375,1
243.35238200813052,-46.15384615384532,1
243.41296710473262,-41.66666666666706,1
243.47088257466632,-50.000000000002366,0
243.49089959727473,-74.99999999999824,1
243.51114733119223,-50.00000000000001,1
243.51638037919358,-74.99999999999824,1
243.53831606654,-62.49999999999911,1
243.56528816115448,-37.500000000000895,1
243.59898958557525,-24.99999999999823,0
243.61559564670355,-12.499999999999115,1
243.6385908879724,-37.500000000000895,0
243.6580847132489,-24.99999999999823,1
243.6678514074358,-24.99999999999823,0
243.62237725491042,-83.33333333333412,0
243.5572512959214,-77.77777777777601,1
243.55900035080987,-55.55555555555521,0
243.56366334150684,-44.4444444444448,1
243.58336603101128,-14.285714285717187,1
243.5214213098341,-57.14285714285656,0
243.52850875478757,-57.14285714285656,1
243.52666948028502,-33.333333333334906,1
243.5378520944602,-50.0,1
243.54730432363658,-16.666666666669823,0
244.51612064941682,-57.81250000000021,1
244.59977525694646,-59.375000000000135,0
244.6621027891569,-53.125000000000036,0
244.9420744841278,-59.2592592592593,0
244.98130926921002,-40.909090909091375,1
245.03193827759642,-55.555555555556076,1
245.0788894936256,-30.769230769231612,1
245.24903657255302,-11.76470588235235,0
246.28980765402724,-80.00000000000115,0
246.26714745935985,-80.00000000000115,0
246.0123613301241,-5.5555555555552045,0
246.00651919485588,-23.80952380952355,0
245.9921113620766,-38.095238095238216,1
246.06010885833803,-14.285714285714672,1
246.0925246360728,-14.285714285714672,0
246.10389229138343,-14.285714285714672,1
246.23644310511844,-14.285714285713414,1
246.25379274891387,-58.33333333333294,0
246.25234010102352,-50.0,1
246.24352063342891,-66.66666666666825,0
243.2205418497942,-29.999999999998288,0
243.28089761590496,-54.54545454545431,1
243.29463519680388,-74.99999999999824,0
243.34373575349878,-62.49999999999911,0
243.37479195175356,-50.00000000000001,0
243.39964405471613,-37.500000000000895,0
243.41761487483325,-62.49999999999911,1
243.42393897021861,-37.500000000000895,0
243.42410123658908,-60.00000000000227,1
243.4509150564587,-20.0000000000017,0
243.46154236593262,-20.0000000000017,1
243.47995350748016,-20.0000000000017,0
243.50463737236697,-10.000000000002274,0
243.50433818705292,-0.0,1
243.5274488468061,-30.000000000001133,0
243.5331384923867,-0.0,1
243.56286053286743,-20.0000000000017,0
243.56828340558047,-15.384615384614714,0
243.48328075664506,-63.63636363636294,0
243.50472318223603,-27.272727272725863,0
243.51833061262766,-27.272727272725863,0
243.518156918478,-36.36363636363706,0
243.52343711728585,-54.54545454545431,1
243.52938558412598,-45.45454545454569,0
243.5382682930937,-45.45454545454569,1
243.55374722686386,-45.45454545454569,1
243.5746791326489,-36.36363636363706,0
243.5878089799962,-27.272727272725863,0
243.5990828143981,-40.000000000000576,1
243.6066025265857,-40.000000000000576,0
243.6136370960516,-57.14285714285889,0
243.61275728340317,-57.14285714285889,0
243.60820259629585,-66.66666666666825,1
243.44564288236637,-42.857142857141106,1
243.44713194114186,-28.57142857142741,0
243.37421708908798,-0.0,1
243.45592857880862,-30.43478260869539,0
243.54728943736094,-30.000000000000192,0
243.61037443020547,-23.333333333333908,1
243.85644193397408,-13.333333333333526,1
243.9090599954189,-19.999999999999808,0
243.9582833432222,-30.000000000000192,0
243.9978793782641,-30.000000000000192,0
243.45153097406842,-22.2222222222224,0
243.396536989618,-33.333333333333336,1
243.38667114944485,-23.07692307692375,1
243.39881450583863,-44.4444444444448,1
243.4349719454776,-14.285714285717187,0
243.45589342126888,-9.09090909090862,1
243.55116065312336,-16.66666666666785,1
243.84584618770188,-21.052631578947604,0
243.9001567717003,-21.052631578947604,0
243.93806022124718,-26.31578947368413,0
243.9815896951104,-36.84210526315718,0
244.00980564679938,-41.1764705882349,1
244.02430691472176,-50.00000000000089,1
244.06860479992088,-61.53846153846187,1
244.0861622437814,-61.53846153846187,1
244.10601178417218,-61.53846153846187,0
244.13607695205584,-69.99999999999885,0
244.1482724278233,-59.999999999999424,1
244.15867217268269,-80.00000000000115,0
244.16295827937745,-75.00000000000179,0
243.76111882855287,-66.66666666666667,1
243.75568251648,-41.66666666666706,0
243.74845244876752,-24.999999999998817,0
243.751167227999,-19.999999999998863,0
243.75370686018329,-9.999999999999432,1
243.7645521100725,-9.999999999999432,0
243.76925497953712,-9.09090909090862,0
243.17870737328158,-33.333333333333336,0
243.20746110117724,-13.333333333332574,0
243.20746110117724,-13.333333333332574,1
243.31198263316404,-7.142857142856707,0
243.33398923361042,-21.428571428572152,0
243.34812444047932,-21.428571428572152,1
243.36134769851824,-28.57142857142886,1
243.4011440900029,-28.57142857142886,0
243.46527694348882,-28.57142857142741,1
243.5048198352981,-27.272727272725863,1
243.5597594287024,-18.18181818181724,1
243.93845007052784,-30.76923076923127,1
244.0523019226453,-50.00000000000055,0
244.0793806299824,-50.00000000000055,1
244.0962428590002,-61.538461538461455,1
244.1833280151173,-50.000000000000604,0
244.21042289110864,-68.18181818181765,1
