sma20_previous,mom10_previous,class
242.89,-0.20000000000001705,1
242.925,0.6999999999999886,1
242.94,0.8000000000000114,0
242.965,1.0,1
243.01000000000005,1.1000000000000227,1
243.045,1.0,0
243.09,1.200000000000017,0
243.13,0.9000000000000057,0
243.175,0.8000000000000114,0
243.23,0.19999999999998866,1
243.28,-0.19999999999998866,1
243.345,-0.30000000000001137,1
243.455,0.0,0
243.59,-0.4000000000000057,1
243.65,0.19999999999998866,1
243.635,-0.09999999999999433,1
243.635,-0.5,1
243.63,0.0,1
243.63,0.0,0
243.64,0.30000000000001137,1
243.63,0.2999999999999829,0
243.63,0.30000000000001137,1
243.63,0.20000000000001705,0
243.615,-0.4000000000000057,0
243.58,-0.5,1
243.58,-0.19999999999998866,0
243.58,-0.09999999999999433,1
243.61000000000004,0.19999999999998866,1
243.50999999999996,-0.19999999999998866,0
243.49499999999995,-0.19999999999998866,1
243.49999999999997,-0.09999999999999433,1
243.5,-0.19999999999998866,1
243.51,0.19999999999998866,0
244.235,2.0,1
244.305,1.6999999999999886,0
244.39500000000004,1.5999999999999943,0
245.085,0.20000000000001705,0
245.21,0.5,1
245.40000000000003,-0.20000000000001705,1
245.4650000000001,0.2999999999999829,1
245.33,0.6000000000000227,0
246.36,-0.30000000000001137,0
246.335,-0.30000000000001137,0
246.05,0.09999999999999433,0
246.04,0.10000000000002274,0
245.925,0.30000000000001137,1
245.94000000000003,1.4000000000000057,1
245.965,0.8000000000000114,0
245.99,0.09999999999999433,1
246.08,0.8000000000000114,1
246.14,0.20000000000001705,0
246.195,-0.09999999999999433,1
246.245,-0.30000000000001137,0
243.215,-0.09999999999999433,0
243.26000000000005,-0.09999999999999433,1
243.27500000000003,-0.19999999999998866,0
243.345,0.09999999999999433,0
243.385,0.19999999999998866,0
243.445,0.19999999999998866,0
243.445,-0.4000000000000057,1
243.45,0.2999999999999829,0
243.445,-0.5,1
243.46,0.19999999999998866,0
243.47000000000003,0.0,1
243.46000000000004,0.09999999999999433,0
243.48,0.0,0
243.505,0.30000000000001137,1
243.51,0.30000000000001137,0
243.525,0.5,1
243.53500000000003,0.4000000000000057,0
243.555,0.5999999999999943,0
243.48999999999995,-0.5,0
243.52,0.20000000000001705,0
243.545,0.30000000000001137,0
243.55,0.19999999999998866,0
243.545,0.19999999999998866,1
243.545,0.4000000000000057,0
243.5300000000001,0.5,1
243.53500000000008,0.19999999999998866,1
243.53000000000003,0.2999999999999829,0
243.54000000000005,0.0,0
243.53000000000003,-0.10000000000002274,1
243.535,0.0,0
243.545,0.19999999999998866,0
243.555,0.09999999999999433,0
243.59,0.0,1
243.45,0.0,1
243.44,0.19999999999998866,0
243.295,0.9000000000000057,1
243.335,0.9000000000000057,0
243.4,1.1999999999999886,0
243.485,1.5999999999999943,1
243.67,1.6999999999999886,1
243.74,2.200000000000017,0
243.795,1.6999999999999886,0
243.84500000000003,0.09999999999999433,0
243.51,0.30000000000001137,0
243.17,-0.3999999999999773,1
243.205,0.19999999999998866,1
243.215,0.0,1
243.235,0.19999999999998866,0
243.285,0.7999999999999828,1
243.49,0.7999999999999828,1
243.74,1.1999999999999886,0
243.805,0.9000000000000057,0
243.86000000000004,0.4000000000000057,0
243.90000000000003,0.4000000000000057,0
243.95000000000005,0.6000000000000227,1
243.99,0.09999999999999433,1
244.07,-0.20000000000001705,1
244.105,-0.6000000000000227,1
244.14999999999995,-0.4000000000000057,0
244.19,-0.2999999999999829,0
244.23999999999995,-0.09999999999999433,1
244.265,-0.10000000000002274,0
244.27,-0.10000000000002274,0
243.79,-0.19999999999998866,1
243.74999999999997,0.19999999999998866,0
243.735,0.5,0
243.715,0.4000000000000057,0
243.695,0.5999999999999943,1
243.67,0.5999999999999943,0
243.66,0.8000000000000114,0
243.09500000000003,0.19999999999998866,0
243.08,0.19999999999998866,0
243.08,0.19999999999998866,1
243.14499999999992,0.9000000000000057,0
243.19499999999996,0.8999999999999773,0
243.23999999999995,0.3999999999999773,1
243.29,0.4000000000000057,1
243.32,0.5,0
243.39500000000004,0.4000000000000057,1
243.425,0.5,1
243.485,0.30000000000001137,1
243.835,1.5,1
243.97000000000003,0.6999999999999886,0
244.04500000000007,0.7999999999999828,1
244.08500000000004,0.4000000000000057,1
244.19,0.5,0
244.225,-0.09999999999999433,1
