adi14_previous,uosc_previous,class
29.49350703497163,21.379885046451914,1
27.33001566438905,28.3890230229244,1
28.138500306321497,25.79184034575511,0
28.88923604525876,27.410741074107047,1
29.839196304385656,25.458241947805533,1
30.127138022428827,22.059716360914866,0
30.39451247489746,22.53823196687541,0
30.64278875218976,17.008123195731017,0
29.65413273155519,18.001621612297242,0
28.7360949981088,21.294207393056475,1
26.808864225706376,18.823053158624145,1
23.357547893495926,19.400939442852376,1
24.263916931273553,22.734051092864657,0
23.099130809294962,19.806918388699184,1
20.347613516425785,23.976680400614004,1
17.624687130911788,16.410981582396726,1
16.909175483037668,17.598505696236007,1
16.711535284196447,25.244667205092536,1
17.33874074742248,25.249840853002485,0
18.274806785425405,24.48608887900327,1
18.52174525658243,20.68233353947642,0
18.167628804815713,23.03139518331161,1
17.838806385318048,25.313688402191204,0
14.047811285716715,26.07199817726034,0
12.590495292347144,23.841362363563217,1
11.723718980900244,31.831787260358386,0
11.781263603796566,33.67464714709917,1
11.993563461893716,25.12902520365177,1
10.348523684005812,34.5283789301762,0
9.84139887985757,38.083953960731904,1
9.479940862592802,45.29616724738735,1
9.669916171077272,38.155061019383176,1
9.846321814670004,41.79587880618865,0
36.52739609974017,16.78437534159132,1
36.066683634769795,11.016211916399515,0
35.901222962108825,10.700751923449292,0
30.784253475909622,25.46232298297667,0
30.407514357618858,25.58364296705452,1
28.696111592936987,25.773341714390234,1
27.828190657430497,20.504068649828078,1
27.777909474020287,18.12724943793112,0
20.94931758949373,26.85638496189079,0
21.726828807740823,10.411822660098213,0
20.850100747130746,27.989222883602626,0
21.022582531595226,25.024668661996568,0
18.96465301825261,18.11371851699863,1
17.64296552108821,17.01057028925865,1
18.029949940459744,18.533360537814385,0
17.774539048536305,23.974840469084764,1
19.521597386233346,30.05736330544499,1
17.83628053099605,24.4884357996983,0
16.85596897350981,21.20493225785105,1
16.43903175848917,22.597534560382535,0
27.351905880629463,33.06260287190153,0
24.396514368889193,54.05018125867856,1
23.5180218814308,40.04091994637346,0
20.313481744341985,31.2064848112204,0
18.921429054368943,29.467876039305487,0
18.333946911158463,28.43357734007535,0
17.202181312156974,31.432506261682025,1
16.527741506593383,33.68136187095412,0
16.255569177702306,34.19879062736174,1
15.199733703992365,37.75182677789487,0
14.799968119111641,35.26533304614739,1
14.428757218865249,35.51621465746649,0
14.084061382922178,35.2383180954608,0
14.132824171475516,30.00099267330749,1
13.345742014891947,33.81157340985156,0
12.614880012350055,41.478646253021104,1
11.936222438561153,35.67655987503232,0
12.060965966298456,42.090403875300176,0
10.508742724530194,19.91795366795364,0
10.551203324066408,24.090984102535906,0
11.592449135621335,23.367220712535282,0
12.559320246350902,22.030616651112343,0
12.074671102857986,20.930118181710338,1
11.62463975532885,23.598901098901,0
10.818716270723105,22.619047619047183,1
10.894874503855435,19.07207006191723,1
10.965592863192592,23.222917307625213,0
11.471529205555143,30.54741988643785,0
11.941327237748899,35.26624442880442,1
12.816823244868123,35.5825206580791,0
13.62978382290741,38.38355303274524,0
15.187370909879633,40.77758625813279,0
17.210901329108648,34.37470350558354,1
14.66350116158429,24.869169266583878,1
13.647362654291612,23.64773866535798,0
18.43783559312172,45.57283897040844,1
19.612686809556244,40.707841220730856,0
21.5913002090508,38.199920714206435,0
23.42858408001002,34.934560388860234,1
28.103873545614746,30.68327462737411,1
29.967589134721035,22.414338104076982,0
31.34619330779241,21.35090829231859,0
32.62632575421583,19.118047448054604,0
20.223506211936744,17.842639591114217,0
14.575185601099449,34.670474419431535,1
14.166002276412636,46.43433231459743,1
13.78604633206057,56.2979917565609,1
12.916829735310811,56.73128261177804,0
13.554546592099786,56.45098948670705,1
15.423272252521436,34.2869896061393,1
22.18564036177448,22.53983931420083,0
24.034625244078985,21.582156528700303,0
24.433777777973873,24.40108987600564,0
24.804419416590573,21.897842594564352,0
24.335039209540483,23.470062016355136,1
23.89918616013681,22.459849038908096,1
22.6391366890462,19.436342599255358,1
22.225102817930544,21.363808605188233,1
21.3864821100137,21.907519585081612,0
21.278555190048625,22.359463608892398,0
21.17833733579531,21.19047920468336,1
20.594244309146553,22.151191698592022,0
19.582386587333122,28.53547406734099,0
26.633500708305892,26.59404670959333,1
24.21716023652717,36.42787091953472,0
22.662838967734423,36.99339763163145,0
21.31852480705852,30.552163548508094,0
20.07023308643088,27.50345713227412,1
18.85586140719128,25.68820737495389,0
17.7821959635366,25.71765347360269,0
29.25380614078433,34.00538772919588,0
26.561938597080665,33.481268901568875,0
26.561938597080665,33.481268901568875,1
22.64447630571141,23.72247823860724,0
22.225217024745675,20.766228061634067,0
21.40025334139247,21.60682454800091,1
20.250489922857888,20.9438278518816,1
19.182852462790052,22.39925482890425,0
18.491834369966604,25.296009491734647,1
18.068313226042694,27.290729283839113,1
17.981200619141127,31.71212972033501,1
24.98727059245132,27.759254094145373,1
25.77062932335507,24.262813752372452,0
26.14294611517559,23.77513642819716,1
26.186910541257912,21.334289747762075,1
25.845676933774147,17.643596875088612,0
26.037022757697486,17.408876232405245,1
