stochk_14_previous,uosc_current,class
51.515151515151786,21.73981761800549,1
73.52207977208016,25.79184034575511,1
75.04713423831045,27.410741074107047,0
80.02450980392116,25.458241947805533,1
82.10784313725487,22.059716360914866,1
85.60924369747927,22.53823196687541,0
86.30952380952391,17.008123195731017,0
88.09523809523813,18.001621612297242,0
87.91208791208794,21.294207393056475,0
89.92673992674055,18.823053158624145,1
84.61538461538484,18.40018779047218,1
65.59829059829039,24.898530091291583,1
65.40404040404047,20.041599065123695,0
61.11111111111219,22.632547091945906,1
37.50000000000088,15.68505663134856,1
37.50000000000088,17.598505696236007,1
37.50000000000088,25.244667205092536,1
33.333333333334515,25.249840853002485,1
45.83333333333361,24.48608887900327,0
62.500000000000284,20.68233353947642,1
75.00000000000058,23.03139518331161,0
75.00000000000058,25.313688402191204,1
70.83333333333421,27.7983641514426,0
16.6666666666659,32.136985555576594,0
25.92592592592545,31.831787260358386,1
31.48148148148163,33.67464714709917,0
29.62962962962989,30.50520907663741,1
80.95238095237848,27.385426892815772,1
28.57142857143036,38.083953960731904,0
33.333333333334735,45.29616724738735,1
34.92063492063627,38.155061019383176,1
42.06349206349282,41.79587880618865,1
44.44444444444498,42.747729538901595,0
52.97181372549016,11.016211916399515,1
47.91666666666654,10.700751923449292,0
44.27083333333314,11.397583103340258,0
22.555018786902732,25.58364296705452,0
32.555018786902735,26.44745501293643,1
53.0303030303026,20.504068649828078,1
59.44055944055873,20.10329201522816,1
74.81146304675703,16.042671807504803,0
42.222222222221696,18.091746962714303,0
8.88888888888836,13.347815385319764,0
38.88888888888905,25.024668661996568,0
54.761904761904546,22.66507885341846,0
66.66666666666664,19.125336279995143,1
65.07936507936472,18.533360537814385,1
73.01587301587256,23.974840469084764,0
79.36507936507894,26.17734288287027,1
80.37741412354431,21.78115975099018,1
73.01587301587355,21.20493225785105,0
58.333333333333705,22.597534560382535,1
49.99999999999997,17.862198395321165,0
73.3333333333339,42.98227227399214,0
73.08080808080898,40.04091994637346,1
62.247474747475366,38.65157398992244,0
41.666666666667254,29.467876039305487,0
45.83333333333361,25.602943840185226,0
49.99999999999999,31.432506261682025,0
54.166666666666366,33.68136187095412,1
50.0,33.28713458506989,0
50.83333333333227,30.263857267044934,1
46.6666666666659,35.26533304614739,0
56.66666666666533,35.51621465746649,1
66.66666666666477,35.2383180954608,0
79.99999999999828,30.00099267330749,0
83.33333333333142,33.81157340985156,1
86.66666666666458,41.478646253021104,0
83.33333333333144,35.67655987503232,1
86.66666666666553,42.090403875300176,0
79.74358974358908,44.50969795231997,0
27.272727272726726,24.090984102535906,0
36.3636363636362,23.367220712535282,0
54.54545454545517,22.030616651112343,0
66.66666666666752,20.930118181710338,0
75.757575757577,23.598901098901,1
63.63636363636465,20.58849779661936,0
48.48484848484856,19.07207006191723,1
51.51515151515144,23.222917307625213,1
48.48484848484856,30.54741988643785,0
48.48484848484856,35.26624442880442,0
56.666666666667226,35.5825206580791,1
61.515151515151814,38.38355303274524,0
57.61904761904742,40.77758625813279,0
43.80952380952266,37.97508151814147,0
40.47619047618873,39.402789901124265,1
66.66666666666802,23.64773866535798,1
66.66666666666802,26.14139814600563,0
36.66666666666661,40.707841220730856,1
42.31884057970973,38.199920714206435,0
51.76328502415447,34.934560388860234,0
71.20772946859908,31.093998491570744,1
70.00000000000016,22.414338104076982,1
72.22222222222223,21.35090829231859,0
77.77777777777784,19.118047448054604,0
79.99999999999993,19.248889408464443,0
64.35185185185192,19.21139380253013,0
72.96296296296242,46.43433231459743,1
68.68945868945805,56.2979917565609,1
66.83760683760579,56.73128261177804,1
54.456654456653865,56.45098948670705,0
54.68975468975446,43.778893660313855,1
71.21212121212145,27.796629444037556,1
81.82957393483719,21.582156528700303,0
77.1929824561402,24.40108987600564,0
78.94736842105239,21.897842594564352,0
75.43859649122804,23.470062016355136,0
68.73065015479894,22.459849038908096,1
62.919246646027176,17.539360562863887,1
40.91117216117235,21.363808605188233,1
34.98168498168489,21.907519585081612,1
35.89743589743573,22.359463608892398,0
32.30769230769172,21.19047920468336,0
32.82051282051257,22.151191698592022,1
36.66666666666652,28.53547406734099,0
38.33333333333298,26.705413759481825,0
15.555555555555983,32.89703926646609,1
34.444444444445004,36.99339763163145,0
47.22222222222239,30.552163548508094,0
62.777777777778084,27.50345713227412,0
76.1111111111116,25.68820737495389,1
83.33333333333431,25.71765347360269,0
83.93939393939486,23.572125142941925,0
57.777777777778866,31.488374427887784,0
66.66666666666735,28.90510468289171,0
66.66666666666735,28.90510468289171,1
76.54012654012661,20.766228061634067,0
80.21978021978012,21.60682454800091,0
85.71428571428595,20.9438278518816,1
85.71428571428595,22.39925482890425,1
76.19047619047632,30.2793265847447,0
73.80952380952398,27.290729283839113,1
76.62337662337724,31.71212972033501,1
80.08658008658112,33.113674577969014,1
61.53846153846101,25.780138262747503,1
64.10256410256358,23.77513642819716,0
56.410256410255954,21.334289747762075,1
48.71794871794831,18.502682733675357,1
37.60683760683783,17.408876232405245,0
37.37373737373759,19.015269484327774,1
