rsi14_previous,wpr14_current,class
-18.500407777050388,-22.222222222220818,1
22.277730058028173,-23.529411764705984,1
18.323516316432432,-5.8823529411760775,0
24.76988694583753,-12.499999999999332,1
24.76988694583753,-21.428571428572152,1
20.836230548135052,-7.142857142856707,0
25.061974356347164,-14.285714285713414,0
21.160900258450692,-15.384615384614374,0
21.160900258450692,-23.07692307692375,0
16.63657763603696,-46.15384615384532,1
2.0195353174736543,-46.15384615384532,1
6.891463635604608,-0.0,1
10.70939285789956,-33.33333333333176,0
-3.2624860165443152,-62.49999999999911,1
5.487411210615363,-74.99999999999824,1
-3.6859918027169267,-62.49999999999911,1
1.4764203268832716,-37.500000000000895,1
9.80194180284569,-24.99999999999823,1
13.201650031964023,-12.499999999999115,0
16.27345156714425,-37.500000000000895,1
7.283662721075642,-24.99999999999823,0
11.054133230035717,-24.99999999999823,1
11.054133230035717,-37.500000000000895,0
-5.936793576603848,-66.66666666666825,0
-17.166401136642552,-55.55555555555521,1
-1.8018360413373105,-44.4444444444448,0
3.879108784747871,-28.571428571430317,1
9.435306228375024,-14.285714285717187,1
-11.488438602341231,-57.14285714285656,0
-11.488438602341231,-33.333333333334906,1
6.330362858200742,-50.0,1
-1.4717048687383991,-16.666666666669823,1
11.475843209984506,-16.666666666669823,0
15.14059670309007,-59.375000000000135,1
13.221505730246008,-53.125000000000036,0
18.43960836214133,-56.24999999999986,0
14.34111631089749,-40.909090909091375,0
17.25881243782385,-54.54545454545431,1
5.905346588094147,-30.769230769231612,1
8.048925420453926,-15.384615384614714,1
18.768620519672453,-29.41176470588255,0
-0.8428364144832301,-93.33333333333373,0
0.911012377284422,-73.33333333333294,0
12.641082726109602,-23.80952380952355,0
9.801070102429053,-38.095238095238216,0
0.9916716784941996,-33.33333333333378,1
14.416792227493048,-14.285714285714672,1
14.416792227493048,-14.285714285714672,0
14.416792227493048,-23.80952380952355,1
19.221440772531565,-50.0,1
1.8709722321077609,-50.0,0
5.405951629219104,-66.66666666666825,1
-2.5038297766230784,-81.81818181818275,0
-6.150531008400961,-19.999999999998863,0
-5.600105261462119,-74.99999999999824,1
-5.600105261462119,-62.49999999999911,0
-1.1787977486342385,-50.00000000000001,0
3.306361955186631,-25.000000000001783,0
6.4456307818778384,-62.49999999999911,0
-2.762020923949265,-37.500000000000895,1
5.9699577150342416,-50.00000000000001,0
-12.486775411882064,-50.0,1
6.856219078603374,-20.0000000000017,0
6.856219078603374,-20.0000000000017,1
6.856219078603374,-10.000000000002274,0
10.721733542434123,-0.0,0
14.178119011846904,-30.000000000001133,1
-0.03684619839033587,-0.0,0
11.691889745498088,-20.0000000000017,1
3.2774596066687,-15.384615384614714,0
13.264134705584324,-38.461538461538964,0
-2.718588666353128,-27.272727272725863,0
13.165260463896034,-27.272727272725863,0
13.165260463896034,-36.36363636363706,0
8.797373830786142,-54.54545454545431,0
-0.6103819943709112,-45.45454545454569,1
4.04546886116195,-45.45454545454569,0
4.04546886116195,-45.45454545454569,1
4.04546886116195,-36.36363636363706,1
9.105602555029165,-27.272727272725863,0
13.440854767851606,-40.000000000000576,0
7.7325750963479996,-40.000000000000576,1
7.7325750963479996,-57.14285714285889,0
7.7325750963479996,-57.14285714285889,0
7.7325750963479996,-71.42857142857258,0
0.05464813789346579,-66.66666666666825,1
-3.859525899504817,-28.57142857142741,1
4.479630263448527,-16.66666666666588,0
24.075709840091942,-30.43478260869539,1
14.870054547444001,-30.000000000000192,0
21.847498941927253,-23.333333333333908,0
24.066345659842824,-33.333333333333336,1
24.99650351135679,-19.999999999999808,1
20.89329138579868,-30.000000000000192,0
14.265025644511836,-30.000000000000192,0
14.265025644511836,-33.333333333333336,0
-0.5454863517553861,-16.666666666667194,0
-3.324890305382766,-23.07692307692375,1
2.909462573438901,-44.4444444444448,1
-0.23818501028578964,-14.285714285717187,1
8.252658882880041,-9.09090909090862,0
16.40549302351181,-27.272727272725863,1
14.214068076582675,-7.692307692307187,1
19.886834504894253,-21.052631578947604,0
19.886834504894253,-26.31578947368413,0
17.170004990813286,-36.84210526315718,0
11.31837219125427,-41.1764705882349,0
11.31837219125427,-50.00000000000089,1
7.925117668432094,-71.42857142857113,1
7.332991651174751,-61.53846153846187,1
7.332991651174751,-61.53846153846187,1
7.332991651174751,-69.99999999999885,0
10.673170498435098,-59.999999999999424,0
13.730899528751936,-80.00000000000115,1
5.357636294818363,-75.00000000000179,0
5.357636294818363,-87.50000000000091,0
-16.133402973734732,-41.66666666666706,1
-1.2465530181078464,-24.999999999998817,0
9.36253235347283,-19.999999999998863,0
3.7889043781124334,-9.999999999999432,0
8.74183825941924,-9.999999999999432,1
8.74183825941924,-9.09090909090862,0
13.303380404559007,-18.18181818181724,0
-1.5354069851347134,-39.999999999999616,0
8.92272293346524,-27.272727272725863,0
8.92272293346524,-27.272727272725863,1
18.62249972232605,-21.428571428572152,0
11.949982401766976,-21.428571428572152,0
11.949982401766976,-28.57142857142886,1
8.08071200286345,-28.57142857142886,1
8.08071200286345,-7.142857142856707,0
13.165609045334008,-27.272727272725863,1
15.957350925430362,-18.18181818181724,1
18.526293204782466,-0.0,1
32.469328302472526,-50.00000000000055,1
19.36181058648505,-50.00000000000055,0
19.36181058648505,-61.538461538461455,1
9.53922653204694,-70.83333333333387,1
18.119227408984532,-68.18181818181765,0
9.22750320370183,-68.18181818181765,1
