adi14_current,adi14_previous,class
28.5086304682157,29.49350703497163,1
28.138500306321486,27.33001566438905,1
28.889236045258755,28.138500306321497,0
29.839196304385656,28.88923604525876,1
30.1271380224288,29.839196304385656,1
30.39451247489746,30.127138022428827,0
30.64278875218976,30.39451247489746,0
29.654132731555194,30.64278875218976,0
28.736094998108808,29.65413273155519,0
26.808864225706376,28.7360949981088,1
25.01929279418984,26.808864225706376,1
23.82751702419544,23.357547893495926,1
24.669145416417518,24.263916931273553,0
21.868108022296845,23.099130809294962,1
18.93572576097408,20.347613516425785,1
16.909175483037668,17.624687130911788,1
16.71153528419644,16.909175483037668,1
17.33874074742247,16.711535284196447,1
18.274806785425397,17.33874074742248,0
18.521745256582424,18.274806785425405,1
18.167628804815713,18.52174525658243,0
17.838806385318048,18.167628804815713,1
16.68817326665854,17.838806385318048,0
14.074892976867886,14.047811285716715,0
11.723718980900257,12.590495292347144,1
11.781263603796566,11.723718980900244,0
12.217731914307196,11.781263603796566,1
12.321318526539313,11.993563461893716,1
9.841398879857568,10.348523684005812,0
9.479940862592802,9.84139887985757,1
9.669916171077269,9.479940862592802,1
9.846321814669997,9.669916171077272,1
10.01012705514896,9.846321814670004,0
36.066683634769795,36.52739609974017,1
35.901222962108825,36.066683634769795,0
35.747580908923624,35.901222962108825,0
30.407514357618858,30.784253475909622,0
29.630795677328607,30.407514357618858,1
27.828190657430497,28.696111592936987,1
27.49926336354553,27.828190657430497,1
28.178075905958515,27.777909474020287,0
20.97154111331691,20.94931758949373,0
22.22618143909097,21.726828807740823,0
21.022582531595226,20.850100747130746,0
20.640385946514307,21.022582531595226,0
18.443075284331172,18.96465301825261,1
18.029949940459744,17.64296552108821,1
17.77453904853629,18.029949940459744,0
17.75913036032934,17.774539048536305,1
18.89200066982739,19.521597386233346,1
16.85596897350981,17.83628053099605,0
16.43903175848917,16.85596897350981,1
16.289187371129106,16.43903175848917,0
26.36142655977246,27.351905880629463,0
23.5180218814308,24.396514368889193,1
22.27543432637408,23.5180218814308,0
18.921429054368936,20.313481744341985,0
18.61680868381536,18.921429054368943,0
17.202181312156945,18.333946911158463,0
16.52774150659339,17.202181312156974,1
15.901475972855765,16.527741506593383,0
16.360571372737304,16.255569177702306,1
14.799968119111641,15.199733703992365,0
14.428757218865249,14.799968119111641,1
14.084061382922178,14.428757218865249,0
14.132824171475525,14.084061382922178,0
13.34574201489194,14.132824171475516,1
12.614880012350055,13.345742014891947,0
11.936222438561153,12.614880012350055,1
12.060965966298456,11.936222438561153,0
11.728211985074987,12.060965966298456,0
10.551203324066408,10.508742724530194,0
11.592449135621324,10.551203324066408,0
12.559320246350902,11.592449135621335,0
12.074671102857986,12.559320246350902,0
11.624639755328849,12.074671102857986,1
11.206753504051797,11.62463975532885,0
10.894874503855425,10.818716270723105,1
10.965592863192587,10.894874503855435,1
11.471529205555123,10.965592863192592,0
11.941327237748927,11.471529205555143,0
12.816823244868123,11.941327237748899,1
13.6297838229074,12.816823244868123,0
15.187370909879636,13.62978382290741,0
16.633701776353846,15.187370909879633,0
17.047087438593024,17.210901329108648,1
13.647362654291616,14.66350116158429,1
12.703805468948413,13.647362654291612,0
19.612686809556244,18.43783559312172,1
21.5913002090508,19.612686809556244,0
23.42858408001002,21.5913002090508,0
24.812100966834027,23.42858408001002,1
29.967589134721035,28.103873545614746,1
31.34619330779241,29.967589134721035,0
32.62632575421583,31.34619330779241,0
32.74811854588482,32.62632575421583,0
19.198150644333147,20.223506211936744,0
14.166002276412605,14.575185601099449,1
13.786046332060563,14.166002276412636,1
12.916829735310724,13.78604633206057,1
13.554546592099767,12.916829735310811,0
14.14671224483238,13.554546592099786,1
16.677219901394473,15.423272252521436,1
24.034625244078974,22.18564036177448,0
24.433777777973873,24.034625244078985,0
24.80441941659055,24.433777777973873,0
24.33503920954046,24.804419416590573,0
23.89918616013681,24.335039209540483,1
23.085019319478427,23.89918616013681,1
22.225102817930544,22.6391366890462,1
21.386482110013713,22.225102817930544,1
21.2785551900486,21.3864821100137,0
21.178337335795323,21.278555190048625,0
20.594244309146546,21.17833733579531,1
19.582386587333122,20.594244309146553,0
18.642804417077798,19.582386587333122,0
25.380583426642843,26.633500708305892,1
22.66283896773444,24.21716023652717,0
21.318524807058505,22.662838967734423,0
20.07023308643088,21.31852480705852,0
18.85586140719128,20.07023308643088,1
17.7821959635366,18.85586140719128,0
16.7852209087144,17.7821959635366,0
28.047482860480557,29.25380614078433,0
25.182504638209327,26.561938597080665,0
25.182504638209327,26.561938597080665,1
22.225217024745675,22.64447630571141,0
21.40025334139247,22.225217024745675,0
20.250489922857888,21.40025334139247,1
19.182852462790045,20.250489922857888,1
18.512652009814406,19.182852462790052,0
18.068313226042694,18.491834369966604,1
17.981200619141127,18.068313226042694,1
18.19813323954607,17.981200619141127,1
25.539220006270078,24.98727059245132,1
26.142946115175576,25.77062932335507,0
26.186910541257912,26.14294611517559,1
25.63961220031826,26.186910541257912,1
26.037022757697468,25.845676933774147,0
25.60473829445279,26.037022757697486,1
