price_current,stoch_rsi_14_current,class
242.9,100.0,1
243.5,95.6193041181328,1
243.8,100.0,0
243.8,100.0,1
243.7,91.26723929384715,1
243.9,100.0,0
243.8,91.04485588976624,0
243.8,91.04485588976624,0
243.7,80.65900828262838,0
243.4,47.10473139803856,1
243.4,18.114273800187064,1
244.0,87.27427147493471,1
243.8,50.63369496578653,0
243.5,16.25870698135886,1
243.4,0.0,1
243.5,19.99722085346585,1
243.7,52.247124095496886,1
243.8,65.41630055570515,1
243.9,77.31529121644724,0
243.7,42.492268864146226,1
243.8,73.85038129375035,0
243.8,73.85038129375035,1
243.7,48.20598456844496,0
243.6,34.68016337260493,0
243.5,59.07453707633842,1
243.6,81.57748574983876,0
243.6,81.57748574983876,1
243.7,100.0,1
243.4,21.344353790494093,0
243.6,85.16067082974463,1
243.5,47.872566859533364,1
243.7,100.0,1
243.7,100.0,0
245.1,51.17347630761281,1
245.5,60.38213367781202,0
245.3,53.64109123823603,0
245.6,56.73892330768643,0
245.3,28.074346063089763,1
245.2,27.14521603864653,1
245.4,55.02432458915143,1
245.5,49.9573019241618,0
246.0,0.0,0
246.3,40.685717256242974,0
246.3,96.13692187877035,0
246.0,83.65620794864253,0
246.1,88.33454660443716,1
246.5,100.0,1
246.5,100.0,0
246.3,90.65426261383531,1
246.4,45.71769207521586,1
246.4,45.14023347990386,0
246.2,0.0,1
246.1,0.0,0
243.4,92.20395515751265,0
243.3,2.7141294901922466,1
243.4,25.70314745084002,0
243.5,46.63159785095691,0
243.7,83.19099685973963,0
243.4,16.708620916030778,0
243.6,59.765692398602866,1
243.5,37.79479690772285,0
243.3,28.476996527708703,1
243.6,83.94939056617491,0
243.6,83.94939056617491,1
243.7,100.0,0
243.8,100.0,0
243.5,48.37268506164109,1
243.8,90.97026693738823,0
243.6,60.409908302721284,1
243.9,96.68050150455852,0
243.6,54.879864698513906,0
243.8,99.72813516405235,0
243.8,99.72813516405235,0
243.7,87.71818431464987,0
243.5,61.85059786979043,0
243.6,74.8558425022343,1
243.6,74.8558425022343,0
243.6,74.8558425022343,1
243.7,88.80712605132376,1
243.8,100.0,0
243.7,84.38039864214826,0
243.7,64.67527056395471,1
243.7,64.67527056395471,0
243.7,59.37525096117794,0
243.6,4.7328939332397075,0
243.6,4.7328939332397075,1
243.5,100.0,1
243.5,100.0,0
244.0,88.98375557720291,1
244.5,97.33353953636237,0
244.7,99.9887940515733,0
244.4,92.37089664886213,1
244.8,95.14327495117088,1
244.5,87.29779602613846,0
244.5,87.29779602613846,0
244.4,84.26482981448916,0
243.5,91.96335811126708,0
243.5,84.7822423933027,1
243.4,45.24559670624518,1
243.7,100.0,1
244.1,100.0,0
243.9,73.35173393948969,1
244.3,100.0,1
244.6,83.20548203416988,0
244.5,73.46664913090882,0
244.3,46.5799301717969,0
244.3,46.57993017179693,0
244.2,12.782206237349241,1
244.0,0.0,1
244.2,28.03718340851975,1
244.2,28.03718340851975,1
244.3,41.98050090227376,0
244.4,54.74475354537569,0
244.2,19.791215705546048,1
244.2,24.603018275446768,0
244.1,0.0,0
243.7,89.5093114708942,1
243.9,100.0,0
243.8,91.67590488561798,0
243.9,99.07300654103969,0
243.9,99.07300654103969,1
244.0,100.0,0
243.9,91.60310406029741,0
243.1,89.38507814669218,0
243.4,90.51016299775259,0
243.4,90.51016299775259,1
243.7,85.75895175068598,0
243.7,84.34089184237841,0
243.6,75.26046225985358,1
243.6,75.26046225985358,1
243.9,96.12914387171419,0
243.9,89.02189991712179,1
244.0,99.60371264094181,1
244.2,100.0,1
244.6,42.05776173905254,1
244.6,42.05776173905254,0
244.3,5.437578273662547,1
244.2,0.0,1
244.4,11.125949367706623,0
244.4,11.12594936770667,1
