price_previous,ema100_current,class
242.7,243.18905225418166,1
243.6,243.2059823509734,1
243.5,243.21960454887298,0
243.8,243.23295700028004,1
243.8,243.24344502462958,1
243.7,243.2576857613686,0
243.9,243.26904448124196,0
243.8,243.28048818799888,0
243.8,243.28941517665172,0
243.7,243.29067523904556,1
243.4,243.29191034970887,1
243.5,243.31029924093696,1
243.7,243.3284839227556,0
243.4,243.33751678839408,1
243.6,243.3447663049139,1
243.4,243.3498359170736,1
243.5,243.3580095074276,1
243.7,243.36831135455623,1
243.8,243.38131913882043,0
243.9,243.38917921106997,1
243.7,243.3982440122856,0
243.8,243.40743922451642,1
243.8,243.41447215531707,0
243.5,243.43239618066715,0
243.3,243.42857866939048,1
243.5,243.43290288727312,0
243.6,243.4368315650493,1
243.7,243.4505651585406,1
243.4,243.45160054841358,0
243.4,243.4551589754741,1
243.6,243.4563568285833,1
243.5,243.4621111819273,1
243.7,243.46806149971002,0
245.2,243.82994300544357,1
245.1,243.8701414176561,0
245.5,243.90527351363698,0
245.4,244.10478228197974,0
245.6,244.13464820015275,1
245.1,244.18798273851326,1
245.2,244.21942096903098,1
245.8,244.32506238048538,0
246.2,245.83408383388885,0
246.2,245.87057307332157,0
246.4,245.86638279248183,0
246.3,245.87057823792648,0
246.0,245.8842262192538,1
246.5,245.92862768583853,1
246.5,245.94552040561916,0
246.5,245.95718848396888,1
246.8,246.03293930986325,1
246.3,246.05245192054863,0
246.4,246.0590926090496,1
246.2,246.06300177668945,0
243.3,244.2284174956066,0
243.3,244.15737520939186,1
243.3,244.13215058352168,0
243.4,244.06549234972576,0
243.5,244.05050707671853,0
243.6,244.01353315183098,0
243.4,243.9979064878408,1
243.6,243.9796793286337,0
243.2,243.8651202898652,1
243.6,243.845215351992,0
243.6,243.83385144982952,1
243.6,243.82283330127632,0
243.7,243.8146333559607,0
243.8,243.8006551917408,1
243.5,243.79444397705845,0
243.8,243.78315571256888,1
243.6,243.7786513961876,0
243.9,243.76736594404213,0
243.4,243.62229653862755,0
243.8,243.61775770628597,0
243.8,243.61163846582176,0
243.7,243.6013700903672,0
243.5,243.59390507115882,1
243.6,243.58720769817168,0
243.6,243.57971296384312,1
243.6,243.57682638085092,1
243.7,243.57659697999665,0
243.8,243.5737720996549,0
243.7,243.57224280565552,1
243.7,243.570433882676,0
243.7,243.5689706919833,0
243.7,243.5661761014024,0
243.6,243.56075797658417,1
243.4,243.45396621440563,1
243.5,243.45084891813374,0
244.4,243.43766415086878,1
244.0,243.4630392727289,0
244.5,243.49156240093876,0
244.7,243.51389003269833,1
245.0,243.60340637005638,1
244.8,243.62673911589187,0
244.5,243.64929991512696,0
244.5,243.66757429566596,0
243.4,243.51813622269586,0
243.3,243.49600610749957,1
243.5,243.49317526037171,1
243.4,243.4978906238292,1
243.7,243.512602790038,0
244.1,243.52213349409507,1
244.1,243.55822548539874,1
244.6,243.64952012843827,0
244.6,243.669460434308,0
244.5,243.68349592644898,0
244.3,243.6978733121113,0
244.3,243.7087461509301,1
244.2,243.71575320199963,1
244.2,243.73903722122918,1
244.2,243.7509544053113,1
244.2,243.765235627629,0
244.3,243.78152416351418,0
244.4,243.79321984606514,1
244.2,243.8037541948537,0
244.2,243.81178983262703,0
243.5,243.7321990925196,1
243.7,243.73551672689067,0
243.9,243.73741344744647,0
243.8,243.74156271922902,0
243.9,243.74562982721366,1
243.9,243.751906508456,0
244.0,243.7560787009608,0
243.2,243.51991036140927,0
243.5,243.51617674725293,0
243.5,243.51617674725293,1
243.9,243.51986470045483,0
243.7,243.52095243985409,0
243.7,243.51817896966287,1
243.6,243.51608024373226,1
243.6,243.521823142967,0
243.8,243.5310351816962,1
243.9,243.5412513498301,1
244.0,243.55646526176227,1
245.1,243.67698746346886,1
244.6,243.72574573034674,0
244.6,243.74269551855275,1
244.3,243.7557799092213,1
244.7,243.79482958383943,0
244.4,243.80898254064275,1
