stochk_14_current,stochk_14_previous,class
55.55555555555623,51.515151515151786,1
75.04713423831045,73.52207977208016,1
80.02450980392116,75.04713423831045,0
82.10784313725487,80.02450980392116,1
85.60924369747927,82.10784313725487,1
86.30952380952391,85.60924369747927,0
88.09523809523813,86.30952380952391,0
87.91208791208794,88.09523809523813,0
89.92673992674055,87.91208791208794,0
84.61538461538484,89.92673992674055,1
74.35897435897455,84.61538461538484,1
58.13908313908306,65.59829059829039,1
68.18181818181891,65.40404040404047,0
47.222222222223365,61.11111111111219,1
37.50000000000088,37.50000000000088,1
37.50000000000088,37.50000000000088,1
33.333333333334515,37.50000000000088,1
45.83333333333361,33.333333333334515,1
62.500000000000284,45.83333333333361,0
75.00000000000058,62.500000000000284,1
75.00000000000058,75.00000000000058,0
70.83333333333421,75.00000000000058,1
70.83333333333421,70.83333333333421,0
16.6666666666659,16.6666666666659,0
31.48148148148163,25.92592592592545,1
29.62962962962989,31.48148148148163,0
49.735449735449656,29.62962962962989,1
85.71428571428288,80.95238095237848,1
33.333333333334735,28.57142857143036,0
34.92063492063627,33.333333333334735,1
42.06349206349282,34.92063492063627,1
44.44444444444502,42.06349206349282,1
61.111111111110056,44.44444444444498,0
47.91666666666654,52.97181372549016,1
44.27083333333314,47.91666666666654,0
43.74999999999983,44.27083333333314,0
32.555018786902735,22.555018786902732,0
45.005611672278064,32.555018786902735,1
59.44055944055873,53.0303030303026,1
62.820512820511986,59.44055944055873,1
81.1463046757168,74.81146304675703,0
26.666666666666387,42.222222222221696,0
8.88888888888836,8.88888888888836,0
54.761904761904546,38.88888888888905,0
70.89947089947083,54.761904761904546,0
61.904761904761756,66.66666666666664,1
73.01587301587256,65.07936507936472,1
79.36507936507894,73.01587301587256,0
85.71428571428531,79.36507936507894,1
82.664995822891,80.37741412354431,1
58.333333333333705,73.01587301587355,0
49.99999999999997,58.333333333333705,1
42.42424242424193,49.99999999999997,0
66.66666666666761,73.3333333333339,0
62.247474747475366,73.08080808080898,1
51.13636363636466,62.247474747475366,0
45.83333333333361,41.666666666667254,0
45.83333333333361,45.83333333333361,0
54.166666666666366,49.99999999999999,0
50.0,54.166666666666366,1
54.166666666666366,50.0,0
46.6666666666659,50.83333333333227,1
56.66666666666533,46.6666666666659,0
66.66666666666477,56.66666666666533,1
79.99999999999828,66.66666666666477,0
83.33333333333142,79.99999999999828,0
86.66666666666458,83.33333333333142,1
83.33333333333144,86.66666666666458,0
86.66666666666553,83.33333333333144,1
79.74358974358908,86.66666666666553,0
84.61538461538456,79.74358974358908,0
36.3636363636362,27.272727272726726,0
54.54545454545517,36.3636363636362,0
66.66666666666752,54.54545454545517,0
75.757575757577,66.66666666666752,0
63.63636363636465,75.757575757577,1
54.54545454545517,63.63636363636465,0
51.51515151515144,48.48484848484856,1
48.48484848484856,51.51515151515144,1
48.48484848484856,48.48484848484856,0
56.666666666667226,48.48484848484856,0
61.515151515151814,56.666666666667226,1
57.61904761904742,61.515151515151814,0
43.80952380952266,57.61904761904742,0
38.095238095236546,43.80952380952266,0
36.507936507934886,40.47619047618873,1
66.66666666666802,66.66666666666802,1
76.19047619047716,66.66666666666802,0
42.31884057970973,36.66666666666661,1
51.7632850241545,42.31884057970973,0
71.20772946859908,51.76328502415447,0
68.88888888888879,71.20772946859908,1
72.22222222222223,70.00000000000016,1
77.7777777777778,72.22222222222223,0
79.99999999999993,77.77777777777784,0
75.55555555555544,79.99999999999993,0
71.75925925925921,64.35185185185192,0
68.68945868945805,72.96296296296242,1
66.83760683760579,68.68945868945805,1
54.456654456653865,66.83760683760579,1
54.68975468975446,54.456654456653865,0
62.77056277056304,54.68975468975446,1
69.1142191142188,71.21212121212145,1
77.1929824561402,81.82957393483719,0
78.94736842105239,77.1929824561402,0
75.43859649122804,78.94736842105239,0
68.73065015479894,75.43859649122804,0
62.919246646027176,68.73065015479894,1
50.26260504201707,62.919246646027176,1
34.98168498168489,40.91117216117235,1
35.89743589743573,34.98168498168489,1
32.30769230769172,35.89743589743573,0
32.82051282051253,32.30769230769172,0
36.66666666666652,32.82051282051257,1
38.33333333333298,36.66666666666652,0
29.166666666665826,38.33333333333298,0
20.00000000000044,15.555555555555983,1
47.22222222222239,34.444444444445004,0
62.777777777778084,47.22222222222239,0
76.1111111111116,62.777777777778084,0
83.33333333333431,76.1111111111116,1
83.93939393939486,83.33333333333431,0
87.272727272728,83.93939393939486,0
62.35294117647146,57.777777777778866,0
69.49494949494998,66.66666666666735,0
69.49494949494998,66.66666666666735,1
80.21978021978012,76.54012654012661,0
85.71428571428595,80.21978021978012,0
85.71428571428595,85.71428571428595,1
76.19047619047636,85.71428571428595,1
71.42857142857117,76.19047619047632,0
76.6233766233772,73.80952380952398,1
80.08658008658112,76.62337662337724,1
81.81818181818281,80.08658008658112,1
64.10256410256358,61.53846153846101,1
56.410256410255954,64.10256410256358,0
48.71794871794831,56.410256410255954,1
43.16239316239307,48.71794871794831,1
37.37373737373759,37.60683760683783,0
38.38383838383855,37.37373737373759,1
