mom10_current,wpr14_previous,class
0.30000000000001137,-54.54545454545549,1
0.8000000000000114,-12.500000000000892,1
1.0,-23.529411764705984,0
1.1000000000000227,-5.8823529411760775,1
1.0,-12.499999999999332,1
1.200000000000017,-21.428571428572152,0
0.9000000000000057,-7.142857142856707,0
0.8000000000000114,-14.285714285713414,0
0.19999999999998866,-15.384615384614374,0
-0.19999999999998866,-23.07692307692375,1
-0.09999999999999433,-46.15384615384532,1
0.19999999999998866,-41.66666666666706,1
-0.09999999999999433,-50.000000000002366,0
-0.19999999999998866,-74.99999999999824,1
0.0,-50.00000000000001,1
-0.5,-74.99999999999824,1
0.0,-62.49999999999911,1
0.0,-37.500000000000895,1
0.30000000000001137,-24.99999999999823,0
0.2999999999999829,-12.499999999999115,1
0.30000000000001137,-37.500000000000895,0
0.20000000000001705,-24.99999999999823,1
0.2999999999999829,-24.99999999999823,0
-0.09999999999999433,-83.33333333333412,0
-0.19999999999998866,-77.77777777777601,1
-0.09999999999999433,-55.55555555555521,0
0.09999999999999433,-44.4444444444448,1
0.19999999999998866,-14.285714285717187,1
-0.19999999999998866,-57.14285714285656,0
-0.09999999999999433,-57.14285714285656,1
-0.19999999999998866,-33.333333333334906,1
0.19999999999998866,-50.0,1
0.09999999999999433,-16.666666666669823,0
1.6999999999999886,-57.81250000000021,1
1.5999999999999943,-59.375000000000135,0
-0.8999999999999773,-53.125000000000036,0
0.5,-59.2592592592593,0
-0.19999999999998866,-40.909090909091375,1
0.2999999999999829,-55.555555555556076,1
0.5999999999999943,-30.769230769231612,1
0.5,-11.76470588235235,0
-0.30000000000001137,-80.00000000000115,0
-0.3999999999999773,-80.00000000000115,0
0.10000000000002274,-5.5555555555552045,0
-0.09999999999999433,-23.80952380952355,0
0.7999999999999828,-38.095238095238216,1
0.8000000000000114,-14.285714285714672,1
0.09999999999999433,-14.285714285714672,0
0.0,-14.285714285714672,1
0.30000000000001137,-14.285714285713414,1
-0.09999999999999433,-58.33333333333294,0
-0.30000000000001137,-50.0,1
-0.4000000000000057,-66.66666666666825,0
-0.09999999999999433,-29.999999999998288,0
-0.19999999999998866,-54.54545454545431,1
0.0,-74.99999999999824,0
0.19999999999998866,-62.49999999999911,0
0.3999999999999773,-50.00000000000001,0
-0.4000000000000057,-37.500000000000895,0
0.2999999999999829,-62.49999999999911,1
0.19999999999998866,-37.500000000000895,0
-0.2999999999999829,-60.00000000000227,1
0.0,-20.0000000000017,0
0.09999999999999433,-20.0000000000017,1
0.0,-20.0000000000017,0
0.30000000000001137,-10.000000000002274,0
0.30000000000001137,-0.0,1
0.5,-30.000000000001133,0
0.4000000000000057,-0.0,1
0.5999999999999943,-20.0000000000017,0
0.0,-15.384615384614714,0
0.20000000000001705,-63.63636363636294,0
0.30000000000001137,-27.272727272725863,0
0.19999999999998866,-27.272727272725863,0
0.19999999999998866,-36.36363636363706,0
0.4000000000000057,-54.54545454545431,1
0.4000000000000057,-45.45454545454569,0
0.19999999999998866,-45.45454545454569,1
0.2999999999999829,-45.45454545454569,1
0.0,-36.36363636363706,0
-0.10000000000002274,-27.272727272725863,0
0.0,-40.000000000000576,1
0.19999999999998866,-40.000000000000576,0
0.09999999999999433,-57.14285714285889,0
0.0,-57.14285714285889,0
0.0,-66.66666666666825,1
0.19999999999998866,-42.857142857141106,1
0.30000000000001137,-28.57142857142741,0
0.9000000000000057,-0.0,1
1.1999999999999886,-30.43478260869539,0
1.5999999999999943,-30.000000000000192,0
1.200000000000017,-23.333333333333908,1
2.200000000000017,-13.333333333333526,1
1.6999999999999886,-19.999999999999808,0
0.09999999999999433,-30.000000000000192,0
0.4000000000000057,-30.000000000000192,0
1.1999999999999886,-22.2222222222224,0
0.19999999999998866,-33.333333333333336,1
0.0,-23.07692307692375,1
0.19999999999998866,-44.4444444444448,1
0.7999999999999828,-14.285714285717187,0
0.5,-9.09090909090862,1
0.8000000000000114,-16.66666666666785,1
0.9000000000000057,-21.052631578947604,0
0.4000000000000057,-21.052631578947604,0
0.4000000000000057,-26.31578947368413,0
0.6000000000000227,-36.84210526315718,0
0.09999999999999433,-41.1764705882349,1
-0.30000000000001137,-50.00000000000089,1
-0.6000000000000227,-61.53846153846187,1
-0.4000000000000057,-61.53846153846187,1
-0.2999999999999829,-61.53846153846187,0
-0.09999999999999433,-69.99999999999885,0
-0.10000000000002274,-59.999999999999424,1
-0.10000000000002274,-80.00000000000115,0
-0.09999999999999433,-75.00000000000179,0
0.19999999999998866,-66.66666666666667,1
0.5,-41.66666666666706,0
0.4000000000000057,-24.999999999998817,0
0.5999999999999943,-19.999999999998863,0
0.5999999999999943,-9.999999999999432,1
0.8000000000000114,-9.999999999999432,0
0.5,-9.09090909090862,0
-0.09999999999999433,-33.333333333333336,0
0.5999999999999943,-13.333333333332574,0
0.5999999999999943,-13.333333333332574,1
0.8999999999999773,-7.142857142856707,0
0.3999999999999773,-21.428571428572152,0
0.4000000000000057,-21.428571428572152,1
0.5,-28.57142857142886,1
0.4000000000000057,-28.57142857142886,0
0.5,-28.57142857142741,1
0.30000000000001137,-27.272727272725863,1
0.2999999999999829,-18.18181818181724,1
1.0,-30.76923076923127,1
0.7999999999999828,-50.00000000000055,0
0.4000000000000057,-50.00000000000055,1
0.19999999999998866,-61.538461538461455,1
-0.09999999999999433,-50.000000000000604,0
-0.7999999999999828,-68.18181818181765,1
