price_previous,sma20_previous,class
242.7,242.89,1
243.6,242.925,1
243.5,242.94,0
243.8,242.965,1
243.8,243.01000000000005,1
243.7,243.045,0
243.9,243.09,0
243.8,243.13,0
243.8,243.175,0
243.7,243.23,1
243.4,243.28,1
243.5,243.345,1
243.7,243.455,0
243.4,243.59,1
243.6,243.65,1
243.4,243.635,1
243.5,243.635,1
243.7,243.63,1
243.8,243.63,0
243.9,243.64,1
243.7,243.63,0
243.8,243.63,1
243.8,243.63,0
243.5,243.615,0
243.3,243.58,1
243.5,243.58,0
243.6,243.58,1
243.7,243.61000000000004,1
243.4,243.50999999999996,0
243.4,243.49499999999995,1
243.6,243.49999999999997,1
243.5,243.5,1
243.7,243.51,0
245.2,244.235,1
245.1,244.305,0
245.5,244.39500000000004,0
245.4,245.085,0
245.6,245.21,1
245.1,245.40000000000003,1
245.2,245.4650000000001,1
245.8,245.33,0
246.2,246.36,0
246.2,246.335,0
246.4,246.05,0
246.3,246.04,0
246.0,245.925,1
246.5,245.94000000000003,1
246.5,245.965,0
246.5,245.99,1
246.8,246.08,1
246.3,246.14,0
246.4,246.195,1
246.2,246.245,0
243.3,243.215,0
243.3,243.26000000000005,1
243.3,243.27500000000003,0
243.4,243.345,0
243.5,243.385,0
243.6,243.445,0
243.4,243.445,1
243.6,243.45,0
243.2,243.445,1
243.6,243.46,0
243.6,243.47000000000003,1
243.6,243.46000000000004,0
243.7,243.48,0
243.8,243.505,1
243.5,243.51,0
243.8,243.525,1
243.6,243.53500000000003,0
243.9,243.555,0
243.4,243.48999999999995,0
243.8,243.52,0
243.8,243.545,0
243.7,243.55,0
243.5,243.545,1
243.6,243.545,0
243.6,243.5300000000001,1
243.6,243.53500000000008,1
243.7,243.53000000000003,0
243.8,243.54000000000005,0
243.7,243.53000000000003,1
243.7,243.535,0
243.7,243.545,0
243.7,243.555,0
243.6,243.59,1
243.4,243.45,1
243.5,243.44,0
244.4,243.295,1
244.0,243.335,0
244.5,243.4,0
244.7,243.485,1
245.0,243.67,1
244.8,243.74,0
244.5,243.795,0
244.5,243.84500000000003,0
243.4,243.51,0
243.3,243.17,1
243.5,243.205,1
243.4,243.215,1
243.7,243.235,0
244.1,243.285,1
244.1,243.49,1
244.6,243.74,0
244.6,243.805,0
244.5,243.86000000000004,0
244.3,243.90000000000003,0
244.3,243.95000000000005,1
244.2,243.99,1
244.2,244.07,1
244.2,244.105,1
244.2,244.14999999999995,0
244.3,244.19,0
244.4,244.23999999999995,1
244.2,244.265,0
244.2,244.27,0
243.5,243.79,1
243.7,243.74999999999997,0
243.9,243.735,0
243.8,243.715,0
243.9,243.695,1
243.9,243.67,0
244.0,243.66,0
243.2,243.09500000000003,0
243.5,243.08,0
243.5,243.08,1
243.9,243.14499999999992,0
243.7,243.19499999999996,0
243.7,243.23999999999995,1
243.6,243.29,1
243.6,243.32,0
243.8,243.39500000000004,1
243.9,243.425,1
244.0,243.485,1
245.1,243.835,1
244.6,243.97000000000003,0
244.6,244.04500000000007,1
244.3,244.08500000000004,1
244.7,244.19,0
244.4,244.225,1
