sma200_current,cci20_previous,class
243.0855,-21.93861004597612,1
243.1065,98.46214934662865,1
243.112,99.44153633195806,0
243.1185,109.86786369240049,1
243.1245,117.85839417655228,1
243.1325,102.54540268262848,0
243.139,101.5148840559035,0
243.1455,100.2514032848662,0
243.152,89.62036625169803,0
243.157,68.31116765052944,1
243.1625,32.404516569699936,1
243.178,17.310135879888527,1
243.192,48.915501406250044,0
243.209,-16.972449761541213,1
243.2205,-11.852478199791927,1
243.231,-30.68672425356317,1
243.238,-20.425177931153435,1
243.2445,-5.560417832040456,1
243.249,22.40958172723565,0
243.253,35.295075132829474,1
243.2575,21.399168773441684,0
243.2625,12.854910300272394,1
243.267,17.648530028721336,0
243.289,-22.11970965669456,0
243.297,-44.81815314474896,1
243.301,-25.72284948559573,0
243.306,-2.3439712122770304,1
243.3225,8.251245230768731,1
243.3475,-21.24280038042813,0
243.3505,-14.312606738079404,1
243.354,0.9751093585219838,1
243.358,10.273256892477988,1
243.3635,19.401388098101425,0
243.5275,151.9226115840708,1
243.5395,108.8270309077913,0
243.5515,128.3364314514768,0
243.5955,27.99312385517817,0
243.598,40.903421667583906,1
243.6045,-32.190404548676966,1
243.6125,-40.56706791491077,1
243.643,51.90944694485402,0
244.593,-8.995491459682867,0
244.6505,-16.855271087085068,0
244.78800000000004,7.21770126800119,0
244.805,25.74828855910637,0
244.8545,1.570210856888903,1
244.909,24.008482703539052,1
244.928,35.7745350951466,0
244.946,25.988900499439648,1
245.0145,49.044444732569396,1
245.0415,9.0097089461724,0
245.0535,14.074815463533866,1
245.0655,2.074795549648184,0
245.2155,1.6931903945987798,0
245.17050000000003,12.67003486075333,1
245.158,6.090511470373088,0
245.1265,6.002632994934852,0
245.1195,2.1022616972241503,0
245.10050000000004,10.32250636708142,0
245.094,0.20060782566124225,1
245.0875,7.9331357560764895,0
245.0315,-10.512683350294218,1
245.016,1.0140571852020823,0
245.007,10.155883880388977,1
244.998,8.239774257040409,0
244.98800000000003,9.782567757734258,0
244.978,14.788556684189846,1
244.971,2.145695416204102,0
244.963,9.924854323598376,1
244.958,9.226674290765313,0
244.9515,18.167946716552493,0
244.8865,-1.5567982264922733,0
244.8795,9.666897424865118,0
244.873,20.297657338070763,0
244.865,13.134358230237774,0
244.859,0.8352073297805495,1
244.8535,0.9410111478481138,0
244.841,1.5732571457343036,1
244.833,3.4680404310444994,1
244.824,5.687527252733164,0
244.815,11.818834156428812,0
244.807,10.147069082510924,1
244.7985,11.967321798105953,0
244.789,9.443652168006508,0
244.779,12.859754283041301,0
244.75800000000004,0.2132241625619085,1
244.566,-4.000354626029926,1
244.556,3.2464791933174246,0
244.4475,30.059927471407587,1
244.44100000000003,53.19638857036657,0
244.435,81.3145467002538,0
244.428,74.3504030470735,1
244.412,81.69973293605865,1
244.406,72.76839284692278,0
244.3975,53.55319289403757,0
244.388,47.95776900458728,0
244.13,-5.7915725313419575,0
244.033,11.722195488176482,1
244.0185,12.39264619035711,1
244.00600000000003,13.50377462865776,1
243.996,25.677465313541607,0
243.9865,47.30146802286857,1
243.966,38.023243575150225,1
243.9405,61.333038218453396,0
243.933,57.36154804477928,0
243.92550000000003,40.61701965325139,0
243.917,30.899287469173284,0
243.9075,23.614745532899367,1
243.897,16.207691846396994,1
243.874,8.223205462261372,1
243.8625,7.776476739407178,1
243.8525,2.7058180499685762,0
243.841,10.713579423575938,0
243.82800000000003,9.712520242697996,1
243.815,0.6783551786306558,0
243.8035,-8.94465644412215,0
243.6735,-20.00836688860914,1
243.661,-3.3938866056316583,0
243.6565,4.7521805719972035,0
243.652,10.300130872784028,0
243.6485,11.893405724981433,1
243.6455,13.609423164598494,0
243.6405,21.45268599887544,0
243.5285,12.383244020872727,0
243.534,22.634572329555308,0
243.534,22.634572329555308,1
243.5445,49.93076117163393,0
243.5475,41.92757825674757,0
243.5505,34.02023926196701,1
243.5545,17.073708397702525,1
243.5605,19.24499833813184,0
243.5685,36.18590817735621,1
243.5715,29.4195555761516,1
243.575,35.2728580864134,1
243.6035,93.41935005226318,1
243.61550000000003,38.33324415451012,0
243.6205,38.25601746660492,1
243.625,21.18985839706248,1
243.6345,26.090087134056763,0
243.64,20.7488672030532,1
