stochk_14_previous,stoch_rsi_14_current,class
51.515151515151786,100.0,1
73.52207977208016,95.6193041181328,1
75.04713423831045,100.0,0
80.02450980392116,100.0,1
82.10784313725487,91.26723929384715,1
85.60924369747927,100.0,0
86.30952380952391,91.04485588976624,0
88.09523809523813,91.04485588976624,0
87.91208791208794,80.65900828262838,0
89.92673992674055,47.10473139803856,1
84.61538461538484,18.114273800187064,1
65.59829059829039,87.27427147493471,1
65.40404040404047,50.63369496578653,0
61.11111111111219,16.25870698135886,1
37.50000000000088,0.0,1
37.50000000000088,19.99722085346585,1
37.50000000000088,52.247124095496886,1
33.333333333334515,65.41630055570515,1
45.83333333333361,77.31529121644724,0
62.500000000000284,42.492268864146226,1
75.00000000000058,73.85038129375035,0
75.00000000000058,73.85038129375035,1
70.83333333333421,48.20598456844496,0
16.6666666666659,34.68016337260493,0
25.92592592592545,59.07453707633842,1
31.48148148148163,81.57748574983876,0
29.62962962962989,81.57748574983876,1
80.95238095237848,100.0,1
28.57142857143036,21.344353790494093,0
33.333333333334735,85.16067082974463,1
34.92063492063627,47.872566859533364,1
42.06349206349282,100.0,1
44.44444444444498,100.0,0
52.97181372549016,51.17347630761281,1
47.91666666666654,60.38213367781202,0
44.27083333333314,53.64109123823603,0
22.555018786902732,56.73892330768643,0
32.555018786902735,28.074346063089763,1
53.0303030303026,27.14521603864653,1
59.44055944055873,55.02432458915143,1
74.81146304675703,49.9573019241618,0
42.222222222221696,0.0,0
8.88888888888836,40.685717256242974,0
38.88888888888905,96.13692187877035,0
54.761904761904546,83.65620794864253,0
66.66666666666664,88.33454660443716,1
65.07936507936472,100.0,1
73.01587301587256,100.0,0
79.36507936507894,90.65426261383531,1
80.37741412354431,45.71769207521586,1
73.01587301587355,45.14023347990386,0
58.333333333333705,0.0,1
49.99999999999997,0.0,0
73.3333333333339,92.20395515751265,0
73.08080808080898,2.7141294901922466,1
62.247474747475366,25.70314745084002,0
41.666666666667254,46.63159785095691,0
45.83333333333361,83.19099685973963,0
49.99999999999999,16.708620916030778,0
54.166666666666366,59.765692398602866,1
50.0,37.79479690772285,0
50.83333333333227,28.476996527708703,1
46.6666666666659,83.94939056617491,0
56.66666666666533,83.94939056617491,1
66.66666666666477,100.0,0
79.99999999999828,100.0,0
83.33333333333142,48.37268506164109,1
86.66666666666458,90.97026693738823,0
83.33333333333144,60.409908302721284,1
86.66666666666553,96.68050150455852,0
79.74358974358908,54.879864698513906,0
27.272727272726726,99.72813516405235,0
36.3636363636362,99.72813516405235,0
54.54545454545517,87.71818431464987,0
66.66666666666752,61.85059786979043,0
75.757575757577,74.8558425022343,1
63.63636363636465,74.8558425022343,0
48.48484848484856,74.8558425022343,1
51.51515151515144,88.80712605132376,1
48.48484848484856,100.0,0
48.48484848484856,84.38039864214826,0
56.666666666667226,64.67527056395471,1
61.515151515151814,64.67527056395471,0
57.61904761904742,59.37525096117794,0
43.80952380952266,4.7328939332397075,0
40.47619047618873,4.7328939332397075,1
66.66666666666802,100.0,1
66.66666666666802,100.0,0
36.66666666666661,88.98375557720291,1
42.31884057970973,97.33353953636237,0
51.76328502415447,99.9887940515733,0
71.20772946859908,92.37089664886213,1
70.00000000000016,95.14327495117088,1
72.22222222222223,87.29779602613846,0
77.77777777777784,87.29779602613846,0
79.99999999999993,84.26482981448916,0
64.35185185185192,91.96335811126708,0
72.96296296296242,84.7822423933027,1
68.68945868945805,45.24559670624518,1
66.83760683760579,100.0,1
54.456654456653865,100.0,0
54.68975468975446,73.35173393948969,1
71.21212121212145,100.0,1
81.82957393483719,83.20548203416988,0
77.1929824561402,73.46664913090882,0
78.94736842105239,46.5799301717969,0
75.43859649122804,46.57993017179693,0
68.73065015479894,12.782206237349241,1
62.919246646027176,0.0,1
40.91117216117235,28.03718340851975,1
34.98168498168489,28.03718340851975,1
35.89743589743573,41.98050090227376,0
32.30769230769172,54.74475354537569,0
32.82051282051257,19.791215705546048,1
36.66666666666652,24.603018275446768,0
38.33333333333298,0.0,0
15.555555555555983,89.5093114708942,1
34.444444444445004,100.0,0
47.22222222222239,91.67590488561798,0
62.777777777778084,99.07300654103969,0
76.1111111111116,99.07300654103969,1
83.33333333333431,100.0,0
83.93939393939486,91.60310406029741,0
57.777777777778866,89.38507814669218,0
66.66666666666735,90.51016299775259,0
66.66666666666735,90.51016299775259,1
76.54012654012661,85.75895175068598,0
80.21978021978012,84.34089184237841,0
85.71428571428595,75.26046225985358,1
85.71428571428595,75.26046225985358,1
76.19047619047632,96.12914387171419,0
73.80952380952398,89.02189991712179,1
76.62337662337724,99.60371264094181,1
80.08658008658112,100.0,1
61.53846153846101,42.05776173905254,1
64.10256410256358,42.05776173905254,0
56.410256410255954,5.437578273662547,1
48.71794871794831,0.0,1
37.60683760683783,11.125949367706623,0
37.37373737373759,11.12594936770667,1
