sma20_previous,wpr14_current,class
242.89,-22.222222222220818,1
242.925,-23.529411764705984,1
242.94,-5.8823529411760775,0
242.965,-12.499999999999332,1
243.01000000000005,-21.428571428572152,1
243.045,-7.142857142856707,0
243.09,-14.285714285713414,0
243.13,-15.384615384614374,0
243.175,-23.07692307692375,0
243.23,-46.15384615384532,1
243.28,-46.15384615384532,1
243.345,-0.0,1
243.455,-33.33333333333176,0
243.59,-62.49999999999911,1
243.65,-74.99999999999824,1
243.635,-62.49999999999911,1
243.635,-37.500000000000895,1
243.63,-24.99999999999823,1
243.63,-12.499999999999115,0
243.64,-37.500000000000895,1
243.63,-24.99999999999823,0
243.63,-24.99999999999823,1
243.63,-37.500000000000895,0
243.615,-66.66666666666825,0
243.58,-55.55555555555521,1
243.58,-44.4444444444448,0
243.58,-28.571428571430317,1
243.61000000000004,-14.285714285717187,1
243.50999999999996,-57.14285714285656,0
243.49499999999995,-33.333333333334906,1
243.49999999999997,-50.0,1
243.5,-16.666666666669823,1
243.51,-16.666666666669823,0
244.235,-59.375000000000135,1
244.305,-53.125000000000036,0
244.39500000000004,-56.24999999999986,0
245.085,-40.909090909091375,0
245.21,-54.54545454545431,1
245.40000000000003,-30.769230769231612,1
245.4650000000001,-15.384615384614714,1
245.33,-29.41176470588255,0
246.36,-93.33333333333373,0
246.335,-73.33333333333294,0
246.05,-23.80952380952355,0
246.04,-38.095238095238216,0
245.925,-33.33333333333378,1
245.94000000000003,-14.285714285714672,1
245.965,-14.285714285714672,0
245.99,-23.80952380952355,1
246.08,-50.0,1
246.14,-50.0,0
246.195,-66.66666666666825,1
246.245,-81.81818181818275,0
243.215,-19.999999999998863,0
243.26000000000005,-74.99999999999824,1
243.27500000000003,-62.49999999999911,0
243.345,-50.00000000000001,0
243.385,-25.000000000001783,0
243.445,-62.49999999999911,0
243.445,-37.500000000000895,1
243.45,-50.00000000000001,0
243.445,-50.0,1
243.46,-20.0000000000017,0
243.47000000000003,-20.0000000000017,1
243.46000000000004,-10.000000000002274,0
243.48,-0.0,0
243.505,-30.000000000001133,1
243.51,-0.0,0
243.525,-20.0000000000017,1
243.53500000000003,-15.384615384614714,0
243.555,-38.461538461538964,0
243.48999999999995,-27.272727272725863,0
243.52,-27.272727272725863,0
243.545,-36.36363636363706,0
243.55,-54.54545454545431,0
243.545,-45.45454545454569,1
243.545,-45.45454545454569,0
243.5300000000001,-45.45454545454569,1
243.53500000000008,-36.36363636363706,1
243.53000000000003,-27.272727272725863,0
243.54000000000005,-40.000000000000576,0
243.53000000000003,-40.000000000000576,1
243.535,-57.14285714285889,0
243.545,-57.14285714285889,0
243.555,-71.42857142857258,0
243.59,-66.66666666666825,1
243.45,-28.57142857142741,1
243.44,-16.66666666666588,0
243.295,-30.43478260869539,1
243.335,-30.000000000000192,0
243.4,-23.333333333333908,0
243.485,-33.333333333333336,1
243.67,-19.999999999999808,1
243.74,-30.000000000000192,0
243.795,-30.000000000000192,0
243.84500000000003,-33.333333333333336,0
243.51,-16.666666666667194,0
243.17,-23.07692307692375,1
243.205,-44.4444444444448,1
243.215,-14.285714285717187,1
243.235,-9.09090909090862,0
243.285,-27.272727272725863,1
243.49,-7.692307692307187,1
243.74,-21.052631578947604,0
243.805,-26.31578947368413,0
243.86000000000004,-36.84210526315718,0
243.90000000000003,-41.1764705882349,0
243.95000000000005,-50.00000000000089,1
243.99,-71.42857142857113,1
244.07,-61.53846153846187,1
244.105,-61.53846153846187,1
244.14999999999995,-69.99999999999885,0
244.19,-59.999999999999424,0
244.23999999999995,-80.00000000000115,1
244.265,-75.00000000000179,0
244.27,-87.50000000000091,0
243.79,-41.66666666666706,1
243.74999999999997,-24.999999999998817,0
243.735,-19.999999999998863,0
243.715,-9.999999999999432,0
243.695,-9.999999999999432,1
243.67,-9.09090909090862,0
243.66,-18.18181818181724,0
243.09500000000003,-39.999999999999616,0
243.08,-27.272727272725863,0
243.08,-27.272727272725863,1
243.14499999999992,-21.428571428572152,0
243.19499999999996,-21.428571428572152,0
243.23999999999995,-28.57142857142886,1
243.29,-28.57142857142886,1
243.32,-7.142857142856707,0
243.39500000000004,-27.272727272725863,1
243.425,-18.18181818181724,1
243.485,-0.0,1
243.835,-50.00000000000055,1
243.97000000000003,-50.00000000000055,0
244.04500000000007,-61.538461538461455,1
244.08500000000004,-70.83333333333387,1
244.19,-68.18181818181765,0
244.225,-68.18181818181765,1
