sma100_current,mom10_previous,class
243.29500000000004,-0.20000000000001705,1
243.296,0.6999999999999886,1
243.302,0.8000000000000114,0
243.308,1.0,1
243.312,1.1000000000000227,1
243.31600000000003,1.0,0
243.318,1.200000000000017,0
243.32100000000003,0.9000000000000057,0
243.323,0.8000000000000114,0
243.32000000000005,0.19999999999998866,1
243.31700000000004,-0.19999999999998866,1
243.31800000000004,-0.30000000000001137,1
243.321,0.0,0
243.318,-0.4000000000000057,1
243.321,0.19999999999998866,1
243.324,-0.09999999999999433,1
243.32800000000003,-0.5,1
243.33300000000003,0.0,1
243.341,0.0,0
243.34600000000003,0.30000000000001137,1
243.34900000000002,0.2999999999999829,0
243.353,0.30000000000001137,1
243.357,0.20000000000001705,0
243.366,-0.4000000000000057,0
243.372,-0.5,1
243.375,-0.19999999999998866,0
243.377,-0.09999999999999433,1
243.378,0.19999999999998866,1
243.38600000000002,-0.19999999999998866,0
243.38800000000003,-0.19999999999998866,1
243.389,-0.09999999999999433,1
243.392,-0.19999999999998866,1
243.396,0.19999999999998866,0
243.568,2.0,1
243.59099999999995,1.6999999999999886,0
243.61299999999997,1.5999999999999943,0
243.75,0.20000000000001705,0
243.76999999999995,0.5,1
243.81399999999996,-0.20000000000001705,1
243.838,0.2999999999999829,1
243.921,0.6000000000000227,0
245.595,-0.30000000000001137,0
245.641,-0.30000000000001137,0
245.68400000000003,0.09999999999999433,0
245.689,0.10000000000002274,0
245.715,0.30000000000001137,1
245.768,1.4000000000000057,1
245.786,0.8000000000000114,0
245.801,0.09999999999999433,1
245.87,0.8000000000000114,1
245.893,0.20000000000001705,0
245.90500000000003,-0.09999999999999433,1
245.915,-0.30000000000001137,0
244.886,-0.09999999999999433,0
244.799,-0.09999999999999433,1
244.766,-0.19999999999998866,0
244.67400000000006,0.09999999999999433,0
244.6490000000001,0.19999999999998866,0
244.59900000000005,0.19999999999998866,0
244.57500000000005,-0.4000000000000057,1
244.548,0.2999999999999829,0
244.396,-0.5,1
244.365,0.19999999999998866,0
244.344,0.0,1
244.317,0.09999999999999433,0
244.292,0.0,0
244.267,0.30000000000001137,1
244.247,0.30000000000001137,0
244.223,0.5,1
244.201,0.4000000000000057,0
244.176,0.5999999999999943,0
243.892,-0.5,0
243.866,0.20000000000001705,0
243.84099999999998,0.30000000000001137,0
243.815,0.19999999999998866,0
243.791,0.19999999999998866,1
243.769,0.4000000000000057,0
243.743,0.5,1
243.72599999999997,0.19999999999998866,1
243.711,0.2999999999999829,0
243.69400000000002,0.0,0
243.681,-0.10000000000002274,1
243.667,0.0,0
243.654,0.19999999999998866,0
243.643,0.09999999999999433,0
243.62099999999995,0.0,1
243.406,0.0,1
243.393,0.19999999999998866,0
243.42999999999995,0.9000000000000057,1
243.44400000000002,0.9000000000000057,0
243.457,1.1999999999999886,0
243.47100000000003,1.5999999999999943,1
243.525,1.6999999999999886,1
243.543,2.200000000000017,0
243.56,1.6999999999999886,0
243.571,0.09999999999999433,0
243.529,0.30000000000001137,0
243.51800000000003,-0.3999999999999773,1
243.51500000000004,0.19999999999998866,1
243.51700000000002,0.0,1
243.52599999999998,0.19999999999998866,0
243.53200000000004,0.7999999999999828,1
243.552,0.7999999999999828,1
243.589,1.1999999999999886,0
243.59900000000002,0.9000000000000057,0
243.604,0.4000000000000057,0
243.611,0.4000000000000057,0
243.614,0.6000000000000227,1
243.618,0.09999999999999433,1
243.63200000000003,-0.20000000000001705,1
243.641,-0.6000000000000227,1
243.65200000000004,-0.4000000000000057,0
243.664,-0.2999999999999829,0
243.67500000000004,-0.09999999999999433,1
243.683,-0.10000000000002274,0
243.69,-0.10000000000002274,0
243.66600000000003,-0.19999999999998866,1
243.66800000000003,0.19999999999998866,0
243.67000000000004,0.5,0
243.67300000000003,0.4000000000000057,0
243.676,0.5999999999999943,1
243.68,0.5999999999999943,0
243.68400000000003,0.8000000000000114,0
243.65,0.19999999999998866,0
243.647,0.19999999999998866,0
243.647,0.19999999999998866,1
243.618,0.9000000000000057,0
243.61000000000004,0.8999999999999773,0
243.59600000000003,0.3999999999999773,1
243.584,0.4000000000000057,1
243.578,0.5,0
243.56600000000003,0.4000000000000057,1
243.569,0.5,1
243.576,0.30000000000001137,1
243.646,1.5,1
243.687,0.6999999999999886,0
243.705,0.7999999999999828,1
243.718,0.4000000000000057,1
243.74400000000009,0.5,0
243.7510000000001,-0.09999999999999433,1
