price_current,stoch_rsi_14_previous,class
242.9,83.93754063278692,1
243.5,100.0,1
243.8,95.6193041181328,0
243.8,100.0,1
243.7,100.0,1
243.9,91.26723929384715,0
243.8,100.0,0
243.8,91.04485588976624,0
243.7,91.04485588976627,0
243.4,80.65900828262838,1
243.4,47.10473139803854,1
244.0,21.14328396361089,1
243.8,37.71240329969313,0
243.5,0.0,1
243.4,30.89166434935492,1
243.5,0.0,1
243.7,19.99722085346585,1
243.8,52.247124095496886,1
243.9,65.41630055570515,0
243.7,77.31529121644729,1
243.8,42.492268864146226,0
243.8,73.85038129375035,1
243.7,73.85038129375035,0
243.6,0.0,0
243.5,24.28660159413655,1
243.6,59.07453707633842,0
243.6,81.57748574983876,1
243.7,100.0,1
243.4,43.946570765172176,0
243.6,21.344353790494136,1
243.5,85.1606708297445,1
243.7,47.872566859533435,1
243.7,100.0,0
245.1,70.48002307213666,1
245.5,51.17347630761283,0
245.3,60.38213367781202,0
245.6,35.33658083910636,0
245.3,56.738923307686385,1
245.2,9.551159609367305,1
245.4,27.14521603864653,1
245.5,100.0,0
246.0,0.0,0
246.3,28.756051257656274,0
246.3,100.0,0
246.0,96.13692187877035,0
246.1,84.15408982058239,1
246.5,100.0,1
246.5,100.0,0
246.3,100.0,1
246.4,100.0,1
246.4,31.103224557005788,0
246.2,45.14023347990386,1
246.1,0.0,0
243.4,78.71121629459716,0
243.3,2.7141294901922466,1
243.4,2.7141294901922466,0
243.5,24.515437246073876,0
243.7,46.63159785095691,0
243.4,62.11121912149045,0
243.6,16.70862091603072,1
243.5,59.7656923986028,0
243.3,3.608995139268009,1
243.6,83.94939056617491,0
243.6,83.94939056617491,1
243.7,83.94939056617491,0
243.8,100.0,0
243.5,100.0,1
243.8,48.37268506164109,0
243.6,90.97026693738823,1
243.9,60.409908302721284,0
243.6,96.68050150455852,0
243.8,54.67971582219765,0
243.8,99.72813516405235,0
243.7,99.72813516405235,0
243.5,87.71818431464987,0
243.6,61.85059786979043,1
243.6,74.8558425022343,0
243.6,74.8558425022343,1
243.7,74.8558425022343,1
243.8,88.80712605132376,0
243.7,100.0,0
243.7,84.38039864214826,1
243.7,64.67527056395471,0
243.7,64.67527056395471,0
243.6,59.37525096117794,0
243.6,4.7328939332397075,1
243.5,91.20842341977463,1
243.5,100.0,0
244.0,100.0,1
244.5,88.98375557720291,0
244.7,97.33353953636237,0
244.4,99.9887940515733,1
244.8,100.0,1
244.5,95.14327495117088,0
244.5,87.29779602613846,0
244.4,87.29779602613846,0
243.5,87.31825139682074,0
243.5,73.55320541789546,1
243.4,84.7822423933027,1
243.7,45.24559670624518,1
244.1,100.0,0
243.9,100.0,1
244.3,88.89314561000013,1
244.6,83.20548203416988,0
244.5,83.20548203416988,0
244.3,73.46664913090882,0
244.3,46.57993017179693,0
244.2,46.57993017179693,1
244.0,12.782206237349241,1
244.2,28.03718340851975,1
244.2,28.03718340851975,1
244.3,28.03718340851975,0
244.4,41.98050090227376,0
244.2,54.74475354537572,1
244.2,19.791215705546048,0
244.1,24.603018275446768,0
243.7,65.86169952882888,1
243.9,96.99007430814251,0
243.8,100.0,0
243.9,91.67590488561798,0
243.9,99.07300654103969,1
244.0,99.07300654103969,0
243.9,100.0,0
243.1,95.0612461296213,0
243.4,100.0,0
243.4,100.0,1
243.7,100.0,0
243.7,85.75895175068598,0
243.6,84.34089184237841,1
243.6,75.26046225985358,1
243.9,75.26046225985358,0
243.9,77.52234619578424,1
244.0,89.02189991712179,1
244.2,99.60371264094181,1
244.6,90.92470966997251,1
244.6,42.05776173905254,0
244.3,42.05776173905257,1
244.2,5.4375782736624965,1
244.4,41.903373211795305,0
244.4,11.12594936770667,1
