ema50_current,ema200_current,class
243.04244851562999,243.17811443537647,1
243.09723482203853,243.1933459797288,1
243.12724866225426,243.2010954335464,0
243.156699094496,243.209079250263,1
243.1810730391989,243.21583286519532,1
243.2141750962919,243.2251322735149,0
243.2414438595034,243.2328769176945,0
243.26764325945183,243.24054450073783,0
243.28766645258773,243.24714076454683,0
243.2920716897411,243.25021911142517,1
243.29630417249646,243.2534225639321,1
243.3358460758752,243.26808485911803,1
243.36835825758973,243.28197290890552,0
243.3818952129344,243.29364627052482,1
243.3884166211081,243.30128581252617,1
243.39263933389682,243.307490484158,1
243.40653350945578,243.31357635472497,1
243.42564520011646,243.32044095829545,1
243.44915619207558,243.32760933844415,0
243.46144762562298,243.3325606057296,1
243.477792216164,243.33861336749587,0
243.49349584237004,243.34476163872287,1
243.50588928220586,243.34969797230028,0
243.53107009325439,243.36802615136082,0
243.51574372563167,243.36950207796414,1
243.52518394693396,243.37304147719482,0
243.53548117421505,243.37685713041512,1
243.56641740178765,243.3905189710545,1
243.5552229905087,243.40151501920658,0
243.55697895166531,243.40442440981647,1
243.55474448297244,243.40646556233645,1
243.5598271723899,243.41063219057838,1
243.5647105406536,243.4152245676712,0
244.18102591608482,243.63323011555946,1
244.24318168121968,243.6555426029863,0
244.29321601201,243.6756430258617,0
244.55473397200885,243.78647319094304,0
244.59500498737748,243.80231183892272,1
244.65700775575604,243.83102294148858,1
244.69964402460653,243.8491264286509,1
244.8391419196336,243.91028934954895,0
246.10498976297816,245.18199677075197,0
246.1106962145661,245.236674674194,0
246.0194204556496,245.3294006245415,0
246.0223405013616,245.34136827730995,0
246.03074637938067,245.375140199488,1
246.08648833757584,245.4212968492035,1
246.10699971877625,245.43794817983886,0
246.11702277872755,245.4521323039492,1
246.21835573997515,245.5210302663626,1
246.2333196869252,245.54581640464676,0
246.23139942716784,245.55606335685874,1
246.2274737191914,245.56521332447159,0
243.47562457812992,244.834333234004,0
243.45194484822804,244.77997663331814,1
243.44254453094032,244.76235212388653,0
243.4193215270121,244.7143552881337,0
243.4223516561689,244.70208189744443,0
243.41068678503564,244.67238046061885,0
243.40829314679337,244.6596854409755,1
243.40391262419402,244.6461217150597,0
243.35169122077892,244.55441364795558,1
243.3612556220941,244.53071026543304,0
243.3712317520857,244.51864621974252,1
243.38719265139287,244.5076972391832,0
243.41503967685944,244.49754075668758,0
243.4226666918136,244.4845002590923,1
243.4436001301281,244.4755090079956,0
243.45464230130239,244.46430570044043,1
243.47824336277438,244.4571333588858,0
243.48731337043762,244.44658010144832,0
243.4738747829836,244.33517016923562,0
243.4928000608603,244.3276647896797,0
243.5033799701416,244.31939480158763,0
243.50386102766103,244.30874984434516,0
243.5082447888069,244.2998287757349,1
243.5130702431192,244.29115220992267,0
243.52154726678987,244.2735915629912,1
243.53038622929424,244.2653924091177,1
243.54280013444543,244.25795839184812,0
243.55141925652737,244.24960332002442,0
243.55970037382176,244.2416428551354,1
243.56765674141843,244.2336058629061,0
243.57468748923145,244.22533736885697,0
243.5744529259767,244.21600038755852,0
243.580026773318,244.19729119488719,1
243.4807546650657,244.02673608962624,1
243.48089577871468,244.01838021558385,0
243.4136662072789,243.9138514134928,1
243.46363079689957,243.9176591704376,0
243.52131994420768,243.92357482495086,0
243.56314125002723,243.92613507071147,1
243.72565081729766,243.94607357889316,1
243.76031268948935,243.94971645322295,0
243.7936152725756,243.95254440031627,0
243.82169030338383,243.95403771186488,0
243.47943632327932,243.76171689983872,0
243.4577724455459,243.7060902707865,1
243.45673407018205,243.698528254014,1
243.46750112130297,243.69464949960042,1
243.49598663110697,243.69556811899145,0
243.51489831947208,243.6946432840854,1
243.58457806898528,243.6984073436652,1
243.76641211403037,243.7259243286216,0
243.8031571362052,243.7312905349166,0
243.82939082912742,243.7346132963731,0
243.85398214441014,243.737591523634,0
243.87736915796813,243.73923362002532,1
243.8895414750127,243.73855785550563,1
243.913461844291,243.74056688508657,1
243.9228578186069,243.7415564321067,1
243.93519328660145,243.74399836560193,0
243.95342100085227,243.74694381828903,0
243.96124994942073,243.7474027053993,1
243.96570385355844,243.74785702646872,0
243.9666751315292,243.74777900989318,0
243.7866210868114,243.6785659452428,1
243.79681520218614,243.67710871712399,0
243.8000081230579,243.6769298924438,0
243.8051565838701,243.67774787198908,0
243.81255756573015,243.67886918432689,1
243.82358988163492,243.6811301001497,0
243.82904077833697,243.6817505506377,0
243.32024394552025,243.54160063129586,0
243.32228789451136,243.5414856496717,0
243.32228789451136,243.5414856496717,1
243.36140400928653,243.5500049294603,0
243.3716142565921,243.55243183340087,0
243.3768889280473,243.55383956416782,1
243.38257035500945,243.55554475955554,1
243.4034753190044,243.56084100623642,0
243.4409310230653,243.5690480145738,1
243.4659233235105,243.57427050970742,1
243.49961948710109,243.58158682541253,1
243.73536917847224,243.64007765481801,1
243.8156778387047,243.6628061645771,0
243.83835249684574,243.6707037612065,1
243.85560277871136,243.67737201396287,1
243.91716470418132,243.69757533526607,0
243.93916744850443,243.70627773081958,1
