sma100_previous,rsi14_previous,class
243.301,-18.500407777050388,1
243.291,22.277730058028173,1
243.296,18.323516316432432,0
243.302,24.76988694583753,1
243.308,24.76988694583753,1
243.312,20.836230548135052,0
243.31600000000003,25.061974356347164,0
243.318,21.160900258450692,0
243.32100000000003,21.160900258450692,0
243.323,16.63657763603696,1
243.32000000000005,2.0195353174736543,1
243.31400000000005,6.891463635604608,1
243.31900000000005,10.70939285789956,0
243.31800000000004,-3.2624860165443152,1
243.32,5.487411210615363,1
243.322,-3.6859918027169267,1
243.324,1.4764203268832716,1
243.32800000000003,9.80194180284569,1
243.33300000000003,13.201650031964023,0
243.341,16.27345156714425,1
243.34600000000003,7.283662721075642,0
243.34900000000002,11.054133230035717,1
243.353,11.054133230035717,0
243.36300000000003,-5.936793576603848,0
243.36900000000003,-17.166401136642552,1
243.372,-1.8018360413373105,0
243.375,3.879108784747871,1
243.377,9.435306228375024,1
243.38500000000008,-11.488438602341231,0
243.38600000000002,-11.488438602341231,1
243.38800000000003,6.330362858200742,1
243.389,-1.4717048687383991,1
243.392,11.475843209984506,0
243.551,15.14059670309007,1
243.568,13.221505730246008,0
243.59099999999995,18.43960836214133,0
243.72600000000003,14.34111631089749,0
243.75,17.25881243782385,1
243.792,5.905346588094147,1
243.81399999999996,8.048925420453926,1
243.89200000000002,18.768620519672453,0
245.59000000000003,-0.8428364144832301,0
245.627,0.911012377284422,0
245.679,12.641082726109602,0
245.68400000000003,9.801070102429053,0
245.703,0.9916716784941996,1
245.748,14.416792227493048,1
245.768,14.416792227493048,0
245.786,14.416792227493048,1
245.854,19.221440772531565,1
245.881,1.8709722321077609,0
245.893,5.405951629219104,1
245.90500000000003,-2.5038297766230784,0
244.915,-6.150531008400961,0
244.831,-5.600105261462119,1
244.799,-5.600105261462119,0
244.701,-1.1787977486342385,0
244.67400000000006,3.306361955186631,0
244.62500000000003,6.4456307818778384,0
244.59900000000005,-2.762020923949265,1
244.57500000000005,5.9699577150342416,0
244.41600000000003,-12.486775411882064,1
244.38,6.856219078603374,0
244.365,6.856219078603374,1
244.344,6.856219078603374,0
244.317,10.721733542434123,0
244.292,14.178119011846904,1
244.267,-0.03684619839033587,0
244.247,11.691889745498088,1
244.223,3.2774596066687,0
244.201,13.264134705584324,0
243.917,-2.718588666353128,0
243.892,13.165260463896034,0
243.866,13.165260463896034,0
243.84099999999998,8.797373830786142,0
243.815,-0.6103819943709112,1
243.791,4.04546886116195,0
243.75899999999996,4.04546886116195,1
243.743,4.04546886116195,1
243.72599999999997,9.105602555029165,0
243.711,13.440854767851606,0
243.69400000000002,7.7325750963479996,1
243.681,7.7325750963479996,0
243.667,7.7325750963479996,0
243.654,7.7325750963479996,0
243.631,0.05464813789346579,1
243.414,-3.859525899504817,1
243.406,4.479630263448527,0
243.421,24.075709840091942,1
243.42999999999995,14.870054547444001,0
243.44400000000002,21.847498941927253,0
243.457,24.066345659842824,1
243.505,24.99650351135679,1
243.525,20.89329138579868,0
243.543,14.265025644511836,0
243.56,14.265025644511836,0
243.529,-0.5454863517553861,0
243.518,-3.324890305382766,1
243.51800000000003,2.909462573438901,1
243.51500000000004,-0.23818501028578964,1
243.51700000000002,8.252658882880041,0
243.52599999999998,16.40549302351181,1
243.54500000000004,14.214068076582675,1
243.581,19.886834504894253,0
243.589,19.886834504894253,0
243.59900000000002,17.170004990813286,0
243.604,11.31837219125427,0
243.611,11.31837219125427,1
243.614,7.925117668432094,1
243.625,7.332991651174751,1
243.63200000000003,7.332991651174751,1
243.641,7.332991651174751,0
243.65200000000004,10.673170498435098,0
243.664,13.730899528751936,1
243.67500000000004,5.357636294818363,0
243.683,5.357636294818363,0
243.66600000000003,-16.133402973734732,1
243.66600000000003,-1.2465530181078464,0
243.66800000000003,9.36253235347283,0
243.67000000000004,3.7889043781124334,0
243.67300000000003,8.74183825941924,1
243.676,8.74183825941924,0
243.68,13.303380404559007,0
243.64499999999995,-1.5354069851347134,0
243.657,8.92272293346524,0
243.657,8.92272293346524,1
243.62500000000003,18.62249972232605,0
243.618,11.949982401766976,0
243.61000000000004,11.949982401766976,1
243.59600000000003,8.08071200286345,1
243.584,8.08071200286345,0
243.571,13.165609045334008,1
243.56600000000003,15.957350925430362,1
243.569,18.526293204782466,1
243.63100000000003,32.469328302472526,1
243.669,19.36181058648505,0
243.687,19.36181058648505,1
243.705,9.53922653204694,1
243.733,18.119227408984532,0
243.74400000000009,9.22750320370183,1
