stoch_rsi_14_previous,uosc_current,class
83.93754063278692,21.73981761800549,1
100.0,25.79184034575511,1
95.6193041181328,27.410741074107047,0
100.0,25.458241947805533,1
100.0,22.059716360914866,1
91.26723929384715,22.53823196687541,0
100.0,17.008123195731017,0
91.04485588976624,18.001621612297242,0
91.04485588976627,21.294207393056475,0
80.65900828262838,18.823053158624145,1
47.10473139803854,18.40018779047218,1
21.14328396361089,24.898530091291583,1
37.71240329969313,20.041599065123695,0
0.0,22.632547091945906,1
30.89166434935492,15.68505663134856,1
0.0,17.598505696236007,1
19.99722085346585,25.244667205092536,1
52.247124095496886,25.249840853002485,1
65.41630055570515,24.48608887900327,0
77.31529121644729,20.68233353947642,1
42.492268864146226,23.03139518331161,0
73.85038129375035,25.313688402191204,1
73.85038129375035,27.7983641514426,0
0.0,32.136985555576594,0
24.28660159413655,31.831787260358386,1
59.07453707633842,33.67464714709917,0
81.57748574983876,30.50520907663741,1
100.0,27.385426892815772,1
43.946570765172176,38.083953960731904,0
21.344353790494136,45.29616724738735,1
85.1606708297445,38.155061019383176,1
47.872566859533435,41.79587880618865,1
100.0,42.747729538901595,0
70.48002307213666,11.016211916399515,1
51.17347630761283,10.700751923449292,0
60.38213367781202,11.397583103340258,0
35.33658083910636,25.58364296705452,0
56.738923307686385,26.44745501293643,1
9.551159609367305,20.504068649828078,1
27.14521603864653,20.10329201522816,1
100.0,16.042671807504803,0
0.0,18.091746962714303,0
28.756051257656274,13.347815385319764,0
100.0,25.024668661996568,0
96.13692187877035,22.66507885341846,0
84.15408982058239,19.125336279995143,1
100.0,18.533360537814385,1
100.0,23.974840469084764,0
100.0,26.17734288287027,1
100.0,21.78115975099018,1
31.103224557005788,21.20493225785105,0
45.14023347990386,22.597534560382535,1
0.0,17.862198395321165,0
78.71121629459716,42.98227227399214,0
2.7141294901922466,40.04091994637346,1
2.7141294901922466,38.65157398992244,0
24.515437246073876,29.467876039305487,0
46.63159785095691,25.602943840185226,0
62.11121912149045,31.432506261682025,0
16.70862091603072,33.68136187095412,1
59.7656923986028,33.28713458506989,0
3.608995139268009,30.263857267044934,1
83.94939056617491,35.26533304614739,0
83.94939056617491,35.51621465746649,1
83.94939056617491,35.2383180954608,0
100.0,30.00099267330749,0
100.0,33.81157340985156,1
48.37268506164109,41.478646253021104,0
90.97026693738823,35.67655987503232,1
60.409908302721284,42.090403875300176,0
96.68050150455852,44.50969795231997,0
54.67971582219765,24.090984102535906,0
99.72813516405235,23.367220712535282,0
99.72813516405235,22.030616651112343,0
87.71818431464987,20.930118181710338,0
61.85059786979043,23.598901098901,1
74.8558425022343,20.58849779661936,0
74.8558425022343,19.07207006191723,1
74.8558425022343,23.222917307625213,1
88.80712605132376,30.54741988643785,0
100.0,35.26624442880442,0
84.38039864214826,35.5825206580791,1
64.67527056395471,38.38355303274524,0
64.67527056395471,40.77758625813279,0
59.37525096117794,37.97508151814147,0
4.7328939332397075,39.402789901124265,1
91.20842341977463,23.64773866535798,1
100.0,26.14139814600563,0
100.0,40.707841220730856,1
88.98375557720291,38.199920714206435,0
97.33353953636237,34.934560388860234,0
99.9887940515733,31.093998491570744,1
100.0,22.414338104076982,1
95.14327495117088,21.35090829231859,0
87.29779602613846,19.118047448054604,0
87.29779602613846,19.248889408464443,0
87.31825139682074,19.21139380253013,0
73.55320541789546,46.43433231459743,1
84.7822423933027,56.2979917565609,1
45.24559670624518,56.73128261177804,1
100.0,56.45098948670705,0
100.0,43.778893660313855,1
88.89314561000013,27.796629444037556,1
83.20548203416988,21.582156528700303,0
83.20548203416988,24.40108987600564,0
73.46664913090882,21.897842594564352,0
46.57993017179693,23.470062016355136,0
46.57993017179693,22.459849038908096,1
12.782206237349241,17.539360562863887,1
28.03718340851975,21.363808605188233,1
28.03718340851975,21.907519585081612,1
28.03718340851975,22.359463608892398,0
41.98050090227376,21.19047920468336,0
54.74475354537572,22.151191698592022,1
19.791215705546048,28.53547406734099,0
24.603018275446768,26.705413759481825,0
65.86169952882888,32.89703926646609,1
96.99007430814251,36.99339763163145,0
100.0,30.552163548508094,0
91.67590488561798,27.50345713227412,0
99.07300654103969,25.68820737495389,1
99.07300654103969,25.71765347360269,0
100.0,23.572125142941925,0
95.0612461296213,31.488374427887784,0
100.0,28.90510468289171,0
100.0,28.90510468289171,1
100.0,20.766228061634067,0
85.75895175068598,21.60682454800091,0
84.34089184237841,20.9438278518816,1
75.26046225985358,22.39925482890425,1
75.26046225985358,30.2793265847447,0
77.52234619578424,27.290729283839113,1
89.02189991712179,31.71212972033501,1
99.60371264094181,33.113674577969014,1
90.92470966997251,25.780138262747503,1
42.05776173905254,23.77513642819716,0
42.05776173905257,21.334289747762075,1
5.4375782736624965,18.502682733675357,1
41.903373211795305,17.408876232405245,0
11.12594936770667,19.015269484327774,1
