stochk_14_previous,wpr14_current,class
51.515151515151786,-22.222222222220818,1
73.52207977208016,-23.529411764705984,1
75.04713423831045,-5.8823529411760775,0
80.02450980392116,-12.499999999999332,1
82.10784313725487,-21.428571428572152,1
85.60924369747927,-7.142857142856707,0
86.30952380952391,-14.285714285713414,0
88.09523809523813,-15.384615384614374,0
87.91208791208794,-23.07692307692375,0
89.92673992674055,-46.15384615384532,1
84.61538461538484,-46.15384615384532,1
65.59829059829039,-0.0,1
65.40404040404047,-33.33333333333176,0
61.11111111111219,-62.49999999999911,1
37.50000000000088,-74.99999999999824,1
37.50000000000088,-62.49999999999911,1
37.50000000000088,-37.500000000000895,1
33.333333333334515,-24.99999999999823,1
45.83333333333361,-12.499999999999115,0
62.500000000000284,-37.500000000000895,1
75.00000000000058,-24.99999999999823,0
75.00000000000058,-24.99999999999823,1
70.83333333333421,-37.500000000000895,0
16.6666666666659,-66.66666666666825,0
25.92592592592545,-55.55555555555521,1
31.48148148148163,-44.4444444444448,0
29.62962962962989,-28.571428571430317,1
80.95238095237848,-14.285714285717187,1
28.57142857143036,-57.14285714285656,0
33.333333333334735,-33.333333333334906,1
34.92063492063627,-50.0,1
42.06349206349282,-16.666666666669823,1
44.44444444444498,-16.666666666669823,0
52.97181372549016,-59.375000000000135,1
47.91666666666654,-53.125000000000036,0
44.27083333333314,-56.24999999999986,0
22.555018786902732,-40.909090909091375,0
32.555018786902735,-54.54545454545431,1
53.0303030303026,-30.769230769231612,1
59.44055944055873,-15.384615384614714,1
74.81146304675703,-29.41176470588255,0
42.222222222221696,-93.33333333333373,0
8.88888888888836,-73.33333333333294,0
38.88888888888905,-23.80952380952355,0
54.761904761904546,-38.095238095238216,0
66.66666666666664,-33.33333333333378,1
65.07936507936472,-14.285714285714672,1
73.01587301587256,-14.285714285714672,0
79.36507936507894,-23.80952380952355,1
80.37741412354431,-50.0,1
73.01587301587355,-50.0,0
58.333333333333705,-66.66666666666825,1
49.99999999999997,-81.81818181818275,0
73.3333333333339,-19.999999999998863,0
73.08080808080898,-74.99999999999824,1
62.247474747475366,-62.49999999999911,0
41.666666666667254,-50.00000000000001,0
45.83333333333361,-25.000000000001783,0
49.99999999999999,-62.49999999999911,0
54.166666666666366,-37.500000000000895,1
50.0,-50.00000000000001,0
50.83333333333227,-50.0,1
46.6666666666659,-20.0000000000017,0
56.66666666666533,-20.0000000000017,1
66.66666666666477,-10.000000000002274,0
79.99999999999828,-0.0,0
83.33333333333142,-30.000000000001133,1
86.66666666666458,-0.0,0
83.33333333333144,-20.0000000000017,1
86.66666666666553,-15.384615384614714,0
79.74358974358908,-38.461538461538964,0
27.272727272726726,-27.272727272725863,0
36.3636363636362,-27.272727272725863,0
54.54545454545517,-36.36363636363706,0
66.66666666666752,-54.54545454545431,0
75.757575757577,-45.45454545454569,1
63.63636363636465,-45.45454545454569,0
48.48484848484856,-45.45454545454569,1
51.51515151515144,-36.36363636363706,1
48.48484848484856,-27.272727272725863,0
48.48484848484856,-40.000000000000576,0
56.666666666667226,-40.000000000000576,1
61.515151515151814,-57.14285714285889,0
57.61904761904742,-57.14285714285889,0
43.80952380952266,-71.42857142857258,0
40.47619047618873,-66.66666666666825,1
66.66666666666802,-28.57142857142741,1
66.66666666666802,-16.66666666666588,0
36.66666666666661,-30.43478260869539,1
42.31884057970973,-30.000000000000192,0
51.76328502415447,-23.333333333333908,0
71.20772946859908,-33.333333333333336,1
70.00000000000016,-19.999999999999808,1
72.22222222222223,-30.000000000000192,0
77.77777777777784,-30.000000000000192,0
79.99999999999993,-33.333333333333336,0
64.35185185185192,-16.666666666667194,0
72.96296296296242,-23.07692307692375,1
68.68945868945805,-44.4444444444448,1
66.83760683760579,-14.285714285717187,1
54.456654456653865,-9.09090909090862,0
54.68975468975446,-27.272727272725863,1
71.21212121212145,-7.692307692307187,1
81.82957393483719,-21.052631578947604,0
77.1929824561402,-26.31578947368413,0
78.94736842105239,-36.84210526315718,0
75.43859649122804,-41.1764705882349,0
68.73065015479894,-50.00000000000089,1
62.919246646027176,-71.42857142857113,1
40.91117216117235,-61.53846153846187,1
34.98168498168489,-61.53846153846187,1
35.89743589743573,-69.99999999999885,0
32.30769230769172,-59.999999999999424,0
32.82051282051257,-80.00000000000115,1
36.66666666666652,-75.00000000000179,0
38.33333333333298,-87.50000000000091,0
15.555555555555983,-41.66666666666706,1
34.444444444445004,-24.999999999998817,0
47.22222222222239,-19.999999999998863,0
62.777777777778084,-9.999999999999432,0
76.1111111111116,-9.999999999999432,1
83.33333333333431,-9.09090909090862,0
83.93939393939486,-18.18181818181724,0
57.777777777778866,-39.999999999999616,0
66.66666666666735,-27.272727272725863,0
66.66666666666735,-27.272727272725863,1
76.54012654012661,-21.428571428572152,0
80.21978021978012,-21.428571428572152,0
85.71428571428595,-28.57142857142886,1
85.71428571428595,-28.57142857142886,1
76.19047619047632,-7.142857142856707,0
73.80952380952398,-27.272727272725863,1
76.62337662337724,-18.18181818181724,1
80.08658008658112,-0.0,1
61.53846153846101,-50.00000000000055,1
64.10256410256358,-50.00000000000055,0
56.410256410255954,-61.538461538461455,1
48.71794871794831,-70.83333333333387,1
37.60683760683783,-68.18181818181765,0
37.37373737373759,-68.18181818181765,1
