price_previous,ema20_previous,class
242.7,242.80494008222905,1
243.6,242.9735719306936,1
243.5,243.02817124666146,0
243.8,243.10911759592483,1
243.8,243.18830584822425,1
243.7,243.24745301310742,0
243.9,243.32299027329418,0
243.8,243.3803219293884,0
243.8,243.43368119754837,0
243.7,243.47541036069975,1
243.4,243.4831061194764,1
243.5,243.4959031496912,1
243.7,243.5896667964339,0
243.4,243.62481730125285,1
243.6,243.62870159974887,1
243.4,243.582892164194,1
243.5,243.57499767236592,1
243.7,243.58541488616103,1
243.8,243.60585156366957,0
243.9,243.6368412400411,1
243.7,243.63988082045898,0
243.8,243.65513026612962,1
243.8,243.668927383641,0
243.5,243.61136159673583,0
243.3,243.5360683833497,1
243.5,243.53263329922112,0
243.6,243.5390491754857,1
243.7,243.5724850856665,1
243.4,243.496092165583,0
243.4,243.4824772213984,1
243.6,243.49515763676848,1
243.5,243.49561881421917,1
243.7,243.51805922863358,0
245.2,244.81806398135518,1
245.1,244.865743807797,0
245.5,244.9529290156389,0
245.4,245.1783164513054,0
245.6,245.25567103400329,1
245.1,245.29822466314442,1
245.2,245.30821094057927,1
245.8,245.34270306406464,0
246.2,246.39915846957436,0
246.2,246.28039620981326,0
246.4,245.88114214902456,0
246.3,245.91805783334868,0
246.0,245.89144822143643,1
246.5,245.98850985045692,1
246.5,246.04466204697792,0
246.5,246.09546641525884,1
246.8,246.30929454768696,1
246.3,246.33322832528802,0
246.4,246.3559530000833,1
246.2,246.35597803129951,0
243.3,243.2851107520689,0
243.3,243.35144098069063,1
243.3,243.3510051490398,0
243.4,243.39164023291127,0
243.5,243.41386236904182,0
243.6,243.47282361897427,0
243.4,243.46588803621484,1
243.6,243.4801483739834,0
243.2,243.42995816325836,1
243.6,243.43941772418876,0
243.6,243.4576868138441,1
243.6,243.46826491104267,0
243.7,243.4962859986712,0
243.8,243.53264999060036,1
243.5,243.53102823747517,0
243.8,243.561107905178,1
243.6,243.56778745378688,0
243.9,243.6053778230587,0
243.4,243.43341967851242,0
243.8,243.47725870881715,0
243.8,243.51543482358952,0
243.7,243.53450022922726,0
243.5,243.52972672332132,1
243.6,243.53641941633828,0
243.6,243.5436316920596,1
243.6,243.55048787212868,1
243.7,243.56323935261327,0
243.8,243.5887635252758,0
243.7,243.5963819356714,1
243.7,243.60773809253936,0
243.7,243.61950048044707,0
243.7,243.63014264093502,0
243.6,243.63466389959882,1
243.4,243.3919082094387,1
243.5,243.3992271261044,0
244.4,243.30149203616463,1
244.0,243.3799187624617,0
244.5,243.50593417329483,0
244.7,243.64494681463356,1
245.0,243.9569343878308,1
244.8,244.05805512794174,0
244.5,244.11651058343682,0
244.5,244.16791108290508,0
243.4,243.3085189720704,0
243.3,243.2692667032982,1
243.5,243.30165569150776,1
243.4,243.3139973557042,1
243.7,243.35671059146011,0
244.1,243.4423777568309,1
244.1,243.61828912021068,1
244.6,243.98626163883515,0
244.6,244.06405391858522,0
244.5,244.12193806068558,0
244.3,244.15079849893291,0
244.3,244.179885863592,1
244.2,244.19370365394352,1
244.2,244.20042475824815,1
244.2,244.21079869360514,1
244.2,244.22316017469691,0
244.3,244.24238041160982,0
244.4,244.27226949887117,1
244.2,244.27282553840038,0
244.2,244.26737754262746,0
243.5,243.6010388386833,1
243.7,243.60751389556057,0
243.9,243.6309064056638,0
243.8,243.64105947834895,0
243.9,243.6597694012546,1
243.9,243.67520965695155,0
244.0,243.7031665309972,0
243.2,243.07158298150074,0
243.5,243.110795002005,0
243.5,243.110795002005,1
243.9,243.2985766221217,0
243.7,243.35168511790573,0
243.7,243.3982478919212,1
243.6,243.4323400762957,1
243.6,243.45723430681159,0
243.8,243.54907212003056,1
243.9,243.5914204416193,1
244.0,243.6481860179817,1
245.1,244.11850550148483,1
244.6,244.2441792258726,0
244.6,244.3003834654829,1
244.3,244.3122491032734,1
244.7,244.36961512845642,0
244.4,244.38292331426982,1
