ema200_previous,wpr14_current,class
243.18028035080428,-22.222222222220818,1
243.1885337173301,-23.529411764705984,1
243.1933459797288,-5.8823529411760775,0
243.2010954335464,-12.499999999999332,1
243.209079250263,-21.428571428572152,1
243.21583286519532,-7.142857142856707,0
243.2251322735149,-14.285714285713414,0
243.2328769176945,-15.384615384614374,0
243.24054450073783,-23.07692307692375,0
243.24714076454683,-46.15384615384532,1
243.25021911142517,-46.15384615384532,1
243.2582121099501,-0.0,1
243.27440708951042,-33.33333333333176,0
243.2898420512497,-62.49999999999911,1
243.2985633976934,-74.99999999999824,1
243.30382540270813,-62.49999999999911,1
243.307490484158,-37.500000000000895,1
243.31357635472497,-24.99999999999823,1
243.32044095829545,-12.499999999999115,0
243.32760933844415,-37.500000000000895,1
243.3325606057296,-24.99999999999823,0
243.33861336749587,-24.99999999999823,1
243.34476163872287,-37.500000000000895,0
243.3645936479768,-66.66666666666825,0
243.36708943313937,-55.55555555555521,1
243.36950207796414,-44.4444444444448,0
243.37304147719482,-28.571428571430317,1
243.3858355976397,-14.285714285717187,1
243.40058643874156,-57.14285714285656,0
243.40151501920658,-33.333333333334906,1
243.40442440981647,-50.0,1
243.40646556233645,-16.666666666669823,1
243.41063219057838,-16.666666666669823,0
243.61502808479324,-59.375000000000135,1
243.63323011555946,-53.125000000000036,0
243.6555426029863,-56.24999999999986,0
243.7669883818001,-40.909090909091375,0
243.78647319094304,-54.54545454545431,1
243.81569136677163,-30.769230769231612,1
243.83102294148858,-15.384615384614714,1
243.89069443206319,-29.41176470588255,0
245.16937120108838,-93.33333333333373,0
245.221268953558,-73.33333333333294,0
245.3142976184791,-23.80952380952355,0
245.3294006245415,-38.095238095238216,0
245.3628215401603,-33.33333333333378,1
245.4044781685112,-14.285714285714672,1
245.4212968492035,-14.285714285714672,0
245.43794817983886,-23.80952380952355,1
245.50779196801182,-50.0,1
245.5331418154762,-50.0,0
245.54581640464676,-66.66666666666825,1
245.55606335685874,-81.81818181818275,0
244.84953514904828,-19.999999999998863,0
244.79956980428062,-74.99999999999824,1
244.77997663331814,-62.49999999999911,0
244.7292339831289,-50.00000000000001,0
244.7143552881337,-25.000000000001783,0
244.68815692543944,-62.49999999999911,0
244.67238046061885,-37.500000000000895,1
244.6596854409755,-50.00000000000001,0
244.5701668429261,-50.0,1
244.54258095555105,-20.0000000000017,0
244.53071026543304,-20.0000000000017,1
244.51864621974252,-10.000000000002274,0
244.5076972391832,-0.0,0
244.49754075668758,-30.000000000001133,1
244.4845002590923,-0.0,0
244.4755090079956,-20.0000000000017,1
244.46430570044043,-15.384615384614714,0
244.4571333588858,-38.461538461538964,0
244.34275097974185,-27.272727272725863,0
244.33517016923562,-27.272727272725863,0
244.3276647896797,-36.36363636363706,0
244.31939480158763,-54.54545454545431,0
244.30874984434516,-45.45454545454569,1
244.2998287757349,-45.45454545454569,0
244.2824062421525,-45.45454545454569,1
244.2735915629912,-36.36363636363706,1
244.2653924091177,-27.272727272725863,0
244.25795839184812,-40.000000000000576,0
244.24960332002442,-40.000000000000576,1
244.2416428551354,-57.14285714285889,0
244.2336058629061,-57.14285714285889,0
244.22533736885697,-71.42857142857258,0
244.206912047493,-66.66666666666825,1
244.03533324343348,-28.57142857142741,1
244.02673608962624,-16.66666666666588,0
243.91534511552524,-30.43478260869539,1
243.9138514134928,-30.000000000000192,0
243.9176591704376,-23.333333333333908,0
243.92357482495086,-33.333333333333336,1
243.93922171625272,-19.999999999999808,1
243.94607357889316,-30.000000000000192,0
243.94971645322295,-30.000000000000192,0
243.95254440031627,-33.333333333333336,0
243.76985276004143,-16.666666666667194,0
243.71240866033918,-23.07692307692375,1
243.7060902707865,-44.4444444444448,1
243.698528254014,-14.285714285717187,1
243.69464949960042,-9.09090909090862,0
243.69556811899145,-27.272727272725863,1
243.6937768964984,-7.692307692307187,1
243.71981376774227,-21.052631578947604,0
243.7259243286216,-26.31578947368413,0
243.7312905349166,-36.84210526315718,0
243.7346132963731,-41.1764705882349,0
243.737591523634,-50.00000000000089,1
243.73923362002532,-71.42857142857113,1
243.73956739287001,-61.53846153846187,1
243.74056688508657,-61.53846153846187,1
243.7415564321067,-69.99999999999885,0
243.74399836560193,-59.999999999999424,0
243.74694381828903,-80.00000000000115,1
243.7474027053993,-75.00000000000179,0
243.74785702646872,-87.50000000000091,0
243.68039544231635,-41.66666666666706,1
243.67659891617447,-24.999999999998817,0
243.67710871712399,-19.999999999998863,0
243.6769298924438,-9.999999999999432,0
243.67774787198908,-9.999999999999432,1
243.67886918432689,-9.09090909090862,0
243.6811301001497,-18.18181818181724,0
243.5457242263327,-39.999999999999616,0
243.5421211103425,-27.272727272725863,0
243.5421211103425,-27.272727272725863,1
243.54739633339383,-21.428571428572152,0
243.5500049294603,-21.428571428572152,0
243.55243183340087,-28.57142857142886,1
243.55383956416782,-28.57142857142886,1
243.55554475955554,-7.142857142856707,0
243.5647780571777,-27.272727272725863,1
243.5690480145738,-18.18181818181724,1
243.57427050970742,-0.0,1
243.6285425804848,-50.00000000000055,1
243.65134221634617,-50.00000000000055,0
243.6628061645771,-61.538461538461455,1
243.6707037612065,-70.83333333333387,1
243.68957198410823,-68.18181818181765,0
243.69757533526607,-68.18181818181765,1
