sma20_current,mom10_previous,class
242.86999999999995,-0.20000000000001705,1
242.94,0.6999999999999886,1
242.965,0.8000000000000114,0
243.01000000000005,1.0,1
243.045,1.1000000000000227,1
243.09,1.0,0
243.13,1.200000000000017,0
243.175,0.9000000000000057,0
243.23,0.8000000000000114,0
243.28,0.19999999999998866,1
243.315,-0.19999999999998866,1
243.40999999999997,-0.30000000000001137,1
243.51,0.0,0
243.62,-0.4000000000000057,1
243.645,0.19999999999998866,1
243.635,-0.09999999999999433,1
243.63,-0.5,1
243.63,0.0,1
243.64,0.0,0
243.63,0.30000000000001137,1
243.63,0.2999999999999829,0
243.63,0.30000000000001137,1
243.63,0.20000000000001705,0
243.605,-0.4000000000000057,0
243.58,-0.5,1
243.58,-0.19999999999998866,0
243.5900000000001,-0.09999999999999433,1
243.61,0.19999999999998866,1
243.49499999999995,-0.19999999999998866,0
243.49999999999997,-0.19999999999998866,1
243.5,-0.09999999999999433,1
243.51,-0.19999999999998866,1
243.52,0.19999999999998866,0
244.305,2.0,1
244.39500000000004,1.6999999999999886,0
244.48,1.5999999999999943,0
245.21,0.20000000000001705,0
245.315,0.5,1
245.4650000000001,-0.20000000000001705,1
245.425,0.2999999999999829,1
245.31,0.6000000000000227,0
246.345,-0.30000000000001137,0
246.335,-0.30000000000001137,0
246.04,0.09999999999999433,0
246.005,0.10000000000002274,0
245.92,0.30000000000001137,1
245.965,1.4000000000000057,1
245.99,0.8000000000000114,0
245.99500000000003,0.09999999999999433,1
246.11,0.8000000000000114,1
246.195,0.20000000000001705,0
246.245,-0.09999999999999433,1
246.295,-0.30000000000001137,0
243.23,-0.09999999999999433,0
243.27500000000003,-0.09999999999999433,1
243.29,-0.19999999999998866,0
243.385,0.09999999999999433,0
243.43,0.19999999999998866,0
243.445,0.19999999999998866,0
243.45,-0.4000000000000057,1
243.455,0.2999999999999829,0
243.445,-0.5,1
243.47000000000003,0.19999999999998866,0
243.46000000000004,0.0,1
243.48,0.09999999999999433,0
243.505,0.0,0
243.51,0.30000000000001137,1
243.525,0.30000000000001137,0
243.53500000000003,0.5,1
243.555,0.4000000000000057,0
243.55,0.5999999999999943,0
243.52,-0.5,0
243.545,0.20000000000001705,0
243.55,0.30000000000001137,0
243.545,0.19999999999998866,0
243.545,0.19999999999998866,1
243.54000000000005,0.4000000000000057,0
243.53500000000008,0.5,1
243.53000000000003,0.19999999999998866,1
243.54000000000005,0.2999999999999829,0
243.53000000000003,0.0,0
243.535,-0.10000000000002274,1
243.545,0.0,0
243.555,0.19999999999998866,0
243.57,0.09999999999999433,0
243.61000000000004,0.0,1
243.44,0.0,1
243.43,0.19999999999998866,0
243.335,0.9000000000000057,1
243.4,0.9000000000000057,0
243.485,1.1999999999999886,0
243.545,1.5999999999999943,1
243.74,1.6999999999999886,1
243.795,2.200000000000017,0
243.84500000000003,1.6999999999999886,0
243.89,0.09999999999999433,0
243.435,0.30000000000001137,0
243.205,-0.3999999999999773,1
243.215,0.19999999999998866,1
243.235,0.0,1
243.285,0.19999999999998866,0
243.36499999999995,0.7999999999999828,1
243.56,0.7999999999999828,1
243.805,1.1999999999999886,0
243.86000000000004,0.9000000000000057,0
243.90000000000003,0.4000000000000057,0
243.95000000000005,0.4000000000000057,0
243.99,0.6000000000000227,1
244.025,0.09999999999999433,1
244.105,-0.20000000000001705,1
244.14999999999995,-0.6000000000000227,1
244.19,-0.4000000000000057,0
244.23999999999995,-0.2999999999999829,0
244.265,-0.09999999999999433,1
244.27,-0.10000000000002274,0
244.28,-0.10000000000002274,0
243.775,-0.19999999999998866,1
243.735,0.19999999999998866,0
243.715,0.5,0
243.695,0.4000000000000057,0
243.67,0.5999999999999943,1
243.66,0.5999999999999943,0
243.64499999999992,0.8000000000000114,0
243.08,0.19999999999998866,0
243.08,0.19999999999998866,0
243.08,0.19999999999998866,1
243.19499999999996,0.9000000000000057,0
243.23999999999995,0.8999999999999773,0
243.29,0.3999999999999773,1
243.32,0.4000000000000057,1
243.365,0.5,0
243.425,0.4000000000000057,1
243.485,0.5,1
243.54,0.30000000000001137,1
243.90000000000003,1.5,1
244.04500000000007,0.6999999999999886,0
244.08500000000004,0.7999999999999828,1
244.12500000000009,0.4000000000000057,1
244.225,0.5,0
244.24999999999997,-0.09999999999999433,1
