sma50_current,uosc_previous,class
243.18,21.379885046451914,1
243.182,28.3890230229244,1
243.19,25.79184034575511,0
243.2,27.410741074107047,1
243.21,25.458241947805533,1
243.226,22.059716360914866,0
243.23999999999995,22.53823196687541,0
243.25399999999996,17.008123195731017,0
243.264,18.001621612297242,0
243.264,21.294207393056475,1
243.264,18.823053158624145,1
243.278,19.400939442852376,1
243.28,22.734051092864657,0
243.276,19.806918388699184,1
243.268,23.976680400614004,1
243.266,16.410981582396726,1
243.272,17.598505696236007,1
243.28400000000002,25.244667205092536,1
243.29999999999995,25.249840853002485,0
243.308,24.48608887900327,1
243.318,20.68233353947642,0
243.32799999999997,23.03139518331161,1
243.342,25.313688402191204,0
243.4,26.07199817726034,0
243.422,23.841362363563217,1
243.442,31.831787260358386,0
243.46599999999998,33.67464714709917,1
243.52000000000004,25.12902520365177,1
243.596,34.5283789301762,0
243.596,38.083953960731904,1
243.59600000000003,45.29616724738735,1
243.594,38.155061019383176,1
243.592,41.79587880618865,0
243.864,16.78437534159132,1
243.898,11.016211916399515,0
243.926,10.700751923449292,0
244.12800000000004,25.46232298297667,0
244.164,25.58364296705452,1
244.22800000000004,25.773341714390234,1
244.272,20.504068649828078,1
244.4,18.12724943793112,0
245.924,26.85638496189079,0
245.93,10.411822660098213,0
245.98999999999995,27.989222883602626,0
246.002,25.024668661996568,0
246.05000000000004,18.11371851699863,1
246.108,17.01057028925865,1
246.122,18.533360537814385,0
246.13,23.974840469084764,1
246.198,30.05736330544499,1
246.214,24.4884357996983,0
246.212,21.20493225785105,1
246.21599999999998,22.597534560382535,0
243.768,33.06260287190153,0
243.694,54.05018125867856,1
243.67,40.04091994637346,0
243.582,31.2064848112204,0
243.55599999999998,29.467876039305487,0
243.498,28.43357734007535,0
243.466,31.432506261682025,1
243.44000000000003,33.68136187095412,0
243.288,34.19879062736174,1
243.25600000000003,37.75182677789487,0
243.25800000000004,35.26533304614739,1
243.26800000000003,35.51621465746649,0
243.306,35.2383180954608,0
243.32,30.00099267330749,1
243.34,33.81157340985156,0
243.356,41.478646253021104,1
243.376,35.67655987503232,0
243.39,42.090403875300176,0
243.456,19.91795366795364,0
243.47599999999997,24.090984102535906,0
243.484,23.367220712535282,0
243.486,22.030616651112343,0
243.488,20.930118181710338,1
243.492,23.598901098901,0
243.498,22.619047619047183,1
243.504,19.07207006191723,1
243.51,23.222917307625213,0
243.518,30.54741988643785,0
243.52599999999998,35.26624442880442,1
243.534,35.5825206580791,0
243.54000000000005,38.38355303274524,0
243.53600000000003,40.77758625813279,0
243.548,34.37470350558354,1
243.524,24.869169266583878,1
243.522,23.64773866535798,0
243.45,45.57283897040844,1
243.474,40.707841220730856,0
243.504,38.199920714206435,0
243.528,34.934560388860234,1
243.616,30.68327462737411,1
243.63,22.414338104076982,0
243.644,21.35090829231859,0
243.658,19.118047448054604,0
243.50600000000003,17.842639591114217,0
243.51799999999997,34.670474419431535,1
243.522,46.43433231459743,1
243.52599999999998,56.2979917565609,1
243.53800000000004,56.73128261177804,0
243.548,56.45098948670705,1
243.582,34.2869896061393,1
243.69,22.53983931420083,0
243.71599999999998,21.582156528700303,0
243.73799999999997,24.40108987600564,0
243.75799999999995,21.897842594564352,0
243.79,23.470062016355136,1
243.814,22.459849038908096,1
243.814,19.436342599255358,1
243.808,21.363808605188233,1
243.8,21.907519585081612,0
243.79999999999995,22.359463608892398,0
243.794,21.19047920468336,1
243.778,22.151191698592022,0
243.76400000000004,28.53547406734099,0
243.78600000000003,26.59404670959333,1
243.81600000000003,36.42787091953472,0
243.82599999999996,36.99339763163145,0
243.83,30.552163548508094,0
243.842,27.50345713227412,1
243.854,25.68820737495389,0
243.862,25.71765347360269,0
243.51000000000005,34.00538772919588,0
243.484,33.481268901568875,0
243.484,33.481268901568875,1
243.43600000000004,23.72247823860724,0
243.426,20.766228061634067,0
243.414,21.60682454800091,1
243.404,20.9438278518816,1
243.406,22.39925482890425,0
243.41599999999997,25.296009491734647,1
243.426,27.290729283839113,1
243.44200000000004,31.71212972033501,1
243.56600000000003,27.759254094145373,1
243.612,24.262813752372452,0
243.624,23.77513642819716,1
243.634,21.334289747762075,1
243.662,17.643596875088612,0
243.672,17.408876232405245,1
