ema30_previous,sma100_current,class
242.9144385936486,243.29500000000004,1
242.98529712205425,243.296,1
243.01850375934106,243.302,0
243.07295857572075,243.308,1
243.12591803017983,243.312,1
243.16900913273852,243.31600000000003,0
243.2222233899707,243.318,0
243.2645439303941,243.32100000000003,0
243.3041341133707,243.323,0
243.33673633013032,243.32000000000005,1
243.34586248731742,243.31700000000004,1
243.36493252760067,243.31800000000004,1
243.43955676419841,243.321,0
243.48380094054627,243.318,1
243.50802759313214,243.321,1
243.51103901776986,243.324,1
243.51638037919358,243.32800000000003,1
243.53831606654,243.33300000000003,1
243.56528816115448,243.341,0
243.59898958557525,243.34600000000003,1
243.61559564670355,243.34900000000002,0
243.6385908879724,243.353,1
243.6580847132489,243.357,0
243.6249990209944,243.366,0
243.564435182531,243.372,1
243.5572512959214,243.375,0
243.55900035080987,243.377,1
243.57855783038582,243.378,1
243.52979519327096,243.38600000000002,0
243.5214213098341,243.38800000000003,1
243.52850875478757,243.389,1
243.52666948028502,243.392,1
243.5378520944602,243.396,0
244.4607540082531,243.568,1
244.51612064941682,243.59099999999995,0
244.59977525694646,243.61299999999997,0
244.8740516610031,243.75,0
244.9420744841278,243.76999999999995,1
245.00309169998917,243.81399999999996,1
245.03193827759642,243.838,1
245.20260905760682,243.921,0
246.30332334604032,245.595,0
246.259489231279,245.641,0
245.99252418047746,245.68400000000003,0
246.0123613301241,245.689,0
245.9879062877316,245.715,1
246.0276145239743,245.768,1
246.06010885833803,245.786,0
246.0925246360728,245.801,1
246.22516331926442,245.87,1
246.2415524759692,245.893,0
246.25379274891387,245.90500000000003,1
246.25234010102352,245.915,0
243.21463646838947,244.886,0
243.26448111036132,244.799,1
243.28089761590496,244.766,0
243.32648786616485,244.67400000000006,0
243.34373575349878,244.6490000000001,0
243.39638398539182,244.59900000000005,0
243.39964405471613,244.57500000000005,1
243.41761487483325,244.548,0
243.42726740693783,244.396,1
243.43847632196517,244.365,0
243.4509150564587,244.344,1
243.46154236593262,244.317,0
243.47995350748016,244.292,0
243.50463737236697,244.267,1
243.50433818705292,244.247,0
243.5274488468061,244.223,1
243.5331384923867,244.201,0
243.56286053286743,244.176,0
243.45820252883306,243.892,0
243.48328075664506,243.866,0
243.50472318223603,243.84099999999998,0
243.51833061262766,243.815,0
243.518156918478,243.791,1
243.52343711728585,243.769,0
243.53293242687215,243.743,1
243.5382682930937,243.72599999999997,1
243.55374722686386,243.711,0
243.5746791326489,243.69400000000002,0
243.5878089799962,243.681,1
243.5990828143981,243.667,0
243.6066025265857,243.654,0
243.6136370960516,243.643,0
243.6109253068412,243.62099999999995,1
243.44512963700657,243.406,1
243.44564288236637,243.393,0
243.3278241255824,243.42999999999995,1
243.37421708908798,243.44400000000002,0
243.45592857880862,243.457,0
243.54728943736094,243.47100000000003,1
243.77734837128372,243.525,1
243.85644193397408,243.543,0
243.9090599954189,243.56,0
243.9582833432222,243.571,0
243.4449527612511,243.529,0
243.40234369508644,243.51800000000003,1
243.396536989618,243.51500000000004,1
243.38667114944485,243.51700000000002,1
243.39881450583863,243.52599999999998,0
243.4349719454776,243.53200000000004,1
243.50059506736,243.552,1
243.7787364802131,243.589,0
243.84584618770188,243.59900000000002,0
243.9001567717003,243.604,0
243.93806022124718,243.611,0
243.9815896951104,243.614,1
244.00980564679938,243.618,1
244.0487579907386,243.63200000000003,1
244.06860479992088,243.641,1
244.0861622437814,243.65200000000004,0
244.10601178417218,243.664,0
244.13607695205584,243.67500000000004,1
244.1482724278233,243.683,0
244.15867217268269,243.69,0
243.76964794867558,243.66600000000003,1
243.7511221222051,243.66800000000003,0
243.75568251648,243.67000000000004,0
243.74845244876752,243.67300000000003,0
243.751167227999,243.676,1
243.75370686018329,243.68,0
243.7645521100725,243.68400000000003,0
243.18844949648891,243.65,0
243.19741807780457,243.647,0
243.19741807780457,243.647,1
243.2873798290107,243.618,0
243.31198263316404,243.61000000000004,0
243.33398923361042,243.59600000000003,1
243.34812444047932,243.584,1
243.36134769851824,243.578,0
243.42990350741684,243.56600000000003,1
243.46527694348882,243.569,1
243.5048198352981,243.576,1
243.8712557949692,243.646,1
243.99727352745518,243.687,0
244.0523019226453,243.705,1
244.0793806299824,243.718,1
244.15436452698864,243.74400000000009,0
244.1833280151173,243.7510000000001,1
