ema10_current,ema100_current,class
242.7479209911617,243.18905225418166,1
243.19277496110772,243.2059823509734,1
243.33424129512343,243.21960454887298,0
243.44716267918275,243.23295700028004,1
243.52137108432208,243.24344502462958,1
243.62409828516158,243.2576857613686,0
243.6871421966221,243.26904448124196,0
243.7330759820916,243.28048818799888,0
243.74682875538662,243.28941517665172,0
243.68094518336272,243.29067523904556,1
243.62421664429863,243.29191034970887,1
243.6797099783551,243.31029924093696,1
243.70511265958461,243.3284839227556,0
243.5862533612204,243.33751678839408,1
243.5521236878136,243.3447663049139,1
243.5200166835776,243.3498359170736,1
243.5442695279754,243.3580095074276,1
243.5935897757516,243.36831135455623,1
243.65212452393232,243.38131913882043,0
243.66365295426186,243.38917921106997,1
243.69973851948325,243.3982440122856,0
243.72643927452896,243.40743922451642,1
243.72445593202275,243.41447215531707,0
243.5840360620896,243.43239618066715,0
243.45028644571119,243.42857866939048,1
243.47468329362832,243.43290288727312,0
243.4946443510149,243.4368315650493,1
243.5875123366237,243.4505651585406,1
243.45672908434034,243.45160054841358,0
243.48277834173297,243.4551589754741,1
243.48026195569247,243.4563568285833,1
243.52021432738465,243.4621111819273,1
243.5585502281311,243.46806149971002,0
245.50810452669404,243.82994300544357,1
245.5659307410485,243.8701414176561,0
245.55711287366313,243.90527351363698,0
245.22668104841838,244.10478228197974,0
245.24565936352226,244.13464820015275,1
245.2036240059114,244.18798273851326,1
245.25344772369567,244.21942096903098,1
245.45208632206402,244.32506238048538,0
246.32841625520317,245.83408383388885,0
246.21236019291774,245.87057307332157,0
245.83872175958703,245.86638279248183,0
245.86239747939118,245.87057823792648,0
245.92871817021057,245.8842262192538,1
246.2231095049664,245.92862768583853,1
246.29604361787418,245.94552040561916,0
246.29393916176159,245.95718848396888,1
246.5462437742421,246.03293930986325,1
246.49611484768258,246.05245192054863,0
246.4338043895158,246.0590926090496,1
246.36181748906208,246.06300177668945,0
243.37641283585307,244.2284174956066,0
243.40324521285584,244.15737520939186,1
243.3998313758376,244.13215058352168,0
243.4354882885344,244.06549234972576,0
243.4948765202517,244.05050707671853,0
243.50019558876545,244.01353315183098,0
243.512694248719,243.9979064878408,1
243.51603380013188,243.9796793286337,0
243.36358347007842,243.8651202898652,1
243.4473852914805,243.845215351992,0
243.4751334203021,243.83385144982952,1
243.52166584960904,243.82283330127632,0
243.57509585708831,243.8146333559607,0
243.5614420648904,243.8006551917408,1
243.6217590248139,243.79444397705845,0
243.6262742334359,243.78315571256888,1
243.69580914285018,243.7786513961876,0
243.6868606936474,243.76736594404213,0
243.4252531685399,243.62229653862755,0
243.49903655271262,243.61775770628597,0
243.54122295794483,243.61163846582176,0
243.53372787468217,243.6013700903672,0
243.55424874696445,243.59390507115882,1
243.57386234987632,243.58720769817168,0
243.6058634087236,243.57971296384312,1
243.63145054754384,243.57682638085092,1
243.67339109580487,243.57659697999665,0
243.67540528006856,243.5737720996549,0
243.6770532490116,243.57224280565552,1
243.6812253855549,243.570433882676,0
243.69028654845218,243.5689706919833,0
243.67387081236998,243.5661761014024,0
243.6494507091071,243.56075797658417,1
243.37911578236424,243.45396621440563,1
243.4067423276598,243.45084891813374,0
243.45403016580346,243.43766415086878,1
243.68373967573535,243.4630392727289,0
243.90804745658886,243.49156240093876,0
244.03420275169705,243.51389003269833,1
244.48232238160404,243.60340637005638,1
244.5391886620677,243.62673911589187,0
244.58006802217602,243.64929991512696,0
244.54732838178035,243.66757429566596,0
243.27546065841813,243.51813622269586,0
243.39236570386976,243.49600610749957,1
243.3965775560289,243.49317526037171,1
243.46021666806632,243.4978906238292,1
243.59348370013961,243.512602790038,0
243.66615672638144,243.52213349409507,1
243.90245075355125,243.55822548539874,1
244.3934105803183,243.64952012843827,0
244.435380861344,243.669460434308,0
244.41641375591598,243.68349592644898,0
244.40654281174577,243.6978733121113,0
244.3831085648328,243.7087461509301,1
244.31062866381862,243.71575320199963,1
244.2660992276292,243.73903722122918,1
244.23713839633845,243.7509544053113,1
244.24009638387054,243.765235627629,0
244.2635221719869,243.78152416351418,0
244.24350129121933,243.79321984606514,1
244.23276816722571,243.8037541948537,0
244.20298090382286,243.81178983262703,0
243.44774812135643,243.7321990925196,1
243.58341676266312,243.73551672689067,0
243.63409072635716,243.73741344744647,0
243.69655685860582,243.74156271922902,0
243.750489310581,243.74562982721366,1
243.8156214786961,243.751906508456,0
243.850729616245,243.7560787009608,0
243.0978024922157,243.51991036140927,0
243.2223334674884,243.51617674725293,0
243.2223334674884,243.51617674725293,1
243.54469389076928,243.51986470045483,0
243.59834555003025,243.52095243985409,0
243.60711775406742,243.51817896966287,1
243.61711881023328,243.51608024373226,1
243.6911421403653,243.521823142967,0
243.76636016075832,243.5310351816962,1
243.8257829214331,243.5412513498301,1
243.90794138184967,243.55646526176227,1
244.52553845914827,243.67698746346886,1
244.59302423718844,243.72574573034674,0
244.55386609474056,243.74269551855275,1
244.49799819973958,243.7557799092213,1
244.53205045954988,243.79482958383943,0
244.50521748676903,243.80898254064275,1
