ema20_previous,adi14_previous,class
242.80494008222905,29.49350703497163,1
242.9735719306936,27.33001566438905,1
243.02817124666146,28.138500306321497,0
243.10911759592483,28.88923604525876,1
243.18830584822425,29.839196304385656,1
243.24745301310742,30.127138022428827,0
243.32299027329418,30.39451247489746,0
243.3803219293884,30.64278875218976,0
243.43368119754837,29.65413273155519,0
243.47541036069975,28.7360949981088,1
243.4831061194764,26.808864225706376,1
243.4959031496912,23.357547893495926,1
243.5896667964339,24.263916931273553,0
243.62481730125285,23.099130809294962,1
243.62870159974887,20.347613516425785,1
243.582892164194,17.624687130911788,1
243.57499767236592,16.909175483037668,1
243.58541488616103,16.711535284196447,1
243.60585156366957,17.33874074742248,0
243.6368412400411,18.274806785425405,1
243.63988082045898,18.52174525658243,0
243.65513026612962,18.167628804815713,1
243.668927383641,17.838806385318048,0
243.61136159673583,14.047811285716715,0
243.5360683833497,12.590495292347144,1
243.53263329922112,11.723718980900244,0
243.5390491754857,11.781263603796566,1
243.5724850856665,11.993563461893716,1
243.496092165583,10.348523684005812,0
243.4824772213984,9.84139887985757,1
243.49515763676848,9.479940862592802,1
243.49561881421917,9.669916171077272,1
243.51805922863358,9.846321814670004,0
244.81806398135518,36.52739609974017,1
244.865743807797,36.066683634769795,0
244.9529290156389,35.901222962108825,0
245.1783164513054,30.784253475909622,0
245.25567103400329,30.407514357618858,1
245.29822466314442,28.696111592936987,1
245.30821094057927,27.828190657430497,1
245.34270306406464,27.777909474020287,0
246.39915846957436,20.94931758949373,0
246.28039620981326,21.726828807740823,0
245.88114214902456,20.850100747130746,0
245.91805783334868,21.022582531595226,0
245.89144822143643,18.96465301825261,1
245.98850985045692,17.64296552108821,1
246.04466204697792,18.029949940459744,0
246.09546641525884,17.774539048536305,1
246.30929454768696,19.521597386233346,1
246.33322832528802,17.83628053099605,0
246.3559530000833,16.85596897350981,1
246.35597803129951,16.43903175848917,0
243.2851107520689,27.351905880629463,0
243.35144098069063,24.396514368889193,1
243.3510051490398,23.5180218814308,0
243.39164023291127,20.313481744341985,0
243.41386236904182,18.921429054368943,0
243.47282361897427,18.333946911158463,0
243.46588803621484,17.202181312156974,1
243.4801483739834,16.527741506593383,0
243.42995816325836,16.255569177702306,1
243.43941772418876,15.199733703992365,0
243.4576868138441,14.799968119111641,1
243.46826491104267,14.428757218865249,0
243.4962859986712,14.084061382922178,0
243.53264999060036,14.132824171475516,1
243.53102823747517,13.345742014891947,0
243.561107905178,12.614880012350055,1
243.56778745378688,11.936222438561153,0
243.6053778230587,12.060965966298456,0
243.43341967851242,10.508742724530194,0
243.47725870881715,10.551203324066408,0
243.51543482358952,11.592449135621335,0
243.53450022922726,12.559320246350902,0
243.52972672332132,12.074671102857986,1
243.53641941633828,11.62463975532885,0
243.5436316920596,10.818716270723105,1
243.55048787212868,10.894874503855435,1
243.56323935261327,10.965592863192592,0
243.5887635252758,11.471529205555143,0
243.5963819356714,11.941327237748899,1
243.60773809253936,12.816823244868123,0
243.61950048044707,13.62978382290741,0
243.63014264093502,15.187370909879633,0
243.63466389959882,17.210901329108648,1
243.3919082094387,14.66350116158429,1
243.3992271261044,13.647362654291612,0
243.30149203616463,18.43783559312172,1
243.3799187624617,19.612686809556244,0
243.50593417329483,21.5913002090508,0
243.64494681463356,23.42858408001002,1
243.9569343878308,28.103873545614746,1
244.05805512794174,29.967589134721035,0
244.11651058343682,31.34619330779241,0
244.16791108290508,32.62632575421583,0
243.3085189720704,20.223506211936744,0
243.2692667032982,14.575185601099449,1
243.30165569150776,14.166002276412636,1
243.3139973557042,13.78604633206057,1
243.35671059146011,12.916829735310811,0
243.4423777568309,13.554546592099786,1
243.61828912021068,15.423272252521436,1
243.98626163883515,22.18564036177448,0
244.06405391858522,24.034625244078985,0
244.12193806068558,24.433777777973873,0
244.15079849893291,24.804419416590573,0
244.179885863592,24.335039209540483,1
244.19370365394352,23.89918616013681,1
244.20042475824815,22.6391366890462,1
244.21079869360514,22.225102817930544,1
244.22316017469691,21.3864821100137,0
244.24238041160982,21.278555190048625,0
244.27226949887117,21.17833733579531,1
244.27282553840038,20.594244309146553,0
244.26737754262746,19.582386587333122,0
243.6010388386833,26.633500708305892,1
243.60751389556057,24.21716023652717,0
243.6309064056638,22.662838967734423,0
243.64105947834895,21.31852480705852,0
243.6597694012546,20.07023308643088,1
243.67520965695155,18.85586140719128,0
243.7031665309972,17.7821959635366,0
243.07158298150074,29.25380614078433,0
243.110795002005,26.561938597080665,0
243.110795002005,26.561938597080665,1
243.2985766221217,22.64447630571141,0
243.35168511790573,22.225217024745675,0
243.3982478919212,21.40025334139247,1
243.4323400762957,20.250489922857888,1
243.45723430681159,19.182852462790052,0
243.54907212003056,18.491834369966604,1
243.5914204416193,18.068313226042694,1
243.6481860179817,17.981200619141127,1
244.11850550148483,24.98727059245132,1
244.2441792258726,25.77062932335507,0
244.3003834654829,26.14294611517559,1
244.3122491032734,26.186910541257912,1
244.36961512845642,25.845676933774147,0
244.38292331426982,26.037022757697486,1
