stoch_rsi_14_previous,wpr14_current,class
83.93754063278692,-22.222222222220818,1
100.0,-23.529411764705984,1
95.6193041181328,-5.8823529411760775,0
100.0,-12.499999999999332,1
100.0,-21.428571428572152,1
91.26723929384715,-7.142857142856707,0
100.0,-14.285714285713414,0
91.04485588976624,-15.384615384614374,0
91.04485588976627,-23.07692307692375,0
80.65900828262838,-46.15384615384532,1
47.10473139803854,-46.15384615384532,1
21.14328396361089,-0.0,1
37.71240329969313,-33.33333333333176,0
0.0,-62.49999999999911,1
30.89166434935492,-74.99999999999824,1
0.0,-62.49999999999911,1
19.99722085346585,-37.500000000000895,1
52.247124095496886,-24.99999999999823,1
65.41630055570515,-12.499999999999115,0
77.31529121644729,-37.500000000000895,1
42.492268864146226,-24.99999999999823,0
73.85038129375035,-24.99999999999823,1
73.85038129375035,-37.500000000000895,0
0.0,-66.66666666666825,0
24.28660159413655,-55.55555555555521,1
59.07453707633842,-44.4444444444448,0
81.57748574983876,-28.571428571430317,1
100.0,-14.285714285717187,1
43.946570765172176,-57.14285714285656,0
21.344353790494136,-33.333333333334906,1
85.1606708297445,-50.0,1
47.872566859533435,-16.666666666669823,1
100.0,-16.666666666669823,0
70.48002307213666,-59.375000000000135,1
51.17347630761283,-53.125000000000036,0
60.38213367781202,-56.24999999999986,0
35.33658083910636,-40.909090909091375,0
56.738923307686385,-54.54545454545431,1
9.551159609367305,-30.769230769231612,1
27.14521603864653,-15.384615384614714,1
100.0,-29.41176470588255,0
0.0,-93.33333333333373,0
28.756051257656274,-73.33333333333294,0
100.0,-23.80952380952355,0
96.13692187877035,-38.095238095238216,0
84.15408982058239,-33.33333333333378,1
100.0,-14.285714285714672,1
100.0,-14.285714285714672,0
100.0,-23.80952380952355,1
100.0,-50.0,1
31.103224557005788,-50.0,0
45.14023347990386,-66.66666666666825,1
0.0,-81.81818181818275,0
78.71121629459716,-19.999999999998863,0
2.7141294901922466,-74.99999999999824,1
2.7141294901922466,-62.49999999999911,0
24.515437246073876,-50.00000000000001,0
46.63159785095691,-25.000000000001783,0
62.11121912149045,-62.49999999999911,0
16.70862091603072,-37.500000000000895,1
59.7656923986028,-50.00000000000001,0
3.608995139268009,-50.0,1
83.94939056617491,-20.0000000000017,0
83.94939056617491,-20.0000000000017,1
83.94939056617491,-10.000000000002274,0
100.0,-0.0,0
100.0,-30.000000000001133,1
48.37268506164109,-0.0,0
90.97026693738823,-20.0000000000017,1
60.409908302721284,-15.384615384614714,0
96.68050150455852,-38.461538461538964,0
54.67971582219765,-27.272727272725863,0
99.72813516405235,-27.272727272725863,0
99.72813516405235,-36.36363636363706,0
87.71818431464987,-54.54545454545431,0
61.85059786979043,-45.45454545454569,1
74.8558425022343,-45.45454545454569,0
74.8558425022343,-45.45454545454569,1
74.8558425022343,-36.36363636363706,1
88.80712605132376,-27.272727272725863,0
100.0,-40.000000000000576,0
84.38039864214826,-40.000000000000576,1
64.67527056395471,-57.14285714285889,0
64.67527056395471,-57.14285714285889,0
59.37525096117794,-71.42857142857258,0
4.7328939332397075,-66.66666666666825,1
91.20842341977463,-28.57142857142741,1
100.0,-16.66666666666588,0
100.0,-30.43478260869539,1
88.98375557720291,-30.000000000000192,0
97.33353953636237,-23.333333333333908,0
99.9887940515733,-33.333333333333336,1
100.0,-19.999999999999808,1
95.14327495117088,-30.000000000000192,0
87.29779602613846,-30.000000000000192,0
87.29779602613846,-33.333333333333336,0
87.31825139682074,-16.666666666667194,0
73.55320541789546,-23.07692307692375,1
84.7822423933027,-44.4444444444448,1
45.24559670624518,-14.285714285717187,1
100.0,-9.09090909090862,0
100.0,-27.272727272725863,1
88.89314561000013,-7.692307692307187,1
83.20548203416988,-21.052631578947604,0
83.20548203416988,-26.31578947368413,0
73.46664913090882,-36.84210526315718,0
46.57993017179693,-41.1764705882349,0
46.57993017179693,-50.00000000000089,1
12.782206237349241,-71.42857142857113,1
28.03718340851975,-61.53846153846187,1
28.03718340851975,-61.53846153846187,1
28.03718340851975,-69.99999999999885,0
41.98050090227376,-59.999999999999424,0
54.74475354537572,-80.00000000000115,1
19.791215705546048,-75.00000000000179,0
24.603018275446768,-87.50000000000091,0
65.86169952882888,-41.66666666666706,1
96.99007430814251,-24.999999999998817,0
100.0,-19.999999999998863,0
91.67590488561798,-9.999999999999432,0
99.07300654103969,-9.999999999999432,1
99.07300654103969,-9.09090909090862,0
100.0,-18.18181818181724,0
95.0612461296213,-39.999999999999616,0
100.0,-27.272727272725863,0
100.0,-27.272727272725863,1
100.0,-21.428571428572152,0
85.75895175068598,-21.428571428572152,0
84.34089184237841,-28.57142857142886,1
75.26046225985358,-28.57142857142886,1
75.26046225985358,-7.142857142856707,0
77.52234619578424,-27.272727272725863,1
89.02189991712179,-18.18181818181724,1
99.60371264094181,-0.0,1
90.92470966997251,-50.00000000000055,1
42.05776173905254,-50.00000000000055,0
42.05776173905257,-61.538461538461455,1
5.4375782736624965,-70.83333333333387,1
41.903373211795305,-68.18181818181765,0
11.12594936770667,-68.18181818181765,1
