sma50_current,macd_12_26_previous,class
243.18,-0.1337023578838057,1
243.182,0.0718227186549143,1
243.19,0.12682504136861894,0
243.2,0.1905253506889153,1
243.21,0.2345323651046556,1
243.226,0.2591456587062737,0
243.23999999999995,0.2908785881535607,0
243.25399999999996,0.3080925934912955,0
243.264,0.3199307683841539,0
243.264,0.3183861695091537,1
243.264,0.2775441674219508,1
243.278,0.20710927546488733,1
243.28,0.20165745529271814,0
243.276,0.0928637293278598,1
243.268,0.03902717971513425,1
243.266,-0.024329775267545983,1
243.272,-0.03149576330866921,1
243.28400000000002,-0.019570723288950376,1
243.29999999999995,-0.0021188470064146263,0
243.308,0.008904161459867055,1
243.318,0.010205171747799113,0
243.32799999999997,0.018729063130194845,1
243.342,0.028469605969064563,0
243.4,-0.004725512820897393,0
243.422,-0.07827023907455555,1
243.442,-0.07566565891602295,0
243.46599999999998,-0.06050809276126756,1
243.52000000000004,-0.02326748620757257,1
243.596,-0.03668713125549061,0
243.596,-0.03882043863879403,1
243.59600000000003,-0.022322784941934515,1
243.594,-0.02013872107414727,1
243.592,0.0015673193133807215,0
243.864,0.7797795650313049,1
243.898,0.7297572968053885,0
243.926,0.7196259668604057,0
244.12800000000004,0.19342405207081012,0
244.164,0.17764630974522788,1
244.22800000000004,0.08959585952706561,1
244.272,0.05700402546034411,1
244.4,0.0634161183641595,0
245.924,0.08094530992821093,0
245.93,-0.055702065088922836,0
245.98999999999995,-0.1979721459049415,0
246.002,-0.13178172017259726,0
246.05000000000004,-0.0909764807263116,1
246.108,0.03354662755606341,1
246.122,0.09849970845419877,0
246.13,0.15662089614417596,1
246.198,0.2551660048045505,1
246.214,0.20836379929249915,0
246.212,0.1938630133359993,1
246.21599999999998,0.160980668429346,0
243.768,0.12465988930847514,0
243.694,0.11920721728205308,1
243.67,0.09067777347249263,0
243.582,0.0621082347476829,0
243.55599999999998,0.06203469308994159,0
243.498,0.08435726888487237,0
243.466,0.06881273874401472,1
243.44000000000003,0.07276303079814284,0
243.288,-0.02625713168032462,1
243.25600000000003,-0.014632209954299926,0
243.25800000000004,-0.003013091751000729,1
243.26800000000003,0.007005956479360975,0
243.306,0.029581846751199237,0
243.32,0.04921625113934169,1
243.34,0.03825492998095115,0
243.356,0.05172719668613013,1
243.376,0.0484992841704468,0
243.39,0.0846987068671865,0
243.456,-0.07438483060266776,0
243.47599999999997,-0.037168028456505915,0
243.484,-0.004310280983958137,0
243.486,0.007219187602032663,0
243.488,0.002255794306421421,1
243.492,0.006299028708184551,0
243.498,0.016092245237274483,1
243.504,0.02404070627056853,1
243.51,0.04285771744895328,0
243.518,0.06943013003984788,0
243.52599999999998,0.07394393191543712,1
243.534,0.07814985831404897,0
243.54000000000005,0.07266457982714769,0
243.53600000000003,0.06406546134567748,0
243.548,0.045882300482332994,1
243.524,-0.07842963261808222,1
243.522,-0.05937556254858122,0
243.45,0.0005869406725196312,1
243.474,0.06274715405439224,0
243.504,0.15582042757469594,0
243.528,0.24538621995904464,1
243.616,0.4097479303741807,1
243.63,0.4436799919469081,0
243.644,0.4375541252802577,0
243.658,0.4230473103599763,0
243.50600000000003,-0.2480501683870955,0
243.51799999999997,0.03650554513575344,1
243.522,0.06635131947479067,1
243.52599999999998,0.07674353461939631,1
243.53800000000004,0.10421059682659006,0
243.548,0.17124704945547364,1
243.582,0.21491705052076784,1
243.69,0.3659322977125328,0
243.71599999999998,0.3793532015095025,0
243.73799999999997,0.3671659246579111,0
243.75799999999995,0.3402430245924961,0
243.79,0.3106636093045836,1
243.814,0.2654168359564437,1
243.814,0.19395503921435875,1
243.808,0.16493463663729813,1
243.8,0.13543830961705794,0
243.79999999999995,0.11386364032782124,0
243.794,0.09449580349021858,1
243.778,0.060957060129226186,0
243.76400000000004,0.031672475444622705,0
243.78600000000003,-0.28207550303474704,1
243.81600000000003,-0.19376704971193706,0
243.82599999999996,-0.13532989786270375,0
243.83,-0.09331999406211366,0
243.842,-0.04870552330271494,1
243.854,-0.010536825017112506,0
243.862,0.02780711649523937,0
243.51000000000005,-0.07599369002784329,0
243.484,0.00473563387691911,0
243.484,0.00473563387691911,1
243.43600000000004,0.1705511231326966,0
243.426,0.1896293242305376,0
243.414,0.20410365901540214,1
243.404,0.20584891528389448,1
243.406,0.21152674575094466,0
243.41599999999997,0.22721605576617776,1
243.426,0.23257107149584044,1
243.44200000000004,0.23418957531265505,1
243.56600000000003,0.4247405747289577,1
243.612,0.39997542284586973,0
243.624,0.3862044937837936,1
243.634,0.3424731753056278,1
243.662,0.28278152386968713,0
243.672,0.25111569541053314,1
