stochk_14_previous,wpr14_previous,class
51.515151515151786,-54.54545454545549,1
73.52207977208016,-12.500000000000892,1
75.04713423831045,-23.529411764705984,0
80.02450980392116,-5.8823529411760775,1
82.10784313725487,-12.499999999999332,1
85.60924369747927,-21.428571428572152,0
86.30952380952391,-7.142857142856707,0
88.09523809523813,-14.285714285713414,0
87.91208791208794,-15.384615384614374,0
89.92673992674055,-23.07692307692375,1
84.61538461538484,-46.15384615384532,1
65.59829059829039,-41.66666666666706,1
65.40404040404047,-50.000000000002366,0
61.11111111111219,-74.99999999999824,1
37.50000000000088,-50.00000000000001,1
37.50000000000088,-74.99999999999824,1
37.50000000000088,-62.49999999999911,1
33.333333333334515,-37.500000000000895,1
45.83333333333361,-24.99999999999823,0
62.500000000000284,-12.499999999999115,1
75.00000000000058,-37.500000000000895,0
75.00000000000058,-24.99999999999823,1
70.83333333333421,-24.99999999999823,0
16.6666666666659,-83.33333333333412,0
25.92592592592545,-77.77777777777601,1
31.48148148148163,-55.55555555555521,0
29.62962962962989,-44.4444444444448,1
80.95238095237848,-14.285714285717187,1
28.57142857143036,-57.14285714285656,0
33.333333333334735,-57.14285714285656,1
34.92063492063627,-33.333333333334906,1
42.06349206349282,-50.0,1
44.44444444444498,-16.666666666669823,0
52.97181372549016,-57.81250000000021,1
47.91666666666654,-59.375000000000135,0
44.27083333333314,-53.125000000000036,0
22.555018786902732,-59.2592592592593,0
32.555018786902735,-40.909090909091375,1
53.0303030303026,-55.555555555556076,1
59.44055944055873,-30.769230769231612,1
74.81146304675703,-11.76470588235235,0
42.222222222221696,-80.00000000000115,0
8.88888888888836,-80.00000000000115,0
38.88888888888905,-5.5555555555552045,0
54.761904761904546,-23.80952380952355,0
66.66666666666664,-38.095238095238216,1
65.07936507936472,-14.285714285714672,1
73.01587301587256,-14.285714285714672,0
79.36507936507894,-14.285714285714672,1
80.37741412354431,-14.285714285713414,1
73.01587301587355,-58.33333333333294,0
58.333333333333705,-50.0,1
49.99999999999997,-66.66666666666825,0
73.3333333333339,-29.999999999998288,0
73.08080808080898,-54.54545454545431,1
62.247474747475366,-74.99999999999824,0
41.666666666667254,-62.49999999999911,0
45.83333333333361,-50.00000000000001,0
49.99999999999999,-37.500000000000895,0
54.166666666666366,-62.49999999999911,1
50.0,-37.500000000000895,0
50.83333333333227,-60.00000000000227,1
46.6666666666659,-20.0000000000017,0
56.66666666666533,-20.0000000000017,1
66.66666666666477,-20.0000000000017,0
79.99999999999828,-10.000000000002274,0
83.33333333333142,-0.0,1
86.66666666666458,-30.000000000001133,0
83.33333333333144,-0.0,1
86.66666666666553,-20.0000000000017,0
79.74358974358908,-15.384615384614714,0
27.272727272726726,-63.63636363636294,0
36.3636363636362,-27.272727272725863,0
54.54545454545517,-27.272727272725863,0
66.66666666666752,-36.36363636363706,0
75.757575757577,-54.54545454545431,1
63.63636363636465,-45.45454545454569,0
48.48484848484856,-45.45454545454569,1
51.51515151515144,-45.45454545454569,1
48.48484848484856,-36.36363636363706,0
48.48484848484856,-27.272727272725863,0
56.666666666667226,-40.000000000000576,1
61.515151515151814,-40.000000000000576,0
57.61904761904742,-57.14285714285889,0
43.80952380952266,-57.14285714285889,0
40.47619047618873,-66.66666666666825,1
66.66666666666802,-42.857142857141106,1
66.66666666666802,-28.57142857142741,0
36.66666666666661,-0.0,1
42.31884057970973,-30.43478260869539,0
51.76328502415447,-30.000000000000192,0
71.20772946859908,-23.333333333333908,1
70.00000000000016,-13.333333333333526,1
72.22222222222223,-19.999999999999808,0
77.77777777777784,-30.000000000000192,0
79.99999999999993,-30.000000000000192,0
64.35185185185192,-22.2222222222224,0
72.96296296296242,-33.333333333333336,1
68.68945868945805,-23.07692307692375,1
66.83760683760579,-44.4444444444448,1
54.456654456653865,-14.285714285717187,0
54.68975468975446,-9.09090909090862,1
71.21212121212145,-16.66666666666785,1
81.82957393483719,-21.052631578947604,0
77.1929824561402,-21.052631578947604,0
78.94736842105239,-26.31578947368413,0
75.43859649122804,-36.84210526315718,0
68.73065015479894,-41.1764705882349,1
62.919246646027176,-50.00000000000089,1
40.91117216117235,-61.53846153846187,1
34.98168498168489,-61.53846153846187,1
35.89743589743573,-61.53846153846187,0
32.30769230769172,-69.99999999999885,0
32.82051282051257,-59.999999999999424,1
36.66666666666652,-80.00000000000115,0
38.33333333333298,-75.00000000000179,0
15.555555555555983,-66.66666666666667,1
34.444444444445004,-41.66666666666706,0
47.22222222222239,-24.999999999998817,0
62.777777777778084,-19.999999999998863,0
76.1111111111116,-9.999999999999432,1
83.33333333333431,-9.999999999999432,0
83.93939393939486,-9.09090909090862,0
57.777777777778866,-33.333333333333336,0
66.66666666666735,-13.333333333332574,0
66.66666666666735,-13.333333333332574,1
76.54012654012661,-7.142857142856707,0
80.21978021978012,-21.428571428572152,0
85.71428571428595,-21.428571428572152,1
85.71428571428595,-28.57142857142886,1
76.19047619047632,-28.57142857142886,0
73.80952380952398,-28.57142857142741,1
76.62337662337724,-27.272727272725863,1
80.08658008658112,-18.18181818181724,1
61.53846153846101,-30.76923076923127,1
64.10256410256358,-50.00000000000055,0
56.410256410255954,-50.00000000000055,1
48.71794871794831,-61.538461538461455,1
37.60683760683783,-50.000000000000604,0
37.37373737373759,-68.18181818181765,1
