cci20_previous,adi14_previous,class
-21.93861004597612,29.49350703497163,1
98.46214934662865,27.33001566438905,1
99.44153633195806,28.138500306321497,0
109.86786369240049,28.88923604525876,1
117.85839417655228,29.839196304385656,1
102.54540268262848,30.127138022428827,0
101.5148840559035,30.39451247489746,0
100.2514032848662,30.64278875218976,0
89.62036625169803,29.65413273155519,0
68.31116765052944,28.7360949981088,1
32.404516569699936,26.808864225706376,1
17.310135879888527,23.357547893495926,1
48.915501406250044,24.263916931273553,0
-16.972449761541213,23.099130809294962,1
-11.852478199791927,20.347613516425785,1
-30.68672425356317,17.624687130911788,1
-20.425177931153435,16.909175483037668,1
-5.560417832040456,16.711535284196447,1
22.40958172723565,17.33874074742248,0
35.295075132829474,18.274806785425405,1
21.399168773441684,18.52174525658243,0
12.854910300272394,18.167628804815713,1
17.648530028721336,17.838806385318048,0
-22.11970965669456,14.047811285716715,0
-44.81815314474896,12.590495292347144,1
-25.72284948559573,11.723718980900244,0
-2.3439712122770304,11.781263603796566,1
8.251245230768731,11.993563461893716,1
-21.24280038042813,10.348523684005812,0
-14.312606738079404,9.84139887985757,1
0.9751093585219838,9.479940862592802,1
10.273256892477988,9.669916171077272,1
19.401388098101425,9.846321814670004,0
151.9226115840708,36.52739609974017,1
108.8270309077913,36.066683634769795,0
128.3364314514768,35.901222962108825,0
27.99312385517817,30.784253475909622,0
40.903421667583906,30.407514357618858,1
-32.190404548676966,28.696111592936987,1
-40.56706791491077,27.828190657430497,1
51.90944694485402,27.777909474020287,0
-8.995491459682867,20.94931758949373,0
-16.855271087085068,21.726828807740823,0
7.21770126800119,20.850100747130746,0
25.74828855910637,21.022582531595226,0
1.570210856888903,18.96465301825261,1
24.008482703539052,17.64296552108821,1
35.7745350951466,18.029949940459744,0
25.988900499439648,17.774539048536305,1
49.044444732569396,19.521597386233346,1
9.0097089461724,17.83628053099605,0
14.074815463533866,16.85596897350981,1
2.074795549648184,16.43903175848917,0
1.6931903945987798,27.351905880629463,0
12.67003486075333,24.396514368889193,1
6.090511470373088,23.5180218814308,0
6.002632994934852,20.313481744341985,0
2.1022616972241503,18.921429054368943,0
10.32250636708142,18.333946911158463,0
0.20060782566124225,17.202181312156974,1
7.9331357560764895,16.527741506593383,0
-10.512683350294218,16.255569177702306,1
1.0140571852020823,15.199733703992365,0
10.155883880388977,14.799968119111641,1
8.239774257040409,14.428757218865249,0
9.782567757734258,14.084061382922178,0
14.788556684189846,14.132824171475516,1
2.145695416204102,13.345742014891947,0
9.924854323598376,12.614880012350055,1
9.226674290765313,11.936222438561153,0
18.167946716552493,12.060965966298456,0
-1.5567982264922733,10.508742724530194,0
9.666897424865118,10.551203324066408,0
20.297657338070763,11.592449135621335,0
13.134358230237774,12.559320246350902,0
0.8352073297805495,12.074671102857986,1
0.9410111478481138,11.62463975532885,0
1.5732571457343036,10.818716270723105,1
3.4680404310444994,10.894874503855435,1
5.687527252733164,10.965592863192592,0
11.818834156428812,11.471529205555143,0
10.147069082510924,11.941327237748899,1
11.967321798105953,12.816823244868123,0
9.443652168006508,13.62978382290741,0
12.859754283041301,15.187370909879633,0
0.2132241625619085,17.210901329108648,1
-4.000354626029926,14.66350116158429,1
3.2464791933174246,13.647362654291612,0
30.059927471407587,18.43783559312172,1
53.19638857036657,19.612686809556244,0
81.3145467002538,21.5913002090508,0
74.3504030470735,23.42858408001002,1
81.69973293605865,28.103873545614746,1
72.76839284692278,29.967589134721035,0
53.55319289403757,31.34619330779241,0
47.95776900458728,32.62632575421583,0
-5.7915725313419575,20.223506211936744,0
11.722195488176482,14.575185601099449,1
12.39264619035711,14.166002276412636,1
13.50377462865776,13.78604633206057,1
25.677465313541607,12.916829735310811,0
47.30146802286857,13.554546592099786,1
38.023243575150225,15.423272252521436,1
61.333038218453396,22.18564036177448,0
57.36154804477928,24.034625244078985,0
40.61701965325139,24.433777777973873,0
30.899287469173284,24.804419416590573,0
23.614745532899367,24.335039209540483,1
16.207691846396994,23.89918616013681,1
8.223205462261372,22.6391366890462,1
7.776476739407178,22.225102817930544,1
2.7058180499685762,21.3864821100137,0
10.713579423575938,21.278555190048625,0
9.712520242697996,21.17833733579531,1
0.6783551786306558,20.594244309146553,0
-8.94465644412215,19.582386587333122,0
-20.00836688860914,26.633500708305892,1
-3.3938866056316583,24.21716023652717,0
4.7521805719972035,22.662838967734423,0
10.300130872784028,21.31852480705852,0
11.893405724981433,20.07023308643088,1
13.609423164598494,18.85586140719128,0
21.45268599887544,17.7821959635366,0
12.383244020872727,29.25380614078433,0
22.634572329555308,26.561938597080665,0
22.634572329555308,26.561938597080665,1
49.93076117163393,22.64447630571141,0
41.92757825674757,22.225217024745675,0
34.02023926196701,21.40025334139247,1
17.073708397702525,20.250489922857888,1
19.24499833813184,19.182852462790052,0
36.18590817735621,18.491834369966604,1
29.4195555761516,18.068313226042694,1
35.2728580864134,17.981200619141127,1
93.41935005226318,24.98727059245132,1
38.33324415451012,25.77062932335507,0
38.25601746660492,26.14294611517559,1
21.18985839706248,26.186910541257912,1
26.090087134056763,25.845676933774147,0
20.7488672030532,26.037022757697486,1
