sma50_previous,sma100_current,class
243.188,243.29500000000004,1
243.18000000000004,243.296,1
243.182,243.302,0
243.19,243.308,1
243.2,243.312,1
243.21,243.31600000000003,0
243.226,243.318,0
243.23999999999995,243.32100000000003,0
243.25399999999996,243.323,0
243.264,243.32000000000005,1
243.264,243.31700000000004,1
243.266,243.31800000000004,1
243.28,243.321,0
243.278,243.318,1
243.272,243.321,1
243.266,243.324,1
243.266,243.32800000000003,1
243.272,243.33300000000003,1
243.28400000000002,243.341,0
243.29999999999995,243.34600000000003,1
243.308,243.34900000000002,0
243.318,243.353,1
243.32799999999997,243.357,0
243.38800000000003,243.366,0
243.41000000000003,243.372,1
243.422,243.375,0
243.442,243.377,1
243.50000000000003,243.378,1
243.598,243.38600000000002,0
243.596,243.38800000000003,1
243.596,243.389,1
243.59600000000003,243.392,1
243.594,243.396,0
243.83599999999998,243.568,1
243.864,243.59099999999995,0
243.898,243.61299999999997,0
244.086,243.75,0
244.12800000000004,243.76999999999995,1
244.19600000000003,243.81399999999996,1
244.22800000000004,243.838,1
244.362,243.921,0
245.93000000000004,245.595,0
245.924,245.641,0
245.972,245.68400000000003,0
245.98999999999995,245.689,0
246.03,245.715,1
246.088,245.768,1
246.108,245.786,0
246.122,245.801,1
246.188,245.87,1
246.20999999999995,245.893,0
246.214,245.90500000000003,1
246.212,245.915,0
243.8,244.886,0
243.72,244.799,1
243.694,244.766,0
243.61,244.67400000000006,0
243.582,244.6490000000001,0
243.53000000000003,244.59900000000005,0
243.498,244.57500000000005,1
243.466,244.548,0
243.308,244.396,1
243.264,244.365,0
243.25600000000003,244.344,1
243.25800000000004,244.317,0
243.26800000000003,244.292,0
243.306,244.267,1
243.32,244.247,0
243.34,244.223,1
243.356,244.201,0
243.376,244.176,0
243.434,243.892,0
243.456,243.866,0
243.47599999999997,243.84099999999998,0
243.484,243.815,0
243.486,243.791,1
243.488,243.769,0
243.496,243.743,1
243.498,243.72599999999997,1
243.504,243.711,0
243.51,243.69400000000002,0
243.518,243.681,1
243.52599999999998,243.667,0
243.534,243.654,0
243.54000000000005,243.643,0
243.54200000000003,243.62099999999995,1
243.52,243.406,1
243.524,243.393,0
243.44,243.42999999999995,1
243.45,243.44400000000002,0
243.474,243.457,0
243.504,243.47100000000003,1
243.588,243.525,1
243.616,243.543,0
243.63,243.56,0
243.644,243.571,0
243.506,243.529,0
243.508,243.51800000000003,1
243.51799999999997,243.51500000000004,1
243.522,243.51700000000002,1
243.52599999999998,243.52599999999998,0
243.53800000000004,243.53200000000004,1
243.56600000000003,243.552,1
243.66,243.589,0
243.69,243.59900000000002,0
243.71599999999998,243.604,0
243.73799999999997,243.611,0
243.75799999999995,243.614,1
243.79,243.618,1
243.81,243.63200000000003,1
243.814,243.641,1
243.808,243.65200000000004,0
243.8,243.664,0
243.79999999999995,243.67500000000004,1
243.794,243.683,0
243.778,243.69,0
243.762,243.66600000000003,1
243.80200000000005,243.66800000000003,0
243.81600000000003,243.67000000000004,0
243.82599999999996,243.67300000000003,0
243.83,243.676,1
243.842,243.68,0
243.854,243.68400000000003,0
243.532,243.65,0
243.5,243.647,0
243.5,243.647,1
243.45,243.618,0
243.43600000000004,243.61000000000004,0
243.426,243.59600000000003,1
243.414,243.584,1
243.404,243.578,0
243.408,243.56600000000003,1
243.41599999999997,243.569,1
243.426,243.576,1
243.53800000000004,243.646,1
243.59000000000003,243.687,0
243.612,243.705,1
243.624,243.718,1
243.65000000000003,243.74400000000009,0
243.662,243.7510000000001,1
