ema30_previous,wpr14_previous,class
242.9144385936486,-54.54545454545549,1
242.98529712205425,-12.500000000000892,1
243.01850375934106,-23.529411764705984,0
243.07295857572075,-5.8823529411760775,1
243.12591803017983,-12.499999999999332,1
243.16900913273852,-21.428571428572152,0
243.2222233899707,-7.142857142856707,0
243.2645439303941,-14.285714285713414,0
243.3041341133707,-15.384615384614374,0
243.33673633013032,-23.07692307692375,1
243.34586248731742,-46.15384615384532,1
243.36493252760067,-41.66666666666706,1
243.43955676419841,-50.000000000002366,0
243.48380094054627,-74.99999999999824,1
243.50802759313214,-50.00000000000001,1
243.51103901776986,-74.99999999999824,1
243.51638037919358,-62.49999999999911,1
243.53831606654,-37.500000000000895,1
243.56528816115448,-24.99999999999823,0
243.59898958557525,-12.499999999999115,1
243.61559564670355,-37.500000000000895,0
243.6385908879724,-24.99999999999823,1
243.6580847132489,-24.99999999999823,0
243.6249990209944,-83.33333333333412,0
243.564435182531,-77.77777777777601,1
243.5572512959214,-55.55555555555521,0
243.55900035080987,-44.4444444444448,1
243.57855783038582,-14.285714285717187,1
243.52979519327096,-57.14285714285656,0
243.5214213098341,-57.14285714285656,1
243.52850875478757,-33.333333333334906,1
243.52666948028502,-50.0,1
243.5378520944602,-16.666666666669823,0
244.4607540082531,-57.81250000000021,1
244.51612064941682,-59.375000000000135,0
244.59977525694646,-53.125000000000036,0
244.8740516610031,-59.2592592592593,0
244.9420744841278,-40.909090909091375,1
245.00309169998917,-55.555555555556076,1
245.03193827759642,-30.769230769231612,1
245.20260905760682,-11.76470588235235,0
246.30332334604032,-80.00000000000115,0
246.259489231279,-80.00000000000115,0
245.99252418047746,-5.5555555555552045,0
246.0123613301241,-23.80952380952355,0
245.9879062877316,-38.095238095238216,1
246.0276145239743,-14.285714285714672,1
246.06010885833803,-14.285714285714672,0
246.0925246360728,-14.285714285714672,1
246.22516331926442,-14.285714285713414,1
246.2415524759692,-58.33333333333294,0
246.25379274891387,-50.0,1
246.25234010102352,-66.66666666666825,0
243.21463646838947,-29.999999999998288,0
243.26448111036132,-54.54545454545431,1
243.28089761590496,-74.99999999999824,0
243.32648786616485,-62.49999999999911,0
243.34373575349878,-50.00000000000001,0
243.39638398539182,-37.500000000000895,0
243.39964405471613,-62.49999999999911,1
243.41761487483325,-37.500000000000895,0
243.42726740693783,-60.00000000000227,1
243.43847632196517,-20.0000000000017,0
243.4509150564587,-20.0000000000017,1
243.46154236593262,-20.0000000000017,0
243.47995350748016,-10.000000000002274,0
243.50463737236697,-0.0,1
243.50433818705292,-30.000000000001133,0
243.5274488468061,-0.0,1
243.5331384923867,-20.0000000000017,0
243.56286053286743,-15.384615384614714,0
243.45820252883306,-63.63636363636294,0
243.48328075664506,-27.272727272725863,0
243.50472318223603,-27.272727272725863,0
243.51833061262766,-36.36363636363706,0
243.518156918478,-54.54545454545431,1
243.52343711728585,-45.45454545454569,0
243.53293242687215,-45.45454545454569,1
243.5382682930937,-45.45454545454569,1
243.55374722686386,-36.36363636363706,0
243.5746791326489,-27.272727272725863,0
243.5878089799962,-40.000000000000576,1
243.5990828143981,-40.000000000000576,0
243.6066025265857,-57.14285714285889,0
243.6136370960516,-57.14285714285889,0
243.6109253068412,-66.66666666666825,1
243.44512963700657,-42.857142857141106,1
243.44564288236637,-28.57142857142741,0
243.3278241255824,-0.0,1
243.37421708908798,-30.43478260869539,0
243.45592857880862,-30.000000000000192,0
243.54728943736094,-23.333333333333908,1
243.77734837128372,-13.333333333333526,1
243.85644193397408,-19.999999999999808,0
243.9090599954189,-30.000000000000192,0
243.9582833432222,-30.000000000000192,0
243.4449527612511,-22.2222222222224,0
243.40234369508644,-33.333333333333336,1
243.396536989618,-23.07692307692375,1
243.38667114944485,-44.4444444444448,1
243.39881450583863,-14.285714285717187,0
243.4349719454776,-9.09090909090862,1
243.50059506736,-16.66666666666785,1
243.7787364802131,-21.052631578947604,0
243.84584618770188,-21.052631578947604,0
243.9001567717003,-26.31578947368413,0
243.93806022124718,-36.84210526315718,0
243.9815896951104,-41.1764705882349,1
244.00980564679938,-50.00000000000089,1
244.0487579907386,-61.53846153846187,1
244.06860479992088,-61.53846153846187,1
244.0861622437814,-61.53846153846187,0
244.10601178417218,-69.99999999999885,0
244.13607695205584,-59.999999999999424,1
244.1482724278233,-80.00000000000115,0
244.15867217268269,-75.00000000000179,0
243.76964794867558,-66.66666666666667,1
243.7511221222051,-41.66666666666706,0
243.75568251648,-24.999999999998817,0
243.74845244876752,-19.999999999998863,0
243.751167227999,-9.999999999999432,1
243.75370686018329,-9.999999999999432,0
243.7645521100725,-9.09090909090862,0
243.18844949648891,-33.333333333333336,0
243.19741807780457,-13.333333333332574,0
243.19741807780457,-13.333333333332574,1
243.2873798290107,-7.142857142856707,0
243.31198263316404,-21.428571428572152,0
243.33398923361042,-21.428571428572152,1
243.34812444047932,-28.57142857142886,1
243.36134769851824,-28.57142857142886,0
243.42990350741684,-28.57142857142741,1
243.46527694348882,-27.272727272725863,1
243.5048198352981,-18.18181818181724,1
243.8712557949692,-30.76923076923127,1
243.99727352745518,-50.00000000000055,0
244.0523019226453,-50.00000000000055,1
244.0793806299824,-61.538461538461455,1
244.15436452698864,-50.000000000000604,0
244.1833280151173,-68.18181818181765,1
