adi14_previous,wpr14_current,class
29.49350703497163,-22.222222222220818,1
27.33001566438905,-23.529411764705984,1
28.138500306321497,-5.8823529411760775,0
28.88923604525876,-12.499999999999332,1
29.839196304385656,-21.428571428572152,1
30.127138022428827,-7.142857142856707,0
30.39451247489746,-14.285714285713414,0
30.64278875218976,-15.384615384614374,0
29.65413273155519,-23.07692307692375,0
28.7360949981088,-46.15384615384532,1
26.808864225706376,-46.15384615384532,1
23.357547893495926,-0.0,1
24.263916931273553,-33.33333333333176,0
23.099130809294962,-62.49999999999911,1
20.347613516425785,-74.99999999999824,1
17.624687130911788,-62.49999999999911,1
16.909175483037668,-37.500000000000895,1
16.711535284196447,-24.99999999999823,1
17.33874074742248,-12.499999999999115,0
18.274806785425405,-37.500000000000895,1
18.52174525658243,-24.99999999999823,0
18.167628804815713,-24.99999999999823,1
17.838806385318048,-37.500000000000895,0
14.047811285716715,-66.66666666666825,0
12.590495292347144,-55.55555555555521,1
11.723718980900244,-44.4444444444448,0
11.781263603796566,-28.571428571430317,1
11.993563461893716,-14.285714285717187,1
10.348523684005812,-57.14285714285656,0
9.84139887985757,-33.333333333334906,1
9.479940862592802,-50.0,1
9.669916171077272,-16.666666666669823,1
9.846321814670004,-16.666666666669823,0
36.52739609974017,-59.375000000000135,1
36.066683634769795,-53.125000000000036,0
35.901222962108825,-56.24999999999986,0
30.784253475909622,-40.909090909091375,0
30.407514357618858,-54.54545454545431,1
28.696111592936987,-30.769230769231612,1
27.828190657430497,-15.384615384614714,1
27.777909474020287,-29.41176470588255,0
20.94931758949373,-93.33333333333373,0
21.726828807740823,-73.33333333333294,0
20.850100747130746,-23.80952380952355,0
21.022582531595226,-38.095238095238216,0
18.96465301825261,-33.33333333333378,1
17.64296552108821,-14.285714285714672,1
18.029949940459744,-14.285714285714672,0
17.774539048536305,-23.80952380952355,1
19.521597386233346,-50.0,1
17.83628053099605,-50.0,0
16.85596897350981,-66.66666666666825,1
16.43903175848917,-81.81818181818275,0
27.351905880629463,-19.999999999998863,0
24.396514368889193,-74.99999999999824,1
23.5180218814308,-62.49999999999911,0
20.313481744341985,-50.00000000000001,0
18.921429054368943,-25.000000000001783,0
18.333946911158463,-62.49999999999911,0
17.202181312156974,-37.500000000000895,1
16.527741506593383,-50.00000000000001,0
16.255569177702306,-50.0,1
15.199733703992365,-20.0000000000017,0
14.799968119111641,-20.0000000000017,1
14.428757218865249,-10.000000000002274,0
14.084061382922178,-0.0,0
14.132824171475516,-30.000000000001133,1
13.345742014891947,-0.0,0
12.614880012350055,-20.0000000000017,1
11.936222438561153,-15.384615384614714,0
12.060965966298456,-38.461538461538964,0
10.508742724530194,-27.272727272725863,0
10.551203324066408,-27.272727272725863,0
11.592449135621335,-36.36363636363706,0
12.559320246350902,-54.54545454545431,0
12.074671102857986,-45.45454545454569,1
11.62463975532885,-45.45454545454569,0
10.818716270723105,-45.45454545454569,1
10.894874503855435,-36.36363636363706,1
10.965592863192592,-27.272727272725863,0
11.471529205555143,-40.000000000000576,0
11.941327237748899,-40.000000000000576,1
12.816823244868123,-57.14285714285889,0
13.62978382290741,-57.14285714285889,0
15.187370909879633,-71.42857142857258,0
17.210901329108648,-66.66666666666825,1
14.66350116158429,-28.57142857142741,1
13.647362654291612,-16.66666666666588,0
18.43783559312172,-30.43478260869539,1
19.612686809556244,-30.000000000000192,0
21.5913002090508,-23.333333333333908,0
23.42858408001002,-33.333333333333336,1
28.103873545614746,-19.999999999999808,1
29.967589134721035,-30.000000000000192,0
31.34619330779241,-30.000000000000192,0
32.62632575421583,-33.333333333333336,0
20.223506211936744,-16.666666666667194,0
14.575185601099449,-23.07692307692375,1
14.166002276412636,-44.4444444444448,1
13.78604633206057,-14.285714285717187,1
12.916829735310811,-9.09090909090862,0
13.554546592099786,-27.272727272725863,1
15.423272252521436,-7.692307692307187,1
22.18564036177448,-21.052631578947604,0
24.034625244078985,-26.31578947368413,0
24.433777777973873,-36.84210526315718,0
24.804419416590573,-41.1764705882349,0
24.335039209540483,-50.00000000000089,1
23.89918616013681,-71.42857142857113,1
22.6391366890462,-61.53846153846187,1
22.225102817930544,-61.53846153846187,1
21.3864821100137,-69.99999999999885,0
21.278555190048625,-59.999999999999424,0
21.17833733579531,-80.00000000000115,1
20.594244309146553,-75.00000000000179,0
19.582386587333122,-87.50000000000091,0
26.633500708305892,-41.66666666666706,1
24.21716023652717,-24.999999999998817,0
22.662838967734423,-19.999999999998863,0
21.31852480705852,-9.999999999999432,0
20.07023308643088,-9.999999999999432,1
18.85586140719128,-9.09090909090862,0
17.7821959635366,-18.18181818181724,0
29.25380614078433,-39.999999999999616,0
26.561938597080665,-27.272727272725863,0
26.561938597080665,-27.272727272725863,1
22.64447630571141,-21.428571428572152,0
22.225217024745675,-21.428571428572152,0
21.40025334139247,-28.57142857142886,1
20.250489922857888,-28.57142857142886,1
19.182852462790052,-7.142857142856707,0
18.491834369966604,-27.272727272725863,1
18.068313226042694,-18.18181818181724,1
17.981200619141127,-0.0,1
24.98727059245132,-50.00000000000055,1
25.77062932335507,-50.00000000000055,0
26.14294611517559,-61.538461538461455,1
26.186910541257912,-70.83333333333387,1
25.845676933774147,-68.18181818181765,0
26.037022757697486,-68.18181818181765,1
