macd_12_26_current,macd_12_26_previous,class
-0.10579493543761488,-0.1337023578838057,1
0.12682504136861894,0.0718227186549143,1
0.1905253506889153,0.12682504136861894,0
0.2345323651046556,0.1905253506889153,1
0.2591456587062737,0.2345323651046556,1
0.2908785881535607,0.2591456587062737,0
0.3080925934912955,0.2908785881535607,0
0.3199307683841539,0.3080925934912955,0
0.3183861695091537,0.3199307683841539,0
0.2775441674219508,0.3183861695091537,1
0.2411417992104248,0.2775441674219508,1
0.22087050537811592,0.20710927546488733,1
0.18179074091452208,0.20165745529271814,0
0.05884000098657794,0.0928637293278598,1
0.0038309321667497898,0.03902717971513425,1
-0.03149576330866921,-0.024329775267545983,1
-0.019570723288950376,-0.03149576330866921,1
-0.0021188470064146263,-0.019570723288950376,1
0.008904161459867055,-0.0021188470064146263,0
0.010205171747799113,0.008904161459867055,1
0.018729063130194845,0.010205171747799113,0
0.028469605969064563,0.018729063130194845,1
0.034647093511495086,0.028469605969064563,0
-0.006461932966459472,-0.004725512820897393,0
-0.07566565891602295,-0.07827023907455555,1
-0.06050809276126756,-0.07566565891602295,0
-0.05105932405547264,-0.06050809276126756,1
-0.007833523616511684,-0.02326748620757257,1
-0.03882043863879403,-0.03668713125549061,0
-0.022322784941934515,-0.03882043863879403,1
-0.02013872107414727,-0.022322784941934515,1
0.0015673193133807215,-0.02013872107414727,1
0.016516134571872954,0.0015673193133807215,0
0.7297572968053885,0.7797795650313049,1
0.7196259668604057,0.7297572968053885,0
0.6831804288678427,0.7196259668604057,0
0.17764630974522788,0.19342405207081012,0
0.13550047501192353,0.17764630974522788,1
0.05700402546034411,0.08959585952706561,1
0.03904333561837348,0.05700402546034411,1
0.05823667083575401,0.0634161183641595,0
0.02902046610179809,0.08094530992821093,0
-0.047556664614631934,-0.055702065088922836,0
-0.13178172017259726,-0.1979721459049415,0
-0.108985576023656,-0.13178172017259726,0
-0.06542863854653548,-0.0909764807263116,1
0.09849970845419877,0.03354662755606341,1
0.15662089614417596,0.09849970845419877,0
0.1805880157879756,0.15662089614417596,1
0.23289430089923255,0.2551660048045505,1
0.1938630133359993,0.20836379929249915,0
0.160980668429346,0.1938630133359993,1
0.12336692143031767,0.160980668429346,0
0.12625613980199546,0.12465988930847514,0
0.09067777347249263,0.11920721728205308,1
0.07783405358983941,0.09067777347249263,0
0.06203469308994159,0.0621082347476829,0
0.08024242127106618,0.06203469308994159,0
0.06881273874401472,0.08435726888487237,0
0.07276303079814284,0.06881273874401472,1
0.0605666422619322,0.07276303079814284,0
-0.03411377132721327,-0.02625713168032462,1
-0.003013091751000729,-0.014632209954299926,0
0.007005956479360975,-0.003013091751000729,1
0.029581846751199237,0.007005956479360975,0
0.04921625113934169,0.029581846751199237,0
0.03825492998095115,0.04921625113934169,1
0.05172719668613013,0.03825492998095115,0
0.0484992841704468,0.05172719668613013,1
0.0846987068671865,0.0484992841704468,0
0.07733058353642264,0.0846987068671865,0
-0.037168028456505915,-0.07438483060266776,0
-0.004310280983958137,-0.037168028456505915,0
0.007219187602032663,-0.004310280983958137,0
0.002255794306421421,0.007219187602032663,0
0.006299028708184551,0.002255794306421421,1
0.010017843220509805,0.006299028708184551,0
0.02404070627056853,0.016092245237274483,1
0.04285771744895328,0.02404070627056853,1
0.06943013003984788,0.04285771744895328,0
0.07394393191543712,0.06943013003984788,0
0.07814985831404897,0.07394393191543712,1
0.07266457982714769,0.07814985831404897,0
0.06406546134567748,0.07266457982714769,0
0.05271949072155735,0.06406546134567748,0
0.041259209393615486,0.045882300482332994,1
-0.05937556254858122,-0.07842963261808222,1
-0.041197294957640906,-0.05937556254858122,0
0.06274715405439224,0.0005869406725196312,1
0.15582042757469594,0.06274715405439224,0
0.24538621995904464,0.15582042757469594,0
0.2935329607160213,0.24538621995904464,1
0.4436799919469081,0.4097479303741807,1
0.4375541252802577,0.4436799919469081,0
0.4230473103599763,0.4375541252802577,0
0.4161843280544133,0.4230473103599763,0
-0.1874557933959977,-0.2480501683870955,0
0.06635131947479067,0.03650554513575344,1
0.07674353461939631,0.06635131947479067,1
0.10421059682659006,0.07674353461939631,1
0.17124704945547364,0.10421059682659006,0
0.1948408172316931,0.17124704945547364,1
0.252936323649692,0.21491705052076784,1
0.3793532015095025,0.3659322977125328,0
