price_current,uosc_current,class
242.9,21.73981761800549,1
243.5,25.79184034575511,1
243.8,27.410741074107047,0
243.8,25.458241947805533,1
243.7,22.059716360914866,1
243.9,22.53823196687541,0
243.8,17.008123195731017,0
243.8,18.001621612297242,0
243.7,21.294207393056475,0
243.4,18.823053158624145,1
243.4,18.40018779047218,1
244.0,24.898530091291583,1
243.8,20.041599065123695,0
243.5,22.632547091945906,1
243.4,15.68505663134856,1
243.5,17.598505696236007,1
243.7,25.244667205092536,1
243.8,25.249840853002485,1
243.9,24.48608887900327,0
243.7,20.68233353947642,1
243.8,23.03139518331161,0
243.8,25.313688402191204,1
243.7,27.7983641514426,0
243.6,32.136985555576594,0
243.5,31.831787260358386,1
243.6,33.67464714709917,0
243.6,30.50520907663741,1
243.7,27.385426892815772,1
243.4,38.083953960731904,0
243.6,45.29616724738735,1
243.5,38.155061019383176,1
243.7,41.79587880618865,1
243.7,42.747729538901595,0
245.1,11.016211916399515,1
245.5,10.700751923449292,0
245.3,11.397583103340258,0
245.6,25.58364296705452,0
245.3,26.44745501293643,1
245.2,20.504068649828078,1
245.4,20.10329201522816,1
245.5,16.042671807504803,0
246.0,18.091746962714303,0
246.3,13.347815385319764,0
246.3,25.024668661996568,0
246.0,22.66507885341846,0
246.1,19.125336279995143,1
246.5,18.533360537814385,1
246.5,23.974840469084764,0
246.3,26.17734288287027,1
246.4,21.78115975099018,1
246.4,21.20493225785105,0
246.2,22.597534560382535,1
246.1,17.862198395321165,0
243.4,42.98227227399214,0
243.3,40.04091994637346,1
243.4,38.65157398992244,0
243.5,29.467876039305487,0
243.7,25.602943840185226,0
243.4,31.432506261682025,0
243.6,33.68136187095412,1
243.5,33.28713458506989,0
243.3,30.263857267044934,1
243.6,35.26533304614739,0
243.6,35.51621465746649,1
243.7,35.2383180954608,0
243.8,30.00099267330749,0
243.5,33.81157340985156,1
243.8,41.478646253021104,0
243.6,35.67655987503232,1
243.9,42.090403875300176,0
243.6,44.50969795231997,0
243.8,24.090984102535906,0
243.8,23.367220712535282,0
243.7,22.030616651112343,0
243.5,20.930118181710338,0
243.6,23.598901098901,1
243.6,20.58849779661936,0
243.6,19.07207006191723,1
243.7,23.222917307625213,1
243.8,30.54741988643785,0
243.7,35.26624442880442,0
243.7,35.5825206580791,1
243.7,38.38355303274524,0
243.7,40.77758625813279,0
243.6,37.97508151814147,0
243.6,39.402789901124265,1
243.5,23.64773866535798,1
243.5,26.14139814600563,0
244.0,40.707841220730856,1
244.5,38.199920714206435,0
244.7,34.934560388860234,0
244.4,31.093998491570744,1
244.8,22.414338104076982,1
244.5,21.35090829231859,0
244.5,19.118047448054604,0
244.4,19.248889408464443,0
243.5,19.21139380253013,0
243.5,46.43433231459743,1
243.4,56.2979917565609,1
243.7,56.73128261177804,1
244.1,56.45098948670705,0
243.9,43.778893660313855,1
244.3,27.796629444037556,1
244.6,21.582156528700303,0
244.5,24.40108987600564,0
244.3,21.897842594564352,0
244.3,23.470062016355136,0
244.2,22.459849038908096,1
244.0,17.539360562863887,1
244.2,21.363808605188233,1
244.2,21.907519585081612,1
244.3,22.359463608892398,0
244.4,21.19047920468336,0
244.2,22.151191698592022,1
244.2,28.53547406734099,0
244.1,26.705413759481825,0
243.7,32.89703926646609,1
243.9,36.99339763163145,0
243.8,30.552163548508094,0
243.9,27.50345713227412,0
243.9,25.68820737495389,1
244.0,25.71765347360269,0
243.9,23.572125142941925,0
243.1,31.488374427887784,0
243.4,28.90510468289171,0
243.4,28.90510468289171,1
243.7,20.766228061634067,0
243.7,21.60682454800091,0
243.6,20.9438278518816,1
243.6,22.39925482890425,1
243.9,30.2793265847447,0
243.9,27.290729283839113,1
244.0,31.71212972033501,1
244.2,33.113674577969014,1
244.6,25.780138262747503,1
244.6,23.77513642819716,0
244.3,21.334289747762075,1
244.2,18.502682733675357,1
244.4,17.408876232405245,0
244.4,19.015269484327774,1
