ema20_current,wpr14_current,class
242.80804232857471,-22.222222222220818,1
243.02817124666146,-23.529411764705984,1
243.10911759592483,-5.8823529411760775,0
243.18830584822425,-12.499999999999332,1
243.24745301310742,-21.428571428572152,1
243.32299027329418,-7.142857142856707,0
243.3803219293884,-14.285714285713414,0
243.43368119754837,-15.384615384614374,0
243.47541036069975,-23.07692307692375,0
243.4831061194764,-46.15384615384532,1
243.48560563947842,-46.15384615384532,1
243.56325338078815,-0.0,1
243.62606399778667,-33.33333333333176,0
243.6218565579633,-62.49999999999911,1
243.60543272522187,-74.99999999999824,1
243.57499767236592,-62.49999999999911,1
243.58541488616103,-37.500000000000895,1
243.60585156366957,-24.99999999999823,1
243.6368412400411,-12.499999999999115,0
243.63988082045898,-37.500000000000895,1
243.65513026612962,-24.99999999999823,0
243.668927383641,-24.99999999999823,1
243.67188668043715,-37.500000000000895,0
243.6073040003257,-66.66666666666825,0
243.53263329922112,-55.55555555555521,1
243.5390491754857,-44.4444444444448,0
243.54782955549385,-28.571428571430317,1
243.5846293632221,-14.285714285717187,1
243.4824772213984,-57.14285714285656,0
243.49515763676848,-33.333333333334906,1
243.49561881421917,-50.0,1
243.51805922863358,-16.666666666669823,1
243.53836246072282,-16.666666666669823,0
244.865743807797,-59.375000000000135,1
244.9529290156389,-53.125000000000036,0
245.0112754815163,-56.24999999999986,0
245.25567103400329,-40.909090909091375,0
245.29113600585944,-54.54545454545431,1
245.30821094057927,-30.769230769231612,1
245.30505059744948,-15.384615384614714,1
245.3517326454736,-29.41176470588255,0
246.35668006786668,-93.33333333333373,0
246.28226323745014,-73.33333333333294,0
245.91805783334868,-23.80952380952355,0
245.91544746069675,-38.095238095238216,0
245.90982252579633,-33.33333333333378,1
246.04466204697792,-14.285714285714672,1
246.09546641525884,-14.285714285714672,0
246.11643357407087,-23.80952380952355,1
246.32685978092744,-50.0,1
246.3559530000833,-50.0,0
246.35597803129951,-66.66666666666825,1
246.34647686906655,-81.81818181818275,0
243.3005158945725,-19.999999999998863,0
243.3510051490398,-74.99999999999824,1
243.360134634689,-62.49999999999911,0
243.41386236904182,-50.00000000000001,0
243.45450350009202,-25.000000000001783,0
243.46588803621484,-62.49999999999911,0
243.4801483739834,-37.500000000000895,1
243.4835267748217,-50.00000000000001,0
243.41758119532898,-50.0,1
243.4576868138441,-20.0000000000017,0
243.46826491104267,-20.0000000000017,1
243.4962859986712,-10.000000000002274,0
243.53264999060036,-0.0,0
243.53102823747517,-30.000000000001133,1
243.561107905178,-0.0,0
243.56778745378688,-20.0000000000017,1
243.6053778230587,-15.384615384614714,0
243.60337787964505,-38.461538461538964,0
243.47725870881715,-27.272727272725863,0
243.51543482358952,-27.272727272725863,0
243.53450022922726,-36.36363636363706,0
243.52972672332132,-54.54545454545431,0
243.53641941633828,-45.45454545454569,1
243.54098694023128,-45.45454545454569,0
243.55048787212868,-45.45454545454569,1
243.56323935261327,-36.36363636363706,1
243.5887635252758,-27.272727272725863,0
243.5963819356714,-40.000000000000576,0
243.60773809253936,-40.000000000000576,1
243.61950048044707,-57.14285714285889,0
243.63014264093502,-57.14285714285889,0
243.63173522259427,-71.42857142857258,0
243.6373136549837,-66.66666666666825,1
243.3992271261044,-28.57142857142741,1
243.4058490030877,-16.66666666666588,0
243.3799187624617,-30.43478260869539,1
243.50593417329483,-30.000000000000192,0
243.64494681463356,-23.333333333333908,0
243.73470987928033,-33.333333333333336,1
244.05805512794174,-19.999999999999808,1
244.11651058343682,-30.000000000000192,0
244.16791108290508,-30.000000000000192,0
244.20340471739672,-33.333333333333336,0
243.30443871360828,-16.666666666667194,0
243.30165569150776,-23.07692307692375,1
243.3139973557042,-44.4444444444448,1
243.35671059146011,-14.285714285717187,1
243.4423777568309,-9.09090909090862,0
243.50976514423428,-27.272727272725863,1
243.70404274295217,-7.692307692307187,1
244.06405391858522,-21.052631578947604,0
244.12193806068558,-26.31578947368413,0
244.15079849893291,-36.84210526315718,0
244.179885863592,-41.1764705882349,0
244.19370365394352,-50.00000000000089,1
244.18567007542484,-71.42857142857113,1
244.21079869360514,-61.53846153846187,1
244.22316017469691,-61.53846153846187,1
244.24238041160982,-69.99999999999885,0
244.27226949887117,-59.999999999999424,0
244.27282553840038,-80.00000000000115,1
244.26737754262746,-75.00000000000179,0
244.25441236386013,-87.50000000000091,0
243.60600040182243,-41.66666666666706,1
243.6309064056638,-24.999999999998817,0
243.64105947834895,-19.999999999998863,0
243.6597694012546,-9.999999999999432,0
243.67520965695155,-9.999999999999432,1
243.7031665309972,-9.09090909090862,0
243.71744926629685,-18.18181818181724,0
243.0698260548477,-39.999999999999616,0
243.1383383351474,-27.272727272725863,0
243.1383383351474,-27.272727272725863,1
243.35168511790573,-21.428571428572152,0
243.3982478919212,-21.428571428572152,0
243.4323400762957,-28.57142857142886,1
243.45723430681159,-28.57142857142886,1
243.51279239616932,-7.142857142856707,0
243.5914204416193,-27.272727272725863,1
243.6481860179817,-18.18181818181724,1
243.71710519823483,-0.0,1
244.18370312764912,-50.00000000000055,1
244.3003834654829,-50.00000000000055,0
244.3122491032734,-61.538461538461455,1
244.3134608707981,-70.83333333333387,1
244.38292331426982,-68.18181818181765,0
244.39198851423717,-68.18181818181765,1
