sma200_current,uosc_previous,class
243.0855,21.379885046451914,1
243.1065,28.3890230229244,1
243.112,25.79184034575511,0
243.1185,27.410741074107047,1
243.1245,25.458241947805533,1
243.1325,22.059716360914866,0
243.139,22.53823196687541,0
243.1455,17.008123195731017,0
243.152,18.001621612297242,0
243.157,21.294207393056475,1
243.1625,18.823053158624145,1
243.178,19.400939442852376,1
243.192,22.734051092864657,0
243.209,19.806918388699184,1
243.2205,23.976680400614004,1
243.231,16.410981582396726,1
243.238,17.598505696236007,1
243.2445,25.244667205092536,1
243.249,25.249840853002485,0
243.253,24.48608887900327,1
243.2575,20.68233353947642,0
243.2625,23.03139518331161,1
243.267,25.313688402191204,0
243.289,26.07199817726034,0
243.297,23.841362363563217,1
243.301,31.831787260358386,0
243.306,33.67464714709917,1
243.3225,25.12902520365177,1
243.3475,34.5283789301762,0
243.3505,38.083953960731904,1
243.354,45.29616724738735,1
243.358,38.155061019383176,1
243.3635,41.79587880618865,0
243.5275,16.78437534159132,1
243.5395,11.016211916399515,0
243.5515,10.700751923449292,0
243.5955,25.46232298297667,0
243.598,25.58364296705452,1
243.6045,25.773341714390234,1
243.6125,20.504068649828078,1
243.643,18.12724943793112,0
244.593,26.85638496189079,0
244.6505,10.411822660098213,0
244.78800000000004,27.989222883602626,0
244.805,25.024668661996568,0
244.8545,18.11371851699863,1
244.909,17.01057028925865,1
244.928,18.533360537814385,0
244.946,23.974840469084764,1
245.0145,30.05736330544499,1
245.0415,24.4884357996983,0
245.0535,21.20493225785105,1
245.0655,22.597534560382535,0
245.2155,33.06260287190153,0
245.17050000000003,54.05018125867856,1
245.158,40.04091994637346,0
245.1265,31.2064848112204,0
245.1195,29.467876039305487,0
245.10050000000004,28.43357734007535,0
245.094,31.432506261682025,1
245.0875,33.68136187095412,0
245.0315,34.19879062736174,1
245.016,37.75182677789487,0
245.007,35.26533304614739,1
244.998,35.51621465746649,0
244.98800000000003,35.2383180954608,0
244.978,30.00099267330749,1
244.971,33.81157340985156,0
244.963,41.478646253021104,1
244.958,35.67655987503232,0
244.9515,42.090403875300176,0
244.8865,19.91795366795364,0
244.8795,24.090984102535906,0
244.873,23.367220712535282,0
244.865,22.030616651112343,0
244.859,20.930118181710338,1
244.8535,23.598901098901,0
244.841,22.619047619047183,1
244.833,19.07207006191723,1
244.824,23.222917307625213,0
244.815,30.54741988643785,0
244.807,35.26624442880442,1
244.7985,35.5825206580791,0
244.789,38.38355303274524,0
244.779,40.77758625813279,0
244.75800000000004,34.37470350558354,1
244.566,24.869169266583878,1
244.556,23.64773866535798,0
244.4475,45.57283897040844,1
244.44100000000003,40.707841220730856,0
244.435,38.199920714206435,0
244.428,34.934560388860234,1
244.412,30.68327462737411,1
244.406,22.414338104076982,0
244.3975,21.35090829231859,0
244.388,19.118047448054604,0
244.13,17.842639591114217,0
244.033,34.670474419431535,1
244.0185,46.43433231459743,1
244.00600000000003,56.2979917565609,1
243.996,56.73128261177804,0
243.9865,56.45098948670705,1
243.966,34.2869896061393,1
243.9405,22.53983931420083,0
243.933,21.582156528700303,0
243.92550000000003,24.40108987600564,0
243.917,21.897842594564352,0
243.9075,23.470062016355136,1
243.897,22.459849038908096,1
243.874,19.436342599255358,1
243.8625,21.363808605188233,1
243.8525,21.907519585081612,0
243.841,22.359463608892398,0
243.82800000000003,21.19047920468336,1
243.815,22.151191698592022,0
243.8035,28.53547406734099,0
243.6735,26.59404670959333,1
243.661,36.42787091953472,0
243.6565,36.99339763163145,0
243.652,30.552163548508094,0
243.6485,27.50345713227412,1
243.6455,25.68820737495389,0
243.6405,25.71765347360269,0
243.5285,34.00538772919588,0
243.534,33.481268901568875,0
243.534,33.481268901568875,1
243.5445,23.72247823860724,0
243.5475,20.766228061634067,0
243.5505,21.60682454800091,1
243.5545,20.9438278518816,1
243.5605,22.39925482890425,0
243.5685,25.296009491734647,1
243.5715,27.290729283839113,1
243.575,31.71212972033501,1
243.6035,27.759254094145373,1
243.61550000000003,24.262813752372452,0
243.6205,23.77513642819716,1
243.625,21.334289747762075,1
243.6345,17.643596875088612,0
243.64,17.408876232405245,1
