sma20_current,stochk_14_previous,class
242.86999999999995,51.515151515151786,1
242.94,73.52207977208016,1
242.965,75.04713423831045,0
243.01000000000005,80.02450980392116,1
243.045,82.10784313725487,1
243.09,85.60924369747927,0
243.13,86.30952380952391,0
243.175,88.09523809523813,0
243.23,87.91208791208794,0
243.28,89.92673992674055,1
243.315,84.61538461538484,1
243.40999999999997,65.59829059829039,1
243.51,65.40404040404047,0
243.62,61.11111111111219,1
243.645,37.50000000000088,1
243.635,37.50000000000088,1
243.63,37.50000000000088,1
243.63,33.333333333334515,1
243.64,45.83333333333361,0
243.63,62.500000000000284,1
243.63,75.00000000000058,0
243.63,75.00000000000058,1
243.63,70.83333333333421,0
243.605,16.6666666666659,0
243.58,25.92592592592545,1
243.58,31.48148148148163,0
243.5900000000001,29.62962962962989,1
243.61,80.95238095237848,1
243.49499999999995,28.57142857143036,0
243.49999999999997,33.333333333334735,1
243.5,34.92063492063627,1
243.51,42.06349206349282,1
243.52,44.44444444444498,0
244.305,52.97181372549016,1
244.39500000000004,47.91666666666654,0
244.48,44.27083333333314,0
245.21,22.555018786902732,0
245.315,32.555018786902735,1
245.4650000000001,53.0303030303026,1
245.425,59.44055944055873,1
245.31,74.81146304675703,0
246.345,42.222222222221696,0
246.335,8.88888888888836,0
246.04,38.88888888888905,0
246.005,54.761904761904546,0
245.92,66.66666666666664,1
245.965,65.07936507936472,1
245.99,73.01587301587256,0
245.99500000000003,79.36507936507894,1
246.11,80.37741412354431,1
246.195,73.01587301587355,0
246.245,58.333333333333705,1
246.295,49.99999999999997,0
243.23,73.3333333333339,0
243.27500000000003,73.08080808080898,1
243.29,62.247474747475366,0
243.385,41.666666666667254,0
243.43,45.83333333333361,0
243.445,49.99999999999999,0
243.45,54.166666666666366,1
243.455,50.0,0
243.445,50.83333333333227,1
243.47000000000003,46.6666666666659,0
243.46000000000004,56.66666666666533,1
243.48,66.66666666666477,0
243.505,79.99999999999828,0
243.51,83.33333333333142,1
243.525,86.66666666666458,0
243.53500000000003,83.33333333333144,1
243.555,86.66666666666553,0
243.55,79.74358974358908,0
243.52,27.272727272726726,0
243.545,36.3636363636362,0
243.55,54.54545454545517,0
243.545,66.66666666666752,0
243.545,75.757575757577,1
243.54000000000005,63.63636363636465,0
243.53500000000008,48.48484848484856,1
243.53000000000003,51.51515151515144,1
243.54000000000005,48.48484848484856,0
243.53000000000003,48.48484848484856,0
243.535,56.666666666667226,1
243.545,61.515151515151814,0
243.555,57.61904761904742,0
243.57,43.80952380952266,0
243.61000000000004,40.47619047618873,1
243.44,66.66666666666802,1
243.43,66.66666666666802,0
243.335,36.66666666666661,1
243.4,42.31884057970973,0
243.485,51.76328502415447,0
243.545,71.20772946859908,1
243.74,70.00000000000016,1
243.795,72.22222222222223,0
243.84500000000003,77.77777777777784,0
243.89,79.99999999999993,0
243.435,64.35185185185192,0
243.205,72.96296296296242,1
243.215,68.68945868945805,1
243.235,66.83760683760579,1
243.285,54.456654456653865,0
243.36499999999995,54.68975468975446,1
243.56,71.21212121212145,1
243.805,81.82957393483719,0
243.86000000000004,77.1929824561402,0
243.90000000000003,78.94736842105239,0
243.95000000000005,75.43859649122804,0
243.99,68.73065015479894,1
244.025,62.919246646027176,1
244.105,40.91117216117235,1
244.14999999999995,34.98168498168489,1
244.19,35.89743589743573,0
244.23999999999995,32.30769230769172,0
244.265,32.82051282051257,1
244.27,36.66666666666652,0
244.28,38.33333333333298,0
243.775,15.555555555555983,1
243.735,34.444444444445004,0
243.715,47.22222222222239,0
243.695,62.777777777778084,0
243.67,76.1111111111116,1
243.66,83.33333333333431,0
243.64499999999992,83.93939393939486,0
243.08,57.777777777778866,0
243.08,66.66666666666735,0
243.08,66.66666666666735,1
243.19499999999996,76.54012654012661,0
243.23999999999995,80.21978021978012,0
243.29,85.71428571428595,1
243.32,85.71428571428595,1
243.365,76.19047619047632,0
243.425,73.80952380952398,1
243.485,76.62337662337724,1
243.54,80.08658008658112,1
243.90000000000003,61.53846153846101,1
244.04500000000007,64.10256410256358,0
244.08500000000004,56.410256410255954,1
244.12500000000009,48.71794871794831,1
244.225,37.60683760683783,0
244.24999999999997,37.37373737373759,1
