ema10_previous,ema100_previous,class
242.71412565586436,243.196788730931,1
243.10379487591626,243.1984617360954,1
243.19277496110772,243.2059823509734,0
243.33424129512343,243.21960454887298,1
243.44716267918275,243.23295700028004,1
243.52137108432208,243.24344502462958,0
243.62409828516158,243.2576857613686,0
243.6871421966221,243.26904448124196,0
243.7330759820916,243.28048818799888,0
243.74682875538662,243.28941517665172,1
243.68094518336272,243.29067523904556,1
243.60163179988075,243.29510120075506,1
243.68057527488227,243.31832599968052,0
243.61577470198813,243.33423429927083,1
243.58592895177216,243.34333429981152,1
243.52446483548383,243.3461699534798,1
243.5200166835776,243.3498359170736,1
243.5442695279754,243.3580095074276,1
243.5935897757516,243.36831135455623,0
243.65212452393232,243.38131913882043,1
243.66365295426186,243.38917921106997,0
243.69973851948325,243.3982440122856,1
243.72643927452896,243.40743922451642,0
243.59084244749508,243.4280617262874,0
243.4495929163659,243.4261872955911,1
243.45028644571119,243.42857866939048,0
243.47468329362832,243.43290288727312,1
243.55561245998678,243.44520989795586,1
243.47623816563598,243.4523268108566,0
243.45672908434034,243.45160054841358,1
243.48277834173297,243.4551589754741,1
243.48026195569247,243.4563568285833,1
243.52021432738465,243.4621111819273,0
245.53321954948075,243.79891034944708,1
245.50810452669404,243.82994300544357,0
245.5659307410485,243.8701414176561,0
245.12991604518257,244.06698771434986,0
245.22668104841838,244.10478228197974,1
245.2078806496128,244.1605821420248,1
245.2036240059114,244.18798273851326,1
245.4310849109149,244.29215725348308,0
246.41865419052056,245.8291511277565,0
246.1997872983417,245.8574713615745,0
245.7362154839397,245.85604198450312,0
245.83872175958703,245.86638279248183,0
245.87685030515075,245.87607307843425,1
246.11325995708577,245.9107613532351,1
246.2231095049664,245.92862768583853,0
246.29604361787418,245.94552040561916,1
246.56493715452262,246.02046517632968,1
246.50711977555991,246.04163667268475,0
246.49611484768258,246.05245192054863,1
246.4338043895158,246.0590926090496,0
243.3711712438205,244.254322216065,0
243.42963990254498,244.18481345280463,1
243.40324521285584,244.15737520939186,0
243.41424973454428,244.0854531053185,0
243.4354882885344,244.06549234972576,0
243.52246127515772,244.03414825579983,0
243.50019558876545,244.01353315183098,1
243.512694248719,243.9979064878408,0
243.39151836631362,243.88286031894748,1
243.40656829370056,243.85491179066432,0
243.4473852914805,243.845215351992,1
243.4751334203021,243.83385144982952,0
243.52166584960904,243.82283330127632,0
243.57509585708831,243.8146333559607,1
243.5614420648904,243.8006551917408,0
243.6217590248139,243.79444397705845,1
243.6262742334359,243.78315571256888,0
243.69580914285018,243.7786513961876,0
243.34542740393653,243.62661089167355,0
243.4252531685399,243.62229653862755,0
243.49903655271262,243.61775770628597,0
243.54122295794483,243.61163846582176,0
243.53372787468217,243.6013700903672,1
243.55424874696445,243.59390507115882,0
243.5899098431678,243.58436189078486,1
243.6058634087236,243.57971296384312,1
243.63145054754384,243.57682638085092,0
243.67339109580487,243.57659697999665,0
243.67540528006856,243.5737720996549,1
243.6770532490116,243.57224280565552,0
243.6812253855549,243.570433882676,0
243.69028654845218,243.5689706919833,0
243.66043975557545,243.56312693721958,1
243.3488013138351,243.45556562196705,1
243.37911578236424,243.45396621440563,0
243.31544699070977,243.42345827477791,1
243.45403016580346,243.43766415086878,0
243.68373967573535,243.4630392727289,0
243.90804745658886,243.49156240093876,1
244.35995771947742,243.57290930380054,1
244.48232238160404,243.60340637005638,0
244.5391886620677,243.62673911589187,0
244.58006802217602,243.64929991512696,0
243.21175779073772,243.51850261103328,0
243.3753495895052,243.49592542280257,1
243.39236570386976,243.49600610749957,1
243.3965775560289,243.49317526037171,1
243.46021666806632,243.4978906238292,0
243.59348370013961,243.512602790038,1
243.77959338601846,243.5410269315197,1
244.30608611173585,243.6277891318433,0
244.3934105803183,243.64952012843827,0
244.435380861344,243.669460434308,0
244.41641375591598,243.68349592644898,0
244.40654281174577,243.6978733121113,1
244.3831085648328,243.7087461509301,1
244.2876905629889,243.7275116317107,1
244.2660992276292,243.73903722122918,1
244.23713839633845,243.7509544053113,0
244.24009638387054,243.765235627629,0
244.2635221719869,243.78152416351418,1
244.24350129121933,243.79321984606514,0
244.23276816722571,243.8037541948537,0
243.39169214832455,243.73284957923732,1
243.4992596959261,243.73156148672714,0
243.58341676266312,243.73551672689067,0
243.63409072635716,243.73741344744647,0
243.69655685860582,243.74156271922902,1
243.750489310581,243.74562982721366,0
243.8156214786961,243.751906508456,0
243.0938628480981,243.52681253462097,0
243.17940070676468,243.5216854810329,0
243.17940070676468,243.5216854810329,1
243.48602225867037,243.518438813644,0
243.54469389076928,243.51986470045483,0
243.59834555003025,243.52095243985409,1
243.60711775406742,243.51817896966287,1
243.61711881023328,243.51608024373226,0
243.71940587343246,243.52516221137554,1
243.76636016075832,243.5310351816962,1
243.8257829214331,243.5412513498301,1
244.4744783595258,243.65359815238145,1
244.5673149042939,243.70239291611657,0
244.59302423718844,243.72574573034674,1
244.55386609474056,243.74269551855275,1
244.5544923880077,243.7791260172029,0
244.53205045954988,243.79482958383943,1
