stochk_14_previous,adi14_current,class
51.515151515151786,28.5086304682157,1
73.52207977208016,28.138500306321486,1
75.04713423831045,28.889236045258755,0
80.02450980392116,29.839196304385656,1
82.10784313725487,30.1271380224288,1
85.60924369747927,30.39451247489746,0
86.30952380952391,30.64278875218976,0
88.09523809523813,29.654132731555194,0
87.91208791208794,28.736094998108808,0
89.92673992674055,26.808864225706376,1
84.61538461538484,25.01929279418984,1
65.59829059829039,23.82751702419544,1
65.40404040404047,24.669145416417518,0
61.11111111111219,21.868108022296845,1
37.50000000000088,18.93572576097408,1
37.50000000000088,16.909175483037668,1
37.50000000000088,16.71153528419644,1
33.333333333334515,17.33874074742247,1
45.83333333333361,18.274806785425397,0
62.500000000000284,18.521745256582424,1
75.00000000000058,18.167628804815713,0
75.00000000000058,17.838806385318048,1
70.83333333333421,16.68817326665854,0
16.6666666666659,14.074892976867886,0
25.92592592592545,11.723718980900257,1
31.48148148148163,11.781263603796566,0
29.62962962962989,12.217731914307196,1
80.95238095237848,12.321318526539313,1
28.57142857143036,9.841398879857568,0
33.333333333334735,9.479940862592802,1
34.92063492063627,9.669916171077269,1
42.06349206349282,9.846321814669997,1
44.44444444444498,10.01012705514896,0
52.97181372549016,36.066683634769795,1
47.91666666666654,35.901222962108825,0
44.27083333333314,35.747580908923624,0
22.555018786902732,30.407514357618858,0
32.555018786902735,29.630795677328607,1
53.0303030303026,27.828190657430497,1
59.44055944055873,27.49926336354553,1
74.81146304675703,28.178075905958515,0
42.222222222221696,20.97154111331691,0
8.88888888888836,22.22618143909097,0
38.88888888888905,21.022582531595226,0
54.761904761904546,20.640385946514307,0
66.66666666666664,18.443075284331172,1
65.07936507936472,18.029949940459744,1
73.01587301587256,17.77453904853629,0
79.36507936507894,17.75913036032934,1
80.37741412354431,18.89200066982739,1
73.01587301587355,16.85596897350981,0
58.333333333333705,16.43903175848917,1
49.99999999999997,16.289187371129106,0
73.3333333333339,26.36142655977246,0
73.08080808080898,23.5180218814308,1
62.247474747475366,22.27543432637408,0
41.666666666667254,18.921429054368936,0
45.83333333333361,18.61680868381536,0
49.99999999999999,17.202181312156945,0
54.166666666666366,16.52774150659339,1
50.0,15.901475972855765,0
50.83333333333227,16.360571372737304,1
46.6666666666659,14.799968119111641,0
56.66666666666533,14.428757218865249,1
66.66666666666477,14.084061382922178,0
79.99999999999828,14.132824171475525,0
83.33333333333142,13.34574201489194,1
86.66666666666458,12.614880012350055,0
83.33333333333144,11.936222438561153,1
86.66666666666553,12.060965966298456,0
79.74358974358908,11.728211985074987,0
27.272727272726726,10.551203324066408,0
36.3636363636362,11.592449135621324,0
54.54545454545517,12.559320246350902,0
66.66666666666752,12.074671102857986,0
75.757575757577,11.624639755328849,1
63.63636363636465,11.206753504051797,0
48.48484848484856,10.894874503855425,1
51.51515151515144,10.965592863192587,1
48.48484848484856,11.471529205555123,0
48.48484848484856,11.941327237748927,0
56.666666666667226,12.816823244868123,1
61.515151515151814,13.6297838229074,0
57.61904761904742,15.187370909879636,0
43.80952380952266,16.633701776353846,0
40.47619047618873,17.047087438593024,1
66.66666666666802,13.647362654291616,1
66.66666666666802,12.703805468948413,0
36.66666666666661,19.612686809556244,1
42.31884057970973,21.5913002090508,0
51.76328502415447,23.42858408001002,0
71.20772946859908,24.812100966834027,1
70.00000000000016,29.967589134721035,1
72.22222222222223,31.34619330779241,0
77.77777777777784,32.62632575421583,0
79.99999999999993,32.74811854588482,0
64.35185185185192,19.198150644333147,0
72.96296296296242,14.166002276412605,1
68.68945868945805,13.786046332060563,1
66.83760683760579,12.916829735310724,1
54.456654456653865,13.554546592099767,0
54.68975468975446,14.14671224483238,1
71.21212121212145,16.677219901394473,1
81.82957393483719,24.034625244078974,0
77.1929824561402,24.433777777973873,0
78.94736842105239,24.80441941659055,0
75.43859649122804,24.33503920954046,0
68.73065015479894,23.89918616013681,1
62.919246646027176,23.085019319478427,1
40.91117216117235,22.225102817930544,1
34.98168498168489,21.386482110013713,1
35.89743589743573,21.2785551900486,0
32.30769230769172,21.178337335795323,0
32.82051282051257,20.594244309146546,1
36.66666666666652,19.582386587333122,0
38.33333333333298,18.642804417077798,0
15.555555555555983,25.380583426642843,1
34.444444444445004,22.66283896773444,0
47.22222222222239,21.318524807058505,0
62.777777777778084,20.07023308643088,0
76.1111111111116,18.85586140719128,1
83.33333333333431,17.7821959635366,0
83.93939393939486,16.7852209087144,0
57.777777777778866,28.047482860480557,0
66.66666666666735,25.182504638209327,0
66.66666666666735,25.182504638209327,1
76.54012654012661,22.225217024745675,0
80.21978021978012,21.40025334139247,0
85.71428571428595,20.250489922857888,1
85.71428571428595,19.182852462790045,1
76.19047619047632,18.512652009814406,0
73.80952380952398,18.068313226042694,1
76.62337662337724,17.981200619141127,1
80.08658008658112,18.19813323954607,1
61.53846153846101,25.539220006270078,1
64.10256410256358,26.142946115175576,0
56.410256410255954,26.186910541257912,1
48.71794871794831,25.63961220031826,1
37.60683760683783,26.037022757697468,0
37.37373737373759,25.60473829445279,1
