stochk_14_current,macd_12_26_previous,class
55.55555555555623,-0.1337023578838057,1
75.04713423831045,0.0718227186549143,1
80.02450980392116,0.12682504136861894,0
82.10784313725487,0.1905253506889153,1
85.60924369747927,0.2345323651046556,1
86.30952380952391,0.2591456587062737,0
88.09523809523813,0.2908785881535607,0
87.91208791208794,0.3080925934912955,0
89.92673992674055,0.3199307683841539,0
84.61538461538484,0.3183861695091537,1
74.35897435897455,0.2775441674219508,1
58.13908313908306,0.20710927546488733,1
68.18181818181891,0.20165745529271814,0
47.222222222223365,0.0928637293278598,1
37.50000000000088,0.03902717971513425,1
37.50000000000088,-0.024329775267545983,1
33.333333333334515,-0.03149576330866921,1
45.83333333333361,-0.019570723288950376,1
62.500000000000284,-0.0021188470064146263,0
75.00000000000058,0.008904161459867055,1
75.00000000000058,0.010205171747799113,0
70.83333333333421,0.018729063130194845,1
70.83333333333421,0.028469605969064563,0
16.6666666666659,-0.004725512820897393,0
31.48148148148163,-0.07827023907455555,1
29.62962962962989,-0.07566565891602295,0
49.735449735449656,-0.06050809276126756,1
85.71428571428288,-0.02326748620757257,1
33.333333333334735,-0.03668713125549061,0
34.92063492063627,-0.03882043863879403,1
42.06349206349282,-0.022322784941934515,1
44.44444444444502,-0.02013872107414727,1
61.111111111110056,0.0015673193133807215,0
47.91666666666654,0.7797795650313049,1
44.27083333333314,0.7297572968053885,0
43.74999999999983,0.7196259668604057,0
32.555018786902735,0.19342405207081012,0
45.005611672278064,0.17764630974522788,1
59.44055944055873,0.08959585952706561,1
62.820512820511986,0.05700402546034411,1
81.1463046757168,0.0634161183641595,0
26.666666666666387,0.08094530992821093,0
8.88888888888836,-0.055702065088922836,0
54.761904761904546,-0.1979721459049415,0
70.89947089947083,-0.13178172017259726,0
61.904761904761756,-0.0909764807263116,1
73.01587301587256,0.03354662755606341,1
79.36507936507894,0.09849970845419877,0
85.71428571428531,0.15662089614417596,1
82.664995822891,0.2551660048045505,1
58.333333333333705,0.20836379929249915,0
49.99999999999997,0.1938630133359993,1
42.42424242424193,0.160980668429346,0
66.66666666666761,0.12465988930847514,0
62.247474747475366,0.11920721728205308,1
51.13636363636466,0.09067777347249263,0
45.83333333333361,0.0621082347476829,0
45.83333333333361,0.06203469308994159,0
54.166666666666366,0.08435726888487237,0
50.0,0.06881273874401472,1
54.166666666666366,0.07276303079814284,0
46.6666666666659,-0.02625713168032462,1
56.66666666666533,-0.014632209954299926,0
66.66666666666477,-0.003013091751000729,1
79.99999999999828,0.007005956479360975,0
83.33333333333142,0.029581846751199237,0
86.66666666666458,0.04921625113934169,1
83.33333333333144,0.03825492998095115,0
86.66666666666553,0.05172719668613013,1
79.74358974358908,0.0484992841704468,0
84.61538461538456,0.0846987068671865,0
36.3636363636362,-0.07438483060266776,0
54.54545454545517,-0.037168028456505915,0
66.66666666666752,-0.004310280983958137,0
75.757575757577,0.007219187602032663,0
63.63636363636465,0.002255794306421421,1
54.54545454545517,0.006299028708184551,0
51.51515151515144,0.016092245237274483,1
48.48484848484856,0.02404070627056853,1
48.48484848484856,0.04285771744895328,0
56.666666666667226,0.06943013003984788,0
61.515151515151814,0.07394393191543712,1
57.61904761904742,0.07814985831404897,0
43.80952380952266,0.07266457982714769,0
38.095238095236546,0.06406546134567748,0
36.507936507934886,0.045882300482332994,1
66.66666666666802,-0.07842963261808222,1
76.19047619047716,-0.05937556254858122,0
42.31884057970973,0.0005869406725196312,1
51.7632850241545,0.06274715405439224,0
71.20772946859908,0.15582042757469594,0
68.88888888888879,0.24538621995904464,1
72.22222222222223,0.4097479303741807,1
77.7777777777778,0.4436799919469081,0
79.99999999999993,0.4375541252802577,0
75.55555555555544,0.4230473103599763,0
71.75925925925921,-0.2480501683870955,0
68.68945868945805,0.03650554513575344,1
66.83760683760579,0.06635131947479067,1
54.456654456653865,0.07674353461939631,1
54.68975468975446,0.10421059682659006,0
62.77056277056304,0.17124704945547364,1
69.1142191142188,0.21491705052076784,1
77.1929824561402,0.3659322977125328,0
78.94736842105239,0.3793532015095025,0
75.43859649122804,0.3671659246579111,0
68.73065015479894,0.3402430245924961,0
62.919246646027176,0.3106636093045836,1
50.26260504201707,0.2654168359564437,1
34.98168498168489,0.19395503921435875,1
35.89743589743573,0.16493463663729813,1
32.30769230769172,0.13543830961705794,0
32.82051282051253,0.11386364032782124,0
36.66666666666652,0.09449580349021858,1
38.33333333333298,0.060957060129226186,0
29.166666666665826,0.031672475444622705,0
20.00000000000044,-0.28207550303474704,1
47.22222222222239,-0.19376704971193706,0
62.777777777778084,-0.13532989786270375,0
76.1111111111116,-0.09331999406211366,0
83.33333333333431,-0.04870552330271494,1
83.93939393939486,-0.010536825017112506,0
87.272727272728,0.02780711649523937,0
62.35294117647146,-0.07599369002784329,0
69.49494949494998,0.00473563387691911,0
69.49494949494998,0.00473563387691911,1
80.21978021978012,0.1705511231326966,0
85.71428571428595,0.1896293242305376,0
85.71428571428595,0.20410365901540214,1
76.19047619047636,0.20584891528389448,1
71.42857142857117,0.21152674575094466,0
76.6233766233772,0.22721605576617776,1
80.08658008658112,0.23257107149584044,1
81.81818181818281,0.23418957531265505,1
64.10256410256358,0.4247405747289577,1
56.410256410255954,0.39997542284586973,0
48.71794871794831,0.3862044937837936,1
43.16239316239307,0.3424731753056278,1
37.37373737373759,0.28278152386968713,0
38.38383838383855,0.25111569541053314,1
