sma200_previous,uosc_previous,class
243.0835,21.379885046451914,1
243.101,28.3890230229244,1
243.1065,25.79184034575511,0
243.112,27.410741074107047,1
243.1185,25.458241947805533,1
243.1245,22.059716360914866,0
243.1325,22.53823196687541,0
243.139,17.008123195731017,0
243.1455,18.001621612297242,0
243.152,21.294207393056475,1
243.157,18.823053158624145,1
243.17,19.400939442852376,1
243.1845,22.734051092864657,0
243.2035,19.806918388699184,1
243.215,23.976680400614004,1
243.22550000000004,16.410981582396726,1
243.231,17.598505696236007,1
243.238,25.244667205092536,1
243.2445,25.249840853002485,0
243.249,24.48608887900327,1
243.253,20.68233353947642,0
243.2575,23.03139518331161,1
243.2625,25.313688402191204,0
243.2855,26.07199817726034,0
243.2935,23.841362363563217,1
243.297,31.831787260358386,0
243.301,33.67464714709917,1
243.3175,25.12902520365177,1
243.3445,34.5283789301762,0
243.3475,38.083953960731904,1
243.3505,45.29616724738735,1
243.354,38.155061019383176,1
243.358,41.79587880618865,0
243.5165,16.78437534159132,1
243.5275,11.016211916399515,0
243.5395,10.700751923449292,0
243.5915,25.46232298297667,0
243.5955,25.58364296705452,1
243.5995,25.773341714390234,1
243.6045,20.504068649828078,1
243.6315,18.12724943793112,0
244.579,26.85638496189079,0
244.6355,10.411822660098213,0
244.771,27.989222883602626,0
244.78800000000004,25.024668661996568,0
244.8385,18.11371851699863,1
244.89,17.01057028925865,1
244.909,18.533360537814385,0
244.928,23.974840469084764,1
245.0005,30.05736330544499,1
245.0285,24.4884357996983,0
245.0415,21.20493225785105,1
245.0535,22.597534560382535,0
245.218,33.06260287190153,0
245.1855,54.05018125867856,1
245.17050000000003,40.04091994637346,0
245.13500000000005,31.2064848112204,0
245.1265,29.467876039305487,0
245.11,28.43357734007535,0
245.10050000000004,31.432506261682025,1
245.094,33.68136187095412,0
245.0415,34.19879062736174,1
245.024,37.75182677789487,0
245.016,35.26533304614739,1
245.007,35.51621465746649,0
244.998,35.2383180954608,0
244.98800000000003,30.00099267330749,1
244.978,33.81157340985156,0
244.971,41.478646253021104,1
244.963,35.67655987503232,0
244.958,42.090403875300176,0
244.8935,19.91795366795364,0
244.8865,24.090984102535906,0
244.8795,23.367220712535282,0
244.873,22.030616651112343,0
244.865,20.930118181710338,1
244.859,23.598901098901,0
244.8475,22.619047619047183,1
244.841,19.07207006191723,1
244.833,23.222917307625213,0
244.824,30.54741988643785,0
244.815,35.26624442880442,1
244.807,35.5825206580791,0
244.7985,38.38355303274524,0
244.789,40.77758625813279,0
244.7695,34.37470350558354,1
244.5765,24.869169266583878,1
244.566,23.64773866535798,0
244.455,45.57283897040844,1
244.4475,40.707841220730856,0
244.44100000000003,38.199920714206435,0
244.435,34.934560388860234,1
244.4175,30.68327462737411,1
244.412,22.414338104076982,0
244.406,21.35090829231859,0
244.3975,19.118047448054604,0
244.1475,17.842639591114217,0
244.0465,34.670474419431535,1
244.033,46.43433231459743,1
244.0185,56.2979917565609,1
244.00600000000003,56.73128261177804,0
243.996,56.45098948670705,1
243.9705,34.2869896061393,1
243.949,22.53983931420083,0
243.9405,21.582156528700303,0
243.933,24.40108987600564,0
243.92550000000003,21.897842594564352,0
243.917,23.470062016355136,1
243.9075,22.459849038908096,1
243.88550000000004,19.436342599255358,1
243.874,21.363808605188233,1
243.8625,21.907519585081612,0
243.8525,22.359463608892398,0
243.841,21.19047920468336,1
243.82800000000003,22.151191698592022,0
243.815,28.53547406734099,0
243.68,26.59404670959333,1
243.6665,36.42787091953472,0
243.661,36.99339763163145,0
243.6565,30.552163548508094,0
243.652,27.50345713227412,1
243.6485,25.68820737495389,0
243.6455,25.71765347360269,0
243.5275,34.00538772919588,0
243.5315,33.481268901568875,0
243.5315,33.481268901568875,1
243.541,23.72247823860724,0
243.5445,20.766228061634067,0
243.5475,21.60682454800091,1
243.5505,20.9438278518816,1
243.5545,22.39925482890425,0
243.5655,25.296009491734647,1
243.5685,27.290729283839113,1
243.5715,31.71212972033501,1
243.5975,27.759254094145373,1
243.609,24.262813752372452,0
243.61550000000003,23.77513642819716,1
243.6205,21.334289747762075,1
243.6315,17.643596875088612,0
243.6345,17.408876232405245,1
