sma20_current,sma100_previous,class
242.86999999999995,243.301,1
242.94,243.291,1
242.965,243.296,0
243.01000000000005,243.302,1
243.045,243.308,1
243.09,243.312,0
243.13,243.31600000000003,0
243.175,243.318,0
243.23,243.32100000000003,0
243.28,243.323,1
243.315,243.32000000000005,1
243.40999999999997,243.31400000000005,1
243.51,243.31900000000005,0
243.62,243.31800000000004,1
243.645,243.32,1
243.635,243.322,1
243.63,243.324,1
243.63,243.32800000000003,1
243.64,243.33300000000003,0
243.63,243.341,1
243.63,243.34600000000003,0
243.63,243.34900000000002,1
243.63,243.353,0
243.605,243.36300000000003,0
243.58,243.36900000000003,1
243.58,243.372,0
243.5900000000001,243.375,1
243.61,243.377,1
243.49499999999995,243.38500000000008,0
243.49999999999997,243.38600000000002,1
243.5,243.38800000000003,1
243.51,243.389,1
243.52,243.392,0
244.305,243.551,1
244.39500000000004,243.568,0
244.48,243.59099999999995,0
245.21,243.72600000000003,0
245.315,243.75,1
245.4650000000001,243.792,1
245.425,243.81399999999996,1
245.31,243.89200000000002,0
246.345,245.59000000000003,0
246.335,245.627,0
246.04,245.679,0
246.005,245.68400000000003,0
245.92,245.703,1
245.965,245.748,1
245.99,245.768,0
245.99500000000003,245.786,1
246.11,245.854,1
246.195,245.881,0
246.245,245.893,1
246.295,245.90500000000003,0
243.23,244.915,0
243.27500000000003,244.831,1
243.29,244.799,0
243.385,244.701,0
243.43,244.67400000000006,0
243.445,244.62500000000003,0
243.45,244.59900000000005,1
243.455,244.57500000000005,0
243.445,244.41600000000003,1
243.47000000000003,244.38,0
243.46000000000004,244.365,1
243.48,244.344,0
243.505,244.317,0
243.51,244.292,1
243.525,244.267,0
243.53500000000003,244.247,1
243.555,244.223,0
243.55,244.201,0
243.52,243.917,0
243.545,243.892,0
243.55,243.866,0
243.545,243.84099999999998,0
243.545,243.815,1
243.54000000000005,243.791,0
243.53500000000008,243.75899999999996,1
243.53000000000003,243.743,1
243.54000000000005,243.72599999999997,0
243.53000000000003,243.711,0
243.535,243.69400000000002,1
243.545,243.681,0
243.555,243.667,0
243.57,243.654,0
243.61000000000004,243.631,1
243.44,243.414,1
243.43,243.406,0
243.335,243.421,1
243.4,243.42999999999995,0
243.485,243.44400000000002,0
243.545,243.457,1
243.74,243.505,1
243.795,243.525,0
243.84500000000003,243.543,0
243.89,243.56,0
243.435,243.529,0
243.205,243.518,1
243.215,243.51800000000003,1
243.235,243.51500000000004,1
243.285,243.51700000000002,0
243.36499999999995,243.52599999999998,1
243.56,243.54500000000004,1
243.805,243.581,0
243.86000000000004,243.589,0
243.90000000000003,243.59900000000002,0
243.95000000000005,243.604,0
243.99,243.611,1
244.025,243.614,1
244.105,243.625,1
244.14999999999995,243.63200000000003,1
244.19,243.641,0
244.23999999999995,243.65200000000004,0
244.265,243.664,1
244.27,243.67500000000004,0
244.28,243.683,0
243.775,243.66600000000003,1
243.735,243.66600000000003,0
243.715,243.66800000000003,0
243.695,243.67000000000004,0
243.67,243.67300000000003,1
243.66,243.676,0
243.64499999999992,243.68,0
243.08,243.64499999999995,0
243.08,243.657,0
243.08,243.657,1
243.19499999999996,243.62500000000003,0
243.23999999999995,243.618,0
243.29,243.61000000000004,1
243.32,243.59600000000003,1
243.365,243.584,0
243.425,243.571,1
243.485,243.56600000000003,1
243.54,243.569,1
243.90000000000003,243.63100000000003,1
244.04500000000007,243.669,0
244.08500000000004,243.687,1
244.12500000000009,243.705,1
244.225,243.733,0
244.24999999999997,243.74400000000009,1
