sma30_previous,sma50_current,class
243.07,243.18,1
243.02,243.182,1
243.02,243.19,0
243.03333333333336,243.2,1
243.0533333333333,243.21,1
243.07333333333332,243.226,0
243.09333333333333,243.23999999999995,0
243.11,243.25399999999996,0
243.1266666666667,243.264,0
243.15,243.264,1
243.16666666666663,243.264,1
243.18666666666664,243.278,1
243.23666666666665,243.28,0
243.29666666666668,243.276,1
243.35,243.268,1
243.40666666666667,243.266,1
243.42666666666665,243.272,1
243.46,243.28400000000002,1
243.4933333333333,243.29999999999995,0
243.53333333333333,243.308,1
243.56666666666663,243.318,0
243.6033333333333,243.32799999999997,1
243.63333333333333,243.342,0
243.64,243.4,0
243.59666666666664,243.422,1
243.58666666666667,243.442,0
243.58333333333331,243.46599999999998,1
243.60333333333335,243.52000000000004,1
243.56333333333333,243.596,0
243.56333333333333,243.596,1
243.57,243.59600000000003,1
243.57,243.594,1
243.57,243.592,0
243.98666666666665,243.864,1
244.03333333333333,243.898,0
244.1,243.926,0
244.4766666666666,244.12800000000004,0
244.54666666666665,244.164,1
244.64666666666665,244.22800000000004,1
244.7,244.272,1
244.9533333333333,244.4,0
246.16666666666663,245.924,0
246.22,245.93,0
246.15,245.98999999999995,0
246.15,246.002,0
246.1133333333333,246.05000000000004,1
246.09000000000003,246.108,1
246.0966666666667,246.122,0
246.11000000000004,246.13,1
246.10666666666668,246.198,1
246.11,246.214,0
246.11666666666667,246.212,1
246.1233333333333,246.21599999999998,0
243.13333333333333,243.768,0
243.1266666666667,243.694,1
243.17333333333332,243.67,0
243.23666666666665,243.582,0
243.25666666666663,243.55599999999998,0
243.30666666666667,243.498,0
243.31666666666663,243.466,1
243.33333333333331,243.44000000000003,0
243.41333333333333,243.288,1
243.44000000000003,243.25600000000003,0
243.44666666666672,243.25800000000004,1
243.45000000000007,243.26800000000003,0
243.46000000000004,243.306,0
243.4733333333334,243.32,1
243.47333333333336,243.34,0
243.48666666666668,243.356,1
243.49000000000007,243.376,0
243.51,243.39,0
243.4933333333333,243.456,0
243.50333333333333,243.47599999999997,0
243.50666666666663,243.484,0
243.51,243.486,0
243.5133333333333,243.488,1
243.51333333333332,243.492,0
243.51333333333335,243.498,1
243.51666666666668,243.504,1
243.5333333333334,243.51,0
243.55000000000007,243.518,0
243.5666666666667,243.52599999999998,1
243.58,243.534,0
243.58333333333331,243.54000000000005,0
243.58666666666664,243.53600000000003,0
243.58333333333331,243.548,1
243.52,243.524,1
243.51,243.522,0
243.37,243.45,1
243.38,243.474,0
243.41,243.504,0
243.44666666666663,243.528,1
243.5533333333333,243.616,1
243.59666666666664,243.63,0
243.63333333333333,243.644,0
243.67,243.658,0
243.61999999999995,243.50600000000003,0
243.58,243.51799999999997,1
243.54,243.522,1
243.50666666666663,243.52599999999998,1
243.48,243.53800000000004,0
243.45,243.548,1
243.38,243.582,1
243.50333333333336,243.69,0
243.55000000000007,243.71599999999998,0
243.59000000000003,243.73799999999997,0
243.63,243.75799999999995,0
243.69666666666672,243.79,1
243.7433333333333,243.814,1
243.83666666666664,243.814,1
243.87,243.808,1
243.9,243.8,0
243.92,243.79999999999995,0
243.95666666666665,243.794,1
243.98333333333332,243.778,0
244.00666666666663,243.76400000000004,0
243.9966666666666,243.78600000000003,1
243.9633333333333,243.81600000000003,0
243.94666666666663,243.82599999999996,0
243.91333333333333,243.83,0
243.89,243.842,1
243.86666666666665,243.854,0
243.85,243.862,0
243.33666666666667,243.51000000000005,0
243.31666666666663,243.484,0
243.31666666666663,243.484,1
243.2866666666666,243.43600000000004,0
243.27999999999997,243.426,0
243.26999999999995,243.414,1
243.26,243.404,1
243.25,243.406,0
243.27666666666667,243.41599999999997,1
243.29333333333332,243.426,1
243.31,243.44200000000004,1
243.5533333333333,243.56600000000003,1
243.67333333333332,243.612,0
243.72666666666672,243.624,1
243.76333333333335,243.634,1
243.85666666666668,243.662,0
243.9,243.672,1
