macd_12_26_previous,wpr14_current,class
-0.1337023578838057,-22.222222222220818,1
0.0718227186549143,-23.529411764705984,1
0.12682504136861894,-5.8823529411760775,0
0.1905253506889153,-12.499999999999332,1
0.2345323651046556,-21.428571428572152,1
0.2591456587062737,-7.142857142856707,0
0.2908785881535607,-14.285714285713414,0
0.3080925934912955,-15.384615384614374,0
0.3199307683841539,-23.07692307692375,0
0.3183861695091537,-46.15384615384532,1
0.2775441674219508,-46.15384615384532,1
0.20710927546488733,-0.0,1
0.20165745529271814,-33.33333333333176,0
0.0928637293278598,-62.49999999999911,1
0.03902717971513425,-74.99999999999824,1
-0.024329775267545983,-62.49999999999911,1
-0.03149576330866921,-37.500000000000895,1
-0.019570723288950376,-24.99999999999823,1
-0.0021188470064146263,-12.499999999999115,0
0.008904161459867055,-37.500000000000895,1
0.010205171747799113,-24.99999999999823,0
0.018729063130194845,-24.99999999999823,1
0.028469605969064563,-37.500000000000895,0
-0.004725512820897393,-66.66666666666825,0
-0.07827023907455555,-55.55555555555521,1
-0.07566565891602295,-44.4444444444448,0
-0.06050809276126756,-28.571428571430317,1
-0.02326748620757257,-14.285714285717187,1
-0.03668713125549061,-57.14285714285656,0
-0.03882043863879403,-33.333333333334906,1
-0.022322784941934515,-50.0,1
-0.02013872107414727,-16.666666666669823,1
0.0015673193133807215,-16.666666666669823,0
0.7797795650313049,-59.375000000000135,1
0.7297572968053885,-53.125000000000036,0
0.7196259668604057,-56.24999999999986,0
0.19342405207081012,-40.909090909091375,0
0.17764630974522788,-54.54545454545431,1
0.08959585952706561,-30.769230769231612,1
0.05700402546034411,-15.384615384614714,1
0.0634161183641595,-29.41176470588255,0
0.08094530992821093,-93.33333333333373,0
-0.055702065088922836,-73.33333333333294,0
-0.1979721459049415,-23.80952380952355,0
-0.13178172017259726,-38.095238095238216,0
-0.0909764807263116,-33.33333333333378,1
0.03354662755606341,-14.285714285714672,1
0.09849970845419877,-14.285714285714672,0
0.15662089614417596,-23.80952380952355,1
0.2551660048045505,-50.0,1
0.20836379929249915,-50.0,0
0.1938630133359993,-66.66666666666825,1
0.160980668429346,-81.81818181818275,0
0.12465988930847514,-19.999999999998863,0
0.11920721728205308,-74.99999999999824,1
0.09067777347249263,-62.49999999999911,0
0.0621082347476829,-50.00000000000001,0
0.06203469308994159,-25.000000000001783,0
0.08435726888487237,-62.49999999999911,0
0.06881273874401472,-37.500000000000895,1
0.07276303079814284,-50.00000000000001,0
-0.02625713168032462,-50.0,1
-0.014632209954299926,-20.0000000000017,0
-0.003013091751000729,-20.0000000000017,1
0.007005956479360975,-10.000000000002274,0
0.029581846751199237,-0.0,0
0.04921625113934169,-30.000000000001133,1
0.03825492998095115,-0.0,0
0.05172719668613013,-20.0000000000017,1
0.0484992841704468,-15.384615384614714,0
0.0846987068671865,-38.461538461538964,0
-0.07438483060266776,-27.272727272725863,0
-0.037168028456505915,-27.272727272725863,0
-0.004310280983958137,-36.36363636363706,0
0.007219187602032663,-54.54545454545431,0
0.002255794306421421,-45.45454545454569,1
0.006299028708184551,-45.45454545454569,0
0.016092245237274483,-45.45454545454569,1
0.02404070627056853,-36.36363636363706,1
0.04285771744895328,-27.272727272725863,0
0.06943013003984788,-40.000000000000576,0
0.07394393191543712,-40.000000000000576,1
0.07814985831404897,-57.14285714285889,0
0.07266457982714769,-57.14285714285889,0
0.06406546134567748,-71.42857142857258,0
0.045882300482332994,-66.66666666666825,1
-0.07842963261808222,-28.57142857142741,1
-0.05937556254858122,-16.66666666666588,0
0.0005869406725196312,-30.43478260869539,1
0.06274715405439224,-30.000000000000192,0
0.15582042757469594,-23.333333333333908,0
0.24538621995904464,-33.333333333333336,1
0.4097479303741807,-19.999999999999808,1
0.4436799919469081,-30.000000000000192,0
0.4375541252802577,-30.000000000000192,0
0.4230473103599763,-33.333333333333336,0
-0.2480501683870955,-16.666666666667194,0
0.03650554513575344,-23.07692307692375,1
0.06635131947479067,-44.4444444444448,1
0.07674353461939631,-14.285714285717187,1
0.10421059682659006,-9.09090909090862,0
0.17124704945547364,-27.272727272725863,1
0.21491705052076784,-7.692307692307187,1
0.3659322977125328,-21.052631578947604,0
0.3793532015095025,-26.31578947368413,0
0.3671659246579111,-36.84210526315718,0
0.3402430245924961,-41.1764705882349,0
0.3106636093045836,-50.00000000000089,1
0.2654168359564437,-71.42857142857113,1
0.19395503921435875,-61.53846153846187,1
0.16493463663729813,-61.53846153846187,1
0.13543830961705794,-69.99999999999885,0
0.11386364032782124,-59.999999999999424,0
0.09449580349021858,-80.00000000000115,1
0.060957060129226186,-75.00000000000179,0
0.031672475444622705,-87.50000000000091,0
-0.28207550303474704,-41.66666666666706,1
-0.19376704971193706,-24.999999999998817,0
-0.13532989786270375,-19.999999999998863,0
-0.09331999406211366,-9.999999999999432,0
-0.04870552330271494,-9.999999999999432,1
-0.010536825017112506,-9.09090909090862,0
0.02780711649523937,-18.18181818181724,0
-0.07599369002784329,-39.999999999999616,0
0.00473563387691911,-27.272727272725863,0
0.00473563387691911,-27.272727272725863,1
0.1705511231326966,-21.428571428572152,0
0.1896293242305376,-21.428571428572152,0
0.20410365901540214,-28.57142857142886,1
0.20584891528389448,-28.57142857142886,1
0.21152674575094466,-7.142857142856707,0
0.22721605576617776,-27.272727272725863,1
0.23257107149584044,-18.18181818181724,1
0.23418957531265505,-0.0,1
0.4247405747289577,-50.00000000000055,1
0.39997542284586973,-50.00000000000055,0
0.3862044937837936,-61.538461538461455,1
0.3424731753056278,-70.83333333333387,1
0.28278152386968713,-68.18181818181765,0
0.25111569541053314,-68.18181818181765,1
