sma200_current,mom10_current,class
243.0855,0.30000000000001137,1
243.1065,0.8000000000000114,1
243.112,1.0,0
243.1185,1.1000000000000227,1
243.1245,1.0,1
243.1325,1.200000000000017,0
243.139,0.9000000000000057,0
243.1455,0.8000000000000114,0
243.152,0.19999999999998866,0
243.157,-0.19999999999998866,1
243.1625,-0.09999999999999433,1
243.178,0.19999999999998866,1
243.192,-0.09999999999999433,0
243.209,-0.19999999999998866,1
243.2205,0.0,1
243.231,-0.5,1
243.238,0.0,1
243.2445,0.0,1
243.249,0.30000000000001137,0
243.253,0.2999999999999829,1
243.2575,0.30000000000001137,0
243.2625,0.20000000000001705,1
243.267,0.2999999999999829,0
243.289,-0.09999999999999433,0
243.297,-0.19999999999998866,1
243.301,-0.09999999999999433,0
243.306,0.09999999999999433,1
243.3225,0.19999999999998866,1
243.3475,-0.19999999999998866,0
243.3505,-0.09999999999999433,1
243.354,-0.19999999999998866,1
243.358,0.19999999999998866,1
243.3635,0.09999999999999433,0
243.5275,1.6999999999999886,1
243.5395,1.5999999999999943,0
243.5515,-0.8999999999999773,0
243.5955,0.5,0
243.598,-0.19999999999998866,1
243.6045,0.2999999999999829,1
243.6125,0.5999999999999943,1
243.643,0.5,0
244.593,-0.30000000000001137,0
244.6505,-0.3999999999999773,0
244.78800000000004,0.10000000000002274,0
244.805,-0.09999999999999433,0
244.8545,0.7999999999999828,1
244.909,0.8000000000000114,1
244.928,0.09999999999999433,0
244.946,0.0,1
245.0145,0.30000000000001137,1
245.0415,-0.09999999999999433,0
245.0535,-0.30000000000001137,1
245.0655,-0.4000000000000057,0
245.2155,-0.09999999999999433,0
245.17050000000003,-0.19999999999998866,1
245.158,0.0,0
245.1265,0.19999999999998866,0
245.1195,0.3999999999999773,0
245.10050000000004,-0.4000000000000057,0
245.094,0.2999999999999829,1
245.0875,0.19999999999998866,0
245.0315,-0.2999999999999829,1
245.016,0.0,0
245.007,0.09999999999999433,1
244.998,0.0,0
244.98800000000003,0.30000000000001137,0
244.978,0.30000000000001137,1
244.971,0.5,0
244.963,0.4000000000000057,1
244.958,0.5999999999999943,0
244.9515,0.0,0
244.8865,0.20000000000001705,0
244.8795,0.30000000000001137,0
244.873,0.19999999999998866,0
244.865,0.19999999999998866,0
244.859,0.4000000000000057,1
244.8535,0.4000000000000057,0
244.841,0.19999999999998866,1
244.833,0.2999999999999829,1
244.824,0.0,0
244.815,-0.10000000000002274,0
244.807,0.0,1
244.7985,0.19999999999998866,0
244.789,0.09999999999999433,0
244.779,0.0,0
244.75800000000004,0.0,1
244.566,0.19999999999998866,1
244.556,0.30000000000001137,0
244.4475,0.9000000000000057,1
244.44100000000003,1.1999999999999886,0
244.435,1.5999999999999943,0
244.428,1.200000000000017,1
244.412,2.200000000000017,1
244.406,1.6999999999999886,0
244.3975,0.09999999999999433,0
244.388,0.4000000000000057,0
244.13,1.1999999999999886,0
244.033,0.19999999999998866,1
244.0185,0.0,1
244.00600000000003,0.19999999999998866,1
243.996,0.7999999999999828,0
243.9865,0.5,1
243.966,0.8000000000000114,1
243.9405,0.9000000000000057,0
243.933,0.4000000000000057,0
243.92550000000003,0.4000000000000057,0
243.917,0.6000000000000227,0
243.9075,0.09999999999999433,1
243.897,-0.30000000000001137,1
243.874,-0.6000000000000227,1
243.8625,-0.4000000000000057,1
243.8525,-0.2999999999999829,0
243.841,-0.09999999999999433,0
243.82800000000003,-0.10000000000002274,1
243.815,-0.10000000000002274,0
243.8035,-0.09999999999999433,0
243.6735,0.19999999999998866,1
243.661,0.5,0
243.6565,0.4000000000000057,0
243.652,0.5999999999999943,0
243.6485,0.5999999999999943,1
243.6455,0.8000000000000114,0
243.6405,0.5,0
243.5285,-0.09999999999999433,0
243.534,0.5999999999999943,0
243.534,0.5999999999999943,1
243.5445,0.8999999999999773,0
243.5475,0.3999999999999773,0
243.5505,0.4000000000000057,1
243.5545,0.5,1
243.5605,0.4000000000000057,0
243.5685,0.5,1
243.5715,0.30000000000001137,1
243.575,0.2999999999999829,1
243.6035,1.0,1
243.61550000000003,0.7999999999999828,0
243.6205,0.4000000000000057,1
243.625,0.19999999999998866,1
243.6345,-0.09999999999999433,0
243.64,-0.7999999999999828,1
