sma30_previous,macd_12_26_previous,class
243.07,-0.1337023578838057,1
243.02,0.0718227186549143,1
243.02,0.12682504136861894,0
243.03333333333336,0.1905253506889153,1
243.0533333333333,0.2345323651046556,1
243.07333333333332,0.2591456587062737,0
243.09333333333333,0.2908785881535607,0
243.11,0.3080925934912955,0
243.1266666666667,0.3199307683841539,0
243.15,0.3183861695091537,1
243.16666666666663,0.2775441674219508,1
243.18666666666664,0.20710927546488733,1
243.23666666666665,0.20165745529271814,0
243.29666666666668,0.0928637293278598,1
243.35,0.03902717971513425,1
243.40666666666667,-0.024329775267545983,1
243.42666666666665,-0.03149576330866921,1
243.46,-0.019570723288950376,1
243.4933333333333,-0.0021188470064146263,0
243.53333333333333,0.008904161459867055,1
243.56666666666663,0.010205171747799113,0
243.6033333333333,0.018729063130194845,1
243.63333333333333,0.028469605969064563,0
243.64,-0.004725512820897393,0
243.59666666666664,-0.07827023907455555,1
243.58666666666667,-0.07566565891602295,0
243.58333333333331,-0.06050809276126756,1
243.60333333333335,-0.02326748620757257,1
243.56333333333333,-0.03668713125549061,0
243.56333333333333,-0.03882043863879403,1
243.57,-0.022322784941934515,1
243.57,-0.02013872107414727,1
243.57,0.0015673193133807215,0
243.98666666666665,0.7797795650313049,1
244.03333333333333,0.7297572968053885,0
244.1,0.7196259668604057,0
244.4766666666666,0.19342405207081012,0
244.54666666666665,0.17764630974522788,1
244.64666666666665,0.08959585952706561,1
244.7,0.05700402546034411,1
244.9533333333333,0.0634161183641595,0
246.16666666666663,0.08094530992821093,0
246.22,-0.055702065088922836,0
246.15,-0.1979721459049415,0
246.15,-0.13178172017259726,0
246.1133333333333,-0.0909764807263116,1
246.09000000000003,0.03354662755606341,1
246.0966666666667,0.09849970845419877,0
246.11000000000004,0.15662089614417596,1
246.10666666666668,0.2551660048045505,1
246.11,0.20836379929249915,0
246.11666666666667,0.1938630133359993,1
246.1233333333333,0.160980668429346,0
243.13333333333333,0.12465988930847514,0
243.1266666666667,0.11920721728205308,1
243.17333333333332,0.09067777347249263,0
243.23666666666665,0.0621082347476829,0
243.25666666666663,0.06203469308994159,0
243.30666666666667,0.08435726888487237,0
243.31666666666663,0.06881273874401472,1
243.33333333333331,0.07276303079814284,0
243.41333333333333,-0.02625713168032462,1
243.44000000000003,-0.014632209954299926,0
243.44666666666672,-0.003013091751000729,1
243.45000000000007,0.007005956479360975,0
243.46000000000004,0.029581846751199237,0
243.4733333333334,0.04921625113934169,1
243.47333333333336,0.03825492998095115,0
243.48666666666668,0.05172719668613013,1
243.49000000000007,0.0484992841704468,0
243.51,0.0846987068671865,0
243.4933333333333,-0.07438483060266776,0
243.50333333333333,-0.037168028456505915,0
243.50666666666663,-0.004310280983958137,0
243.51,0.007219187602032663,0
243.5133333333333,0.002255794306421421,1
243.51333333333332,0.006299028708184551,0
243.51333333333335,0.016092245237274483,1
243.51666666666668,0.02404070627056853,1
243.5333333333334,0.04285771744895328,0
243.55000000000007,0.06943013003984788,0
243.5666666666667,0.07394393191543712,1
243.58,0.07814985831404897,0
243.58333333333331,0.07266457982714769,0
243.58666666666664,0.06406546134567748,0
243.58333333333331,0.045882300482332994,1
243.52,-0.07842963261808222,1
243.51,-0.05937556254858122,0
243.37,0.0005869406725196312,1
243.38,0.06274715405439224,0
243.41,0.15582042757469594,0
243.44666666666663,0.24538621995904464,1
243.5533333333333,0.4097479303741807,1
243.59666666666664,0.4436799919469081,0
243.63333333333333,0.4375541252802577,0
243.67,0.4230473103599763,0
243.61999999999995,-0.2480501683870955,0
243.58,0.03650554513575344,1
243.54,0.06635131947479067,1
243.50666666666663,0.07674353461939631,1
243.48,0.10421059682659006,0
243.45,0.17124704945547364,1
243.38,0.21491705052076784,1
243.50333333333336,0.3659322977125328,0
243.55000000000007,0.3793532015095025,0
243.59000000000003,0.3671659246579111,0
243.63,0.3402430245924961,0
243.69666666666672,0.3106636093045836,1
243.7433333333333,0.2654168359564437,1
243.83666666666664,0.19395503921435875,1
243.87,0.16493463663729813,1
243.9,0.13543830961705794,0
243.92,0.11386364032782124,0
243.95666666666665,0.09449580349021858,1
243.98333333333332,0.060957060129226186,0
244.00666666666663,0.031672475444622705,0
243.9966666666666,-0.28207550303474704,1
243.9633333333333,-0.19376704971193706,0
243.94666666666663,-0.13532989786270375,0
243.91333333333333,-0.09331999406211366,0
243.89,-0.04870552330271494,1
243.86666666666665,-0.010536825017112506,0
243.85,0.02780711649523937,0
243.33666666666667,-0.07599369002784329,0
243.31666666666663,0.00473563387691911,0
243.31666666666663,0.00473563387691911,1
243.2866666666666,0.1705511231326966,0
243.27999999999997,0.1896293242305376,0
243.26999999999995,0.20410365901540214,1
243.26,0.20584891528389448,1
243.25,0.21152674575094466,0
243.27666666666667,0.22721605576617776,1
243.29333333333332,0.23257107149584044,1
243.31,0.23418957531265505,1
243.5533333333333,0.4247405747289577,1
243.67333333333332,0.39997542284586973,0
243.72666666666672,0.3862044937837936,1
243.76333333333335,0.3424731753056278,1
243.85666666666668,0.28278152386968713,0
243.9,0.25111569541053314,1
